word,part_of_speech,english_word,sense
الْجُمُعَة,noun,Friday,day of the week
الجُمْعَة,noun,Friday,day of the week
يَوْم الْجُمُعَة,noun,Friday,day of the week
يَوْم الجُمْعَة,noun,Friday,day of the week
الْاِثْنَيْن,noun,Monday,day of the week
يَوْم الْاِثْنَيْن,noun,Monday,day of the week
السَّبْت,noun,Saturday,day of the week
يَوْم السَّبْت,noun,Saturday,day of the week
الْأَحَد,noun,Sunday,day of the week
يَوْم الْأَحَد,noun,Sunday,day of the week
الْخَمِيس,noun,Thursday,day of the week
يَوْم الْخَمِيس,noun,Thursday,day of the week
الثُّلَاثَاء,noun,Tuesday,day of the week
الثَّلَاثَاء,noun,Tuesday,day of the week
الثُّلَثَاء,noun,Tuesday,day of the week
الْأَرْبِعَاء,noun,Wednesday,day of the week
يَوْم الْأَرْبِعَاء,noun,Wednesday,day of the week
حَوَالِي,adv,about,"nearly, approximately"
عَمَل,noun,action,something done so as to accomplish a purpose
نَشَاط,noun,activity,state or quality of being active
مُمَثِّل,noun,actor,person who performs in a theatrical play or film — see also actress
مُمَثِّلَة,noun,actor,person who performs in a theatrical play or film — see also actress
مُمَثِّلَة,noun,actress,female actor — see also actor
أَضَافَ,verb,add,to append (e.g. a statement); to say further information; to add on
اِضَافَ,verb,add,to make an addition; to augment; to increase; to add on
جَمَعَ,verb,add,"to perform the arithmetical operation of addition, to add up"
خُطْبَة,noun,address,act of addressing oneself to a person or group
نِدَاء,noun,address,act of addressing oneself to a person or group
عُنْوَان,noun,address,description of the location of a property; direction for correspondence
عِنْوَان,noun,address,description of the location of a property; direction for correspondence
بَالِغ,noun,adult,fully grown human
رَاشِد,noun,adult,fully grown human
نَصِيحَة,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
مَشُورَة,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
خَائِف,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
مَرْعُوب,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
بَعْد الظُّهْر,noun,afternoon,part of the day between noon and evening
بَعْدَ الزَّوَال,noun,afternoon,part of the day between noon and evening
زَوَالِيّ,noun,afternoon,part of the day between noon and evening
هَاجِرِيّ,noun,afternoon,part of the day between noon and evening
عصر,noun,afternoon,part of the day between noon and evening
مَرَّة أُخْرَى,adv,again,another time
ثَانِيَةً,adv,again,another time
مُجَدَّدًا,adv,again,another time
مِنْ جَدِيدٍ,adv,again,another time
عُمْر,noun,age,amount of time since the birth of a being or the beginning of a thing
عُمُر,noun,age,amount of time since the birth of a being or the beginning of a thing
سِنّ,noun,age,one of the stages of life
عَصْر,noun,age,particular period of time in history
زَمَان,noun,age,particular period of time in history
عُمْر,noun,age,lifespan
عُمُر,noun,age,lifespan
وَافَقَ,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
هَوَاء,noun,air,historical: one of the basic elements
هَوَاء,noun,air,mixture of gases making up the atmosphere of the Earth
جَوّ,noun,air,the apparently open space above the ground
نَغَم,noun,air,"music: a song, an aria"
مَطَار,noun,airport,place designated for airplanes
أَيْضًا,adv,also,in addition; besides; as well; further; too
كَذٰلِكَ,adv,also,in addition; besides; as well; further; too
بِالمِثْل,adv,also,in addition; besides; as well; further; too
دَائِمًا,adv,always,at all times
أَبَدًا,adv,always,at all times
دَوْمًا,adv,always,at all times
ديما,adv,always,at all times
ديما,adv,always,at all times
مُدْهِش,adj,amazing,causing wonder and amazement
مُذْهِل,adj,amazing,causing wonder and amazement
غَاضِب,adj,angry,displaying anger
غَضْبَان,adj,angry,displaying anger
حَيَوَان,noun,animal,organism
حَيَوَان,noun,animal,organism other than human
حَيَوَان,noun,animal,person who behaves wildly
وَحْش,noun,animal,person who behaves wildly
أَجَابَ,verb,answer,to make a reply or response to
رَدَّ,verb,answer,to make a reply or response to
جَاوَبَ,verb,answer,to make a reply or response to
رد,verb,answer,to make a reply or response to
رَد,verb,answer,to make a reply or response to
جَاوَب,verb,answer,to make a reply or response to
رَدّ,verb,answer,to respond to a call
شَقَّة,noun,apartment,domicile occupying part of a building
تُفَّاحَة,noun,apple,fruit of Malus domestica
تُفَّاح,noun,apple,fruit of Malus domestica
تفّاح,noun,apple,fruit of Malus domestica
تفّاحة,noun,apple,fruit of Malus domestica
تفّاح,noun,apple,fruit of Malus domestica
تفّاحة,noun,apple,fruit of Malus domestica
تُفَّاحة,noun,apple,fruit of Malus domestica
مِسَاحَة,noun,area,maths: measure of extent of a surface
مِنْطَقَة,noun,area,particular geographic region
نَاحِيَة,noun,area,particular geographic region
سِلَاح,noun,arm,weapon
ذِرَاع,noun,arm,upper appendage from shoulder to wrist
وَصَلَ,verb,arrive,to reach
وَصَلَ,verb,arrive,to get to a certain place
فَنّ,noun,art,human effort
فُنُون,noun,art,human effort
صَنْعَة,noun,art,human effort
فن,noun,art,human effort
فَنّ,noun,art,conscious production or arrangement
فُنُون,noun,art,conscious production or arrangement
فَنّ,noun,art,skillful creative activity
فُنُون,noun,art,skillful creative activity
