word,part_of_speech,english_word,sense
пе́тък,noun,Friday,day of the week
понеде́лник,noun,Monday,day of the week
съ́бота,noun,Saturday,day of the week
неде́ля,noun,Sunday,day of the week
четвъртък,noun,Thursday,day of the week
вто́рник,noun,Tuesday,day of the week
сряда́,noun,Wednesday,day of the week
акти́вност,noun,activity,state or quality of being active
актьо́р,noun,actor,person who performs in a theatrical play or film — see also actress
арти́ст,noun,actor,person who performs in a theatrical play or film — see also actress
актри́са,noun,actor,person who performs in a theatrical play or film — see also actress
арти́стка,noun,actor,person who performs in a theatrical play or film — see also actress
актри́са,noun,actress,female actor — see also actor
арти́стка,noun,actress,female actor — see also actor
добавям,verb,add,to append (e.g. a statement); to say further information; to add on
уха́жване,noun,address,polite romantic advance
въ́зрастен,noun,adult,fully grown human
въ́зрастна,noun,adult,fully grown human
съве́т,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
препоръ́ка,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
изпла́шен,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
следо́бед,noun,afternoon,part of the day between noon and evening
въ́зраст,noun,age,amount of time since the birth of a being or the beginning of a thing
съответствам,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
хармонирам,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
съглася́вам се,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
въ́здух,noun,air,historical: one of the basic elements
лети́ще,noun,airport,place designated for airplanes
аерога́ра,noun,airport,place designated for airplanes
аеродру́м,noun,airport,place designated for airplanes
съ́що,adv,also,in addition; besides; as well; further; too
съ́що така́,adv,also,in addition; besides; as well; further; too
ви́наги,adv,always,at all times
вся́кога,adv,always,at all times
удивителен,adj,amazing,causing wonder and amazement
смайващ,adj,amazing,causing wonder and amazement
ядо́сан,adj,angry,displaying anger
разгне́вен,adj,angry,displaying anger
сърди́т,adj,angry,displaying anger
живо́тно,noun,animal,organism
отгова́рям,verb,answer,to make a reply or response to
отгово́ря,verb,answer,to make a reply or response to
отвръ́щам,verb,answer,to make a reply or response to
отвъ́рна,verb,answer,to make a reply or response to
апартаме́нт,noun,apartment,domicile occupying part of a building
кварти́ра,noun,apartment,domicile occupying part of a building
я́бълка,noun,apple,fruit of Malus domestica
площ,noun,area,maths: measure of extent of a surface
простра́нство,noun,area,maths: measure of extent of a surface
повърхнина́,noun,area,maths: measure of extent of a surface
оръ́жие,noun,arm,weapon
въоръже́ние,noun,arm,weapon
ръка́,noun,arm,upper appendage from shoulder to wrist
достигам,verb,arrive,to reach
изку́ство,noun,art,human effort
ста́тия,noun,article,"story, report, or opinion piece"
худо́жник,noun,artist,person who creates art
худо́жничка,noun,artist,person who creates art
арти́ст,noun,artist,person who creates art
арти́стка,noun,artist,person who creates art
пи́там,verb,ask,request an answer
ле́ля,noun,aunt,a parent's sister or sister-in-law
дале́ч,adv,away,from a place; hence
бе́бе,noun,baby,very young human being
пелена́че,noun,baby,very young human being
кърма́че,noun,baby,very young human being
наза́д,adv,back,to or in a previous condition or place
обра́тно,adv,back,to or in a previous condition or place
лош,adj,bad,unfavorable; negative
торба́,noun,bag,flexible container
ча́нта,noun,bag,flexible container
чува́л,noun,bag,flexible container
плик,noun,bag,flexible container
кеси́я,noun,bag,flexible container
бал,noun,ball,formal dance
кълбо́,noun,ball,solid or hollow sphere
бана́н,noun,banana,fruit
бряг,noun,bank,edge of river or lake
ба́нка,noun,bank,institution
бар,noun,bar,unit of pressure
пръ́чка,noun,bar,solid object with uniform cross-section
бейзбол,noun,baseball,ball game
баскетбо́л,noun,basketball,the sport
ва́на,noun,bath,tub
ба́ня,noun,bathroom,a room with a bathtub
плаж,noun,beach,sandy shore
краси́в,adj,beautiful,attractive
прекра́сен,adj,beautiful,attractive
ху́бав,adj,beautiful,attractive
ста́вам,verb,become,to begin to be
случвам се,verb,become,to begin to be
легло́,noun,bed,piece of furniture
постеля,noun,bed,piece of furniture
креват,noun,bed,piece of furniture
