word,part_of_speech,english_word,sense
星期五,noun,Friday,day of the week
禮拜五 /礼拜五,noun,Friday,day of the week
周五,noun,Friday,day of the week
星期一,noun,Monday,day of the week
禮拜一 /礼拜一,noun,Monday,day of the week
周一,noun,Monday,day of the week
星期六,noun,Saturday,day of the week
禮拜六 /礼拜六,noun,Saturday,day of the week
週六 /周六,noun,Saturday,day of the week
星期日,noun,Sunday,day of the week
星期天,noun,Sunday,day of the week
禮拜日 /礼拜日,noun,Sunday,day of the week
禮拜天 /礼拜天,noun,Sunday,day of the week
礼拜天,noun,Sunday,day of the week
周日,noun,Sunday,day of the week
星期四,noun,Thursday,day of the week
禮拜四 /礼拜四,noun,Thursday,day of the week
周四,noun,Thursday,day of the week
星期二,noun,Tuesday,day of the week
禮拜二 /礼拜二,noun,Tuesday,day of the week
週二 /周二,noun,Tuesday,day of the week
星期三,noun,Wednesday,day of the week
禮拜三 /礼拜三,noun,Wednesday,day of the week
週三 /周三,noun,Wednesday,day of the week
大概,adv,about,"nearly, approximately"
高於 /高于,adv,above,higher in rank
行動 /行动,noun,action,something done so as to accomplish a purpose
作用,noun,action,something done so as to accomplish a purpose
動作 /动作,noun,action,way of motion or functioning
戰鬥 /战斗,noun,action,military: combat
訴訟 /诉讼,noun,action,law: charge
活動 /活动,noun,activity,state or quality of being active
動作 /动作,noun,activity,something done as an action or a movement
演員 /演员,noun,actor,person who performs in a theatrical play or film — see also actress
伶,noun,actor,person who performs in a theatrical play or film — see also actress
女演員 /女演员,noun,actress,female actor — see also actor
伶,noun,actress,female actor — see also actor
加,verb,add,to append (e.g. a statement); to say further information; to add on
加,verb,add,to make an addition; to augment; to increase; to add on
添,verb,add,to make an addition; to augment; to increase; to add on
添加,verb,add,to make an addition; to augment; to increase; to add on
加,verb,add,"to perform the arithmetical operation of addition, to add up"
稱呼 /称呼,noun,address,act of addressing oneself to a person or group
地址,noun,address,description of the location of a property; direction for correspondence
成人,noun,adult,fully grown human
大人,noun,adult,fully grown human
成年,noun,adult,fully grown human
勸告 /劝告,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
忠告,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
建議 /建议,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
害怕,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
怕,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
恐怕,adj,afraid,"regretful, sorry"
下午,noun,afternoon,part of the day between noon and evening
再,adv,again,another time
又,adv,again,another time
再……一遍,adv,again,another time
重新,adv,again,another time
來著 /来着,adv,again,used in a question to ask something one has forgotten
年歲 /年岁,noun,age,amount of time since the birth of a being or the beginning of a thing
年紀 /年纪,noun,age,amount of time since the birth of a being or the beginning of a thing
年齡 /年龄,noun,age,amount of time since the birth of a being or the beginning of a thing
老年,noun,age,state of being old; latter part of life
晚年,noun,age,state of being old; latter part of life
高齡 /高龄,noun,age,state of being old; latter part of life
年歲 /年岁,noun,age,one of the stages of life
歲數 /岁数,noun,age,one of the stages of life
年紀 /年纪,noun,age,one of the stages of life
年齡 /年龄,noun,age,one of the stages of life
成年,noun,age,time of life at which one attains full personal rights and capacities
成人,noun,age,time of life at which one attains full personal rights and capacities
時代 /时代,noun,age,particular period of time in history
世代,noun,age,generation — see also generation
期,noun,age,geochronologic unit
一輩子 /一辈子,noun,age,lifespan
一生,noun,age,lifespan
壽命 /寿命,noun,age,lifespan
同意,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
空氣 /空气,noun,air,historical: one of the basic elements
空氣 /空气,noun,air,mixture of gases making up the atmosphere of the Earth
詠嘆調 /咏叹调,noun,air,"music: a song, an aria"
唱段,noun,air,"music: a song, an aria"
北曲,noun,air,"music: a song, an aria"
機場 /机场,noun,airport,place designated for airplanes
飛機場 /飞机场,noun,airport,place designated for airplanes
航空站,noun,airport,place designated for airplanes
也,adv,also,in addition; besides; as well; further; too
並 /并,adv,also,in addition; besides; as well; further; too
還 /还,adv,also,in addition; besides; as well; further; too
以及,adv,also,in addition; besides; as well; further; too
亦,adv,also,in addition; besides; as well; further; too
總是 /总是,adv,always,at all times
精彩,adj,amazing,causing wonder and amazement
了不起,adj,amazing,causing wonder and amazement
恼怒,adj,angry,displaying anger
憤怒 /愤怒,adj,angry,displaying anger
生氣 /生气,adj,angry,displaying anger
動物 /动物,noun,animal,organism
動物 /动物,noun,animal,organism other than human
野獸 /野兽,noun,animal,person who behaves wildly
禽獸 /禽兽,noun,animal,person who behaves wildly
野兽,noun,animal,person who behaves wildly
公寓,noun,apartment,domicile occupying part of a building
套間 /套间,noun,apartment,domicile occupying part of a building
套房,noun,apartment,domicile occupying part of a building
面積 /面积,noun,area,maths: measure of extent of a surface
地區 /地区,noun,area,particular geographic region
領域 /领域,noun,area,particular geographic region
胳膊,noun,arm,upper appendage from shoulder to wrist
胳臂,noun,arm,upper appendage from shoulder to wrist
手臂,noun,arm,upper appendage from shoulder to wrist
臂膀,noun,arm,upper appendage from shoulder to wrist
到達 /到达,verb,arrive,to reach
到,verb,arrive,to reach
到達 /到达,verb,arrive,to get to a certain place
到,verb,arrive,to get to a certain place
文章,noun,article,"story, report, or opinion piece"
冠詞 /冠词,noun,article,part of speech that specifies a noun
條款 /条款,noun,article,section of a legal document
藝術家 /艺术家,noun,artist,person who creates art
畫家 /画家,noun,artist,person who creates art
美術家 /美术家,noun,artist,person who creates art
姑,noun,aunt,a parent's sister or sister-in-law
姑媽 /姑妈,noun,aunt,a parent's sister or sister-in-law
姑姑,noun,aunt,a parent's sister or sister-in-law
姑母,noun,aunt,a parent's sister or sister-in-law
伯母,noun,aunt,a parent's sister or sister-in-law
大娘,noun,aunt,a parent's sister or sister-in-law
叔母,noun,aunt,a parent's sister or sister-in-law
嬸母 /婶母,noun,aunt,a parent's sister or sister-in-law
婶母,noun,aunt,a parent's sister or sister-in-law
嬸嬸 /婶婶,noun,aunt,a parent's sister or sister-in-law
婶婶,noun,aunt,a parent's sister or sister-in-law
姨,noun,aunt,a parent's sister or sister-in-law
姨媽 /姨妈,noun,aunt,a parent's sister or sister-in-law
阿姨,noun,aunt,a parent's sister or sister-in-law
姨母,noun,aunt,a parent's sister or sister-in-law
舅母,noun,aunt,a parent's sister or sister-in-law
舅媽 /舅妈,noun,aunt,a parent's sister or sister-in-law
妗母,noun,aunt,a parent's sister or sister-in-law
妗子,noun,aunt,a parent's sister or sister-in-law
阿姨,noun,aunt,"affectionate term for an older woman, by means of fictive kin"
消,adv,away,from a state or condition of being; out of existence
令人敬畏的,adj,awesome,causing awe or terror
了不起,adj,awesome,"excellent, exciting"
不錯 /不错,adj,awesome,"excellent, exciting"
牛比,adj,awesome,"excellent, exciting"
酷,adj,awesome,"excellent, exciting"
酷斃了 /酷毙了,adj,awesome,"excellent, exciting"
棒,adj,awesome,"excellent, exciting"
厲害 /厉害,adj,awesome,"excellent, exciting"
酒吧,noun,bar,business licensed to sell intoxicating beverages
酒館 /酒馆,noun,bar,business licensed to sell intoxicating beverages
酒店,noun,bar,business licensed to sell intoxicating beverages
吧檯 /吧台,noun,bar,counter of such premises
棒球,noun,baseball,ball game
籃球 /篮球,noun,basketball,the sport
籃球 /篮球,noun,basketball,the ball used in the sport
浴缸,noun,bath,tub
浴盆,noun,bath,tub
澡盆,noun,bath,tub
浴室,noun,bath,building or area where bathing occurs
沐浴,noun,bath,act of bathing
洗澡,noun,bath,act of bathing
浴室,noun,bathroom,a room with a bathtub
海灘 /海滩,noun,beach,sandy shore
沙灘 /沙滩,noun,beach,sandy shore
灘 /滩,noun,beach,sandy shore
漂亮,adj,beautiful,attractive
美,adj,beautiful,attractive
好看,adj,beautiful,attractive
美麗 /美丽,adj,beautiful,attractive
好天,adj,beautiful,"of weather: pleasant, clear"
成,verb,become,to begin to be
成為 /成为,verb,become,to begin to be
臥室 /卧室,noun,bedroom,room in a house where a bed is kept for sleeping
寢室 /寝室,noun,bedroom,room in a house where a bed is kept for sleeping
