word,part_of_speech,english_word,sense
pátek,noun,Friday,day of the week
pondělí,noun,Monday,day of the week
sobota,noun,Saturday,day of the week
neděle,noun,Sunday,day of the week
čtvrtek,noun,Thursday,day of the week
úterý,noun,Tuesday,day of the week
středa,noun,Wednesday,day of the week
aktivita,noun,activity,state or quality of being active
čilost,noun,activity,state or quality of being active
herec,noun,actor,person who performs in a theatrical play or film — see also actress
herečka,noun,actor,person who performs in a theatrical play or film — see also actress
herečka,noun,actress,female actor — see also actor
dodat,verb,add,to append (e.g. a statement); to say further information; to add on
doplnit,verb,add,to append (e.g. a statement); to say further information; to add on
dospělý (cf. dospělák m),noun,adult,fully grown human
dospělá,noun,adult,fully grown human
rada,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
bojácný,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
bázlivý,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
vystrašený,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
odpoledne,noun,afternoon,part of the day between noon and evening
věk,noun,age,amount of time since the birth of a being or the beginning of a thing
shodovat se,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
souhlasit,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
vzduch,noun,air,historical: one of the basic elements
letiště,noun,airport,place designated for airplanes
také,adv,also,in addition; besides; as well; further; too
vždy,adv,always,at all times
úžasný,adj,amazing,causing wonder and amazement
ohromující,adj,amazing,causing wonder and amazement
naštvaný,adj,angry,displaying anger
rozzlobený,adj,angry,displaying anger
rozhněvaný,adj,angry,displaying anger
zlostný,adj,angry,displaying anger
živočich,noun,animal,organism
zvíře,noun,animal,organism
odpovídat,verb,answer,to make a reply or response to
odpovědět,verb,answer,to make a reply or response to
byt,noun,apartment,domicile occupying part of a building
jablko,noun,apple,fruit of Malus domestica
plocha,noun,area,maths: measure of extent of a surface
zbraň,noun,arm,weapon
paže,noun,arm,upper appendage from shoulder to wrist
ruka,noun,arm,upper appendage from shoulder to wrist
dorážet,verb,arrive,to reach
dorazit,verb,arrive,to reach
docházet,verb,arrive,to reach
dojít,verb,arrive,to reach
dojíždět,verb,arrive,to reach
dojet,verb,arrive,to reach
doletovat,verb,arrive,to reach
dolétat,verb,arrive,to reach
doletět,verb,arrive,to reach
umění,noun,art,human effort
článek,noun,article,"story, report, or opinion piece"
umělec,noun,artist,person who creates art
umělkyně,noun,artist,person who creates art
malíř,noun,artist,person who creates art
malířka,noun,artist,person who creates art
ptát se,verb,ask,request an answer
zeptat se,verb,ask,request an answer
teta,noun,aunt,a parent's sister or sister-in-law
pryč,adv,away,from a place; hence
strašný,adj,awesome,causing awe or terror
úděsný,adj,awesome,causing awe or terror
děťátko,noun,baby,very young human being
miminko,noun,baby,very young human being
nemluvně,noun,baby,very young human being
kojenec,noun,baby,very young human being
zpět,adv,back,to or in a previous condition or place
zpátky,adv,back,to or in a previous condition or place
špatný,adj,bad,unfavorable; negative
taška,noun,bag,flexible container
pytel,noun,bag,flexible container
ples,noun,ball,formal dance
bál,noun,ball,formal dance
koule,noun,ball,solid or hollow sphere
banán,noun,banana,fruit
břeh,noun,bank,edge of river or lake
banka,noun,bank,institution
bar,noun,bar,unit of pressure
tyč,noun,bar,solid object with uniform cross-section
prut,noun,bar,solid object with uniform cross-section
baseball,noun,baseball,ball game
basketbal,noun,basketball,the sport
vana,noun,bath,tub
koupelna,noun,bathroom,a room with a bathtub
pláž,noun,beach,sandy shore
krásný,adj,beautiful,attractive
pěkný,adj,beautiful,attractive
sličný,adj,beautiful,attractive
stát se,verb,become,to begin to be
postel,noun,bed,piece of furniture
lůžko,noun,bed,piece of furniture
ložnice,noun,bedroom,room in a house where a bed is kept for sleeping
pivo,noun,beer,alcoholic drink made of malt
začínat,verb,begin,"to start, to initiate (transitive)"
začít,verb,begin,"to start, to initiate (transitive)"
začátek,noun,beginning,act of doing that which begins anything
počátek,noun,beginning,act of doing that which begins anything
vzadu,adv,behind,at the back part; in the rear
věřit,verb,believe,to accept that someone is telling the truth (object: person)
nejlepší,adj,best,superlative of the adjective good
lepší,adj,better,comparative of the adjectives good or well
kolo,noun,bicycle,vehicle
jizdní kolo,noun,bicycle,vehicle
bicykl,noun,bicycle,vehicle
velký,adj,big,of a great size — see also large
kolo,noun,bike,bicycle
zobák,noun,bill,bird's beak
pták,noun,bird,animal
narozeniny,noun,birthday,anniversary
čerň,noun,black,colour/color
blog,noun,blog,a personal or corporate website
blonďatý,adj,blond,of a pale golden colour
světlý,adj,blond,of a pale golden colour
modř,noun,blue,colour
člun,noun,boat,water craft
loď,noun,boat,water craft
tělo,noun,body,physical structure of a human or animal
kniha,noun,book,collection of sheets of paper bound together containing printed or written material
bota,noun,boot,heavy shoe that covers part of the leg
znuděný,adj,bored,suffering from boredom
nudný,adj,boring,causing boredom or tiredness
láhev,noun,bottle,container
flaška,noun,bottle,container
úder,noun,box,blow with the fist
zimostráz,noun,box,shrub or tree of the genus Buxus — see also box tree
schránka,noun,box,cuboid space; container
krabice,noun,box,cuboid space; container
bedna,noun,box,cuboid space; container
chlapec,noun,boy,young male
hoch,noun,boy,young male
kluk,noun,boy,young male
přítel,noun,boyfriend,male partner in a romantic relationship
kluk,noun,boyfriend,male partner in a romantic relationship
milenec,noun,boyfriend,male partner in a romantic relationship
chléb,noun,bread,baked dough made from cereals
chleba,noun,bread,baked dough made from cereals
snídaně,noun,breakfast,first meal of the day
přinášet,verb,bring,to transport toward somebody/somewhere
přinést,verb,bring,to transport toward somebody/somewhere
přivádět,verb,bring,to transport toward somebody/somewhere
přivést,verb,bring,to transport toward somebody/somewhere
přivážet,verb,bring,to transport toward somebody/somewhere
přivézt,verb,bring,to transport toward somebody/somewhere
bratr,noun,brother,male sibling
brácha,noun,brother,male sibling
brat,noun,brother,male sibling
brater,noun,brother,male sibling
hnědý,noun,brown,colour
stavět,verb,build,(transitive) to form by combining materials or parts
postavit,verb,build,(transitive) to form by combining materials or parts
budovat,verb,build,(transitive) to form by combining materials or parts
vybudovat,verb,build,(transitive) to form by combining materials or parts
stavba,noun,building,act or process of building
budování,noun,building,act or process of building
výstavba,noun,building,act or process of building
autobus,noun,bus,vehicle
podnik,noun,business,commercial enterprise or establishment
byznys,noun,business,commercial enterprise or establishment
máslo,noun,butter,soft foodstuff made from milk
kupovat,verb,buy,to obtain something with money
koupit,verb,buy,to obtain something with money
dort,noun,cake,type of sweet dessert
křik,noun,call,cry or shout
fotoaparát,noun,camera,still camera
foťák,noun,camera,still camera
moci,verb,can,to be able to; to know how to
umět,verb,can,to be able to; to know how to
konzervovat,verb,can,to preserve
nemoct,verb,cannot,"cannot — see also can, not"
auto,noun,car,"automobile, a vehicle steered by a driver"
automobil,noun,car,"automobile, a vehicle steered by a driver"
kariéra,noun,career,one's calling in life; a person's occupation
mrkev,noun,carrot,Daucus carota ssp. sativus
nosit,verb,carry,to transport by lifting
nést,verb,carry,to transport by lifting
vozit,verb,carry,to transport by lifting
vézt,verb,carry,to transport by lifting
kočka,noun,cat,domestic species
kocour,noun,cat,domestic species
cent,noun,cent,subunit of currency in US and elsewhere
střed,noun,center,point equidistant from all points on the perimeter of a circle
centrum,noun,center,point equidistant from all points on the perimeter of a circle
židle,noun,chair,furniture
změna,noun,change,the process of becoming different
levný,adj,cheap,low and/or reduced in price
prověřit,verb,check,"to inspect, examine"
sýr,noun,cheese,dairy product
slepice,noun,chicken,bird
kur,noun,chicken,bird
kuře,noun,chicken,bird
dítě,noun,child,son or daughter; someone's child
čokoláda,noun,chocolate,food made from ground roasted cocoa beans
volit,verb,choose,to pick
zvolit,verb,choose,to pick
vybírat,verb,choose,to pick
vybrat,verb,choose,to pick
