word,part_of_speech,english_word,sense
fredag,noun,Friday,day of the week
mandag,noun,Monday,day of the week
lørdag,noun,Saturday,day of the week
søndag,noun,Sunday,day of the week
torsdag,noun,Thursday,day of the week
tirsdag,noun,Tuesday,day of the week
onsdag,noun,Wednesday,day of the week
omkring,adv,about,on all sides
aktivitet,noun,activity,state or quality of being active
skuespiller,noun,actor,person who performs in a theatrical play or film — see also actress
skuespillerinde,noun,actor,person who performs in a theatrical play or film — see also actress
skuespillerinde,noun,actress,female actor — see also actor
tilføje,verb,add,to append (e.g. a statement); to say further information; to add on
voksen,noun,adult,fully grown human
råd,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
bange,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
eftermiddag,noun,afternoon,part of the day between noon and evening
alder,noun,age,amount of time since the birth of a being or the beginning of a thing
være enig,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
luft,noun,air,historical: one of the basic elements
lufthavn,noun,airport,place designated for airplanes
også,adv,also,in addition; besides; as well; further; too
altid,adv,always,at all times
vred,adj,angry,displaying anger
sur,adj,angry,displaying anger
dyr,noun,animal,organism
svare,verb,answer,to make a reply or response to
lejlighed,noun,apartment,domicile occupying part of a building
æble,noun,apple,fruit of Malus domestica
areal,noun,area,maths: measure of extent of a surface
flademål,noun,area,maths: measure of extent of a surface
våben,noun,arm,weapon
arm,noun,arm,upper appendage from shoulder to wrist
ankomme,verb,arrive,to reach
kunst,noun,art,human effort
artikel,noun,article,"story, report, or opinion piece"
kunstner,noun,artist,person who creates art
spørge,verb,ask,request an answer
tante,noun,aunt,a parent's sister or sister-in-law
faster,noun,aunt,a parent's sister or sister-in-law
moster,noun,aunt,a parent's sister or sister-in-law
væk,adv,away,from a place; hence
frygtelig,adj,awesome,causing awe or terror
imponerende,adj,awesome,causing awe or terror
spædbarn,noun,baby,very young human being
baby,noun,baby,very young human being
tilbage,adv,back,to or in a previous condition or place
dårlig,adj,bad,unfavorable; negative
skod,adj,bad,unfavorable; negative
bærepose,noun,bag,flexible container
sæk,noun,bag,flexible container
taske,noun,bag,flexible container
bal,noun,ball,formal dance
banan,noun,banana,fruit
række,noun,bank,row or panel of items
batteri,noun,bank,row or panel of items
bred,noun,bank,edge of river or lake
bank,noun,bank,institution
bar,noun,bar,unit of pressure
stang,noun,bar,solid object with uniform cross-section
bom,noun,bar,solid object with uniform cross-section
bjælke,noun,bar,solid object with uniform cross-section
baseball,noun,baseball,ball game
basketball,noun,basketball,the sport
badekar,noun,bath,tub
badeværelse,noun,bathroom,a room with a bathtub
strand,noun,beach,sandy shore
smuk,adj,beautiful,attractive
blive,verb,become,to begin to be
seng,noun,bed,piece of furniture
soveværelse,noun,bedroom,room in a house where a bed is kept for sleeping
øl,noun,beer,alcoholic drink made of malt
begynde,verb,begin,"to start, to initiate (transitive)"
bagud,adv,behind,at the back part; in the rear
tro,verb,believe,to accept that someone is telling the truth (object: person)
bedre,adj,better,comparative of the adjectives good or well
cykel,noun,bicycle,vehicle
stor,adj,big,of a great size — see also large
cykel,noun,bike,bicycle
hellebard,noun,bill,weapon of infantry
næb,noun,bill,bird's beak
