word,part_of_speech,english_word,sense
Freitag,noun,Friday,day of the week
Montag,noun,Monday,day of the week
Samstag,noun,Saturday,day of the week
Sonnabend,noun,Saturday,day of the week
Sabbat,noun,Saturday,day of the week
Satertag,noun,Saturday,day of the week
Sonntag,noun,Sunday,day of the week
Donnerstag,noun,Thursday,day of the week
Dienstag,noun,Tuesday,day of the week
Mittwoch,noun,Wednesday,day of the week
Wotanstag,noun,Wednesday,day of the week
Wodanstag,noun,Wednesday,day of the week
Wodenstag,noun,Wednesday,day of the week
oben,adv,above,"overhead, on top of"
Aktivität,noun,activity,state or quality of being active
Schauspieler,noun,actor,person who performs in a theatrical play or film — see also actress
Schauspielerin,noun,actor,person who performs in a theatrical play or film — see also actress
Akteur,noun,actor,person who performs in a theatrical play or film — see also actress
Akteurin,noun,actor,person who performs in a theatrical play or film — see also actress
Aktrice,noun,actor,person who performs in a theatrical play or film — see also actress
Schauspielerin,noun,actress,female actor — see also actor
hinzufügen,verb,add,to append (e.g. a statement); to say further information; to add on
Ansprache,noun,address,polite romantic advance
Erwachsener,noun,adult,fully grown human
Erwachsene,noun,adult,fully grown human
Rat,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
Ratschlag,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
ängstlich,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
Nachmittag,noun,afternoon,part of the day between noon and evening
wieder,adv,again,back to a former place or state
zurück,adv,again,back to a former place or state
Alter,noun,age,amount of time since the birth of a being or the beginning of a thing
zustimmen,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
einverstanden sein,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
Luft,noun,air,historical: one of the basic elements
Flughafen,noun,airport,place designated for airplanes
Flugplatz,noun,airport,place designated for airplanes
Lufthafen,noun,airport,place designated for airplanes
auch,adv,also,in addition; besides; as well; further; too
immer,adv,always,at all times
stets,adv,always,at all times
ständig,adv,always,at all times
erstaunlich,adj,amazing,causing wonder and amazement
unglaublich,adj,amazing,causing wonder and amazement
böse,adj,angry,displaying anger
verärgert,adj,angry,displaying anger
zornig,adj,angry,displaying anger
Tier,noun,animal,organism
antworten,verb,answer,to make a reply or response to
Wohnung,noun,apartment,domicile occupying part of a building
Appartement,noun,apartment,domicile occupying part of a building
Apfel,noun,apple,fruit of Malus domestica
Öpfel,noun,apple,fruit of Malus domestica
Àpfel,noun,apple,fruit of Malus domestica
Epfe,noun,apple,fruit of Malus domestica
Flächeninhalt,noun,area,maths: measure of extent of a surface
Oberfläche,noun,area,maths: measure of extent of a surface
Waffe,noun,arm,weapon
Bewaffnung,noun,arm,weapon
Rüstung,noun,arm,weapon
Arm,noun,arm,upper appendage from shoulder to wrist
herum,adv,around,"so as to form a circle or trace a circular path, or approximation thereof"
gelangen,verb,arrive,to reach
kommen,verb,arrive,to reach
erreichen,verb,arrive,to reach
ankommen,verb,arrive,to reach
Kunst,noun,art,human effort
Artikel,noun,article,"story, report, or opinion piece"
Bericht,noun,article,"story, report, or opinion piece"
Meldung,noun,article,"story, report, or opinion piece"
Künstler,noun,artist,person who creates art
Künstlerin,noun,artist,person who creates art
"""painter"": Maler",noun,artist,person who creates art
Malerin,noun,artist,person who creates art
fragen,verb,ask,request an answer
stellen,verb,ask,request an answer
Tante,noun,aunt,a parent's sister or sister-in-law
fort,adv,away,from a place; hence
weg,adv,away,from a place; hence
furchteinflößend,adj,awesome,causing awe or terror
fürchterlich,adj,awesome,causing awe or terror
furchterregend,adj,awesome,causing awe or terror
Baby,noun,baby,very young human being
Säugling,noun,baby,very young human being
Kleinkind,noun,baby,very young human being
zurück,adv,back,to or in a previous condition or place
wieder da,adv,back,to or in a previous condition or place
schlecht,adj,bad,unfavorable; negative
schlimm,adj,bad,unfavorable; negative
übel,adj,bad,unfavorable; negative
Beutel,noun,bag,flexible container
Tasche,noun,bag,flexible container
Sack,noun,bag,flexible container
Ball,noun,ball,formal dance
Tanzball,noun,ball,formal dance
Kugel,noun,ball,solid or hollow sphere
Ball (naut.),noun,ball,solid or hollow sphere
Banane,noun,banana,fruit
Ufer,noun,bank,edge of river or lake
Bank,noun,bank,institution
Bar,noun,bar,unit of pressure
Block,noun,bar,solid object with uniform cross-section
Barren,noun,bar,solid object with uniform cross-section
Stange,noun,bar,solid object with uniform cross-section
Baseball,noun,baseball,ball game
Basketball,noun,basketball,the sport
Badewanne,noun,bath,tub
Badezimmer,noun,bathroom,a room with a bathtub
Bad,noun,bathroom,a room with a bathtub
Strand,noun,beach,sandy shore
schön,adj,beautiful,attractive
werden,verb,become,to begin to be
Bett,noun,bed,piece of furniture
Bett,noun,bed,piece of furniture
Schlafzimmer,noun,bedroom,room in a house where a bed is kept for sleeping
Schlafstube,noun,bedroom,room in a house where a bed is kept for sleeping
Bier,noun,beer,alcoholic drink made of malt
Bier,noun,beer,alcoholic drink made of malt
bia,noun,beer,alcoholic drink made of malt
anfangen,verb,begin,"to start, to initiate (transitive)"
beginnen,verb,begin,"to start, to initiate (transitive)"
starten,verb,begin,"to start, to initiate (transitive)"
anheben,verb,begin,"to start, to initiate (transitive)"
Anfang,noun,beginning,act of doing that which begins anything
Beginn,noun,beginning,act of doing that which begins anything
hinten,adv,behind,at the back part; in the rear
glauben,verb,believe,to accept that someone is telling the truth (object: person)
unten,adv,below,in a lower place
darunter,adv,below,in a lower place
unterhalb,adv,below,in a lower place
Beste,adj,best,superlative of the adjective good
besser,adj,better,comparative of the adjectives good or well
Fahrrad,noun,bicycle,vehicle
Velo,noun,bicycle,vehicle
Drahtesel,noun,bicycle,vehicle
Veloziped,noun,bicycle,vehicle
groß,adj,big,of a great size — see also large
Fahrrad,noun,bike,bicycle
Rad,noun,bike,bicycle
Velo,noun,bike,bicycle
Drahtesel,noun,bike,bicycle
Schnabel,noun,bill,bird's beak
Vogel,noun,bird,animal
Vögelchen,noun,bird,animal
Vögelein,noun,bird,animal
Vöglein,noun,bird,animal
Vogel,noun,bird,animal
Geburtstag,noun,birthday,anniversary
Schwarz,noun,black,colour/color
Blog,noun,blog,a personal or corporate website
Internetblog,noun,blog,a personal or corporate website
Netztagebuch,noun,blog,a personal or corporate website
blond,adj,blond,of a pale golden colour
hell,adj,blond,of a pale golden colour
Blau,noun,blue,colour
Boot,noun,boat,water craft
Schiff,noun,boat,water craft
Körper,noun,body,physical structure of a human or animal
Buch,noun,book,collection of sheets of paper bound together containing printed or written material
Buech,noun,book,collection of sheets of paper bound together containing printed or written material
Stiefel,noun,boot,heavy shoe that covers part of the leg
Booten,noun,boot,the act or process of bootstrapping
gelangweilt,adj,bored,suffering from boredom
langweilig,adj,boring,causing boredom or tiredness
Flasche,noun,bottle,container
Bouteille,noun,bottle,container
Butëlle,noun,bottle,container
Guttere,noun,bottle,container
Boxhieb,noun,box,blow with the fist
Boxschlag,noun,box,blow with the fist
Buchsbaum,noun,box,shrub or tree of the genus Buxus — see also box tree
Buchs,noun,box,shrub or tree of the genus Buxus — see also box tree
Kasten,noun,box,cuboid space; container
Kiste,noun,box,cuboid space; container
Box,noun,box,cuboid space; container
Karton,noun,box,cuboid space; container
Junge,noun,boy,young male
Bube,noun,boy,young male
Bueb,noun,boy,young male
mein/dein/ihr/sein Freund,noun,boyfriend,male partner in a romantic relationship
Boyfriend,noun,boyfriend,male partner in a romantic relationship
fester Freund,noun,boyfriend,male partner in a romantic relationship
Brot,noun,bread,baked dough made from cereals
Bruch,noun,break,instance of breaking something into pieces
Frühstück,noun,breakfast,first meal of the day
Zmorgen,noun,breakfast,first meal of the day
Morgenessen,noun,breakfast,first meal of the day
bringen,verb,bring,to transport toward somebody/somewhere
holen,verb,bring,to transport toward somebody/somewhere
Bruder,noun,brother,male sibling
Brüeder,noun,brother,male sibling
Braun,noun,brown,colour
bauen,verb,build,(transitive) to form by combining materials or parts
Bau,noun,building,act or process of building
