word,part_of_speech,english_word,sense
Παρασκευή,noun,Friday,day of the week
Δευτέρα,noun,Monday,day of the week
Σάββατο,noun,Saturday,day of the week
Κυριακή,noun,Sunday,day of the week
Πέμπτη,noun,Thursday,day of the week
Τρίτη,noun,Tuesday,day of the week
Τετάρτη,noun,Wednesday,day of the week
γύρω,adv,about,on all sides
δραστηριότητα,noun,activity,state or quality of being active
ηθοποιός,noun,actor,person who performs in a theatrical play or film — see also actress
ηθοποιός,noun,actress,female actor — see also actor
προσθέτω,verb,add,to append (e.g. a statement); to say further information; to add on
ενήλικας,noun,adult,fully grown human
ενήλικος,noun,adult,fully grown human
συμβουλή,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
απόγευμα,noun,afternoon,part of the day between noon and evening
ηλικία,noun,age,amount of time since the birth of a being or the beginning of a thing
συμφωνώ,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
αέρας,noun,air,historical: one of the basic elements
αεροδρόμιο,noun,airport,place designated for airplanes
αερολιμένας,noun,airport,place designated for airplanes
επίσης,adv,also,in addition; besides; as well; further; too
πάντα,adv,always,at all times
εκπληκτικός,adj,amazing,causing wonder and amazement
θυμωμένος,adj,angry,displaying anger
ζώο,noun,animal,organism
απαντώ,verb,answer,to make a reply or response to
αποκρίνομαι,verb,answer,to make a reply or response to
διαμέρισμα,noun,apartment,domicile occupying part of a building
μήλο,noun,apple,fruit of Malus domestica
μᾶλον,noun,apple,fruit of Malus domestica
εμβαδό,noun,area,maths: measure of extent of a surface
εμβαδόν,noun,area,maths: measure of extent of a surface
όπλο,noun,arm,weapon
χέρι,noun,arm,upper appendage from shoulder to wrist
φτάνω,verb,arrive,to reach
τέχνη,noun,art,human effort
άρθρο,noun,article,"story, report, or opinion piece"
καλλιτέχνης,noun,artist,person who creates art
δημιουργός,noun,artist,person who creates art
ρωτώ,verb,ask,request an answer
θεία,noun,aunt,a parent's sister or sister-in-law
μακριά,adv,away,from a place; hence
βρέφος,noun,baby,very young human being
μωρό,noun,baby,very young human being
νήπιο,noun,baby,very young human being
πίσω,adv,back,to or in a previous condition or place
κακός,adj,bad,unfavorable; negative
άσχημος,adj,bad,unfavorable; negative
σακούλα,noun,bag,flexible container
σάκος,noun,bag,flexible container
χορός,noun,ball,formal dance
σφαίρα,noun,ball,solid or hollow sphere
μπανάνα,noun,banana,fruit
συστοιχία,noun,bank,row or panel of items
όχθη,noun,bank,edge of river or lake
τράπεζα,noun,bank,institution
μπαρ,noun,bar,unit of pressure
ράβδος,noun,bar,solid object with uniform cross-section
πλάκα,noun,bar,solid object with uniform cross-section
πλακίδιο,noun,bar,solid object with uniform cross-section
κομμάτι,noun,bar,solid object with uniform cross-section
μπέιζμπολ,noun,baseball,ball game
καλαθοσφαίριση,noun,basketball,the sport
μπάσκετ,noun,basketball,the sport
μπάνιο,noun,bath,tub
μπανιέρα,noun,bath,tub
λουτήρας,noun,bath,tub
λουτρό,noun,bathroom,a room with a bathtub
μπάνιο,noun,bathroom,a room with a bathtub
αμμουδιά,noun,beach,sandy shore
παραλία,noun,beach,sandy shore
ακρογιαλιά,noun,beach,sandy shore
ωραίος,adj,beautiful,attractive
όμορφος,adj,beautiful,attractive
γίνομαι,verb,become,to begin to be
κρεβάτι,noun,bed,piece of furniture
κλίνη,noun,bed,piece of furniture
κρεβατοκάμαρα,noun,bedroom,room in a house where a bed is kept for sleeping
υπνοδωμάτιο,noun,bedroom,room in a house where a bed is kept for sleeping
μπίρα,noun,beer,alcoholic drink made of malt
ζύθος,noun,beer,alcoholic drink made of malt
αρχίζω,verb,begin,"to start, to initiate (transitive)"
πιστεύω,verb,believe,to accept that someone is telling the truth (object: person)
κάτω,adv,below,in a lower place
καλύτερος,adj,best,superlative of the adjective good
καλύτερος,adj,better,comparative of the adjectives good or well
ποδήλατο,noun,bicycle,vehicle
μεγάλος,adj,big,of a great size — see also large
ποδήλατο,noun,bike,bicycle
λογαριασμός,noun,bill,written inventory
ράμφος,noun,bill,bird's beak
πουλί,noun,bird,animal
πτηνό,noun,bird,animal
γενέθλια,noun,birthday,anniversary
μαύρο,noun,black,colour/color
μέλας,noun,black,colour/color
ιστολόγιο,noun,blog,a personal or corporate website
ξανθός,adj,blond,of a pale golden colour
Cypriot Greek ξαθθός (xaththós),adj,blond,of a pale golden colour
μπλε,noun,blue,colour
βάρκα,noun,boat,water craft
λέμβος,noun,boat,water craft
καΐκι,noun,boat,water craft
σώμα,noun,body,physical structure of a human or animal
κορμί,noun,body,physical structure of a human or animal
βιβλίο,noun,book,collection of sheets of paper bound together containing printed or written material
τόμος,noun,book,collection of sheets of paper bound together containing printed or written material
μπότα,noun,boot,heavy shoe that covers part of the leg
τρυπημένος,adj,bored,suffering from boredom
βαριεστημένος,adj,bored,suffering from boredom
βαρετός,adj,boring,causing boredom or tiredness
πληκτικός,adj,boring,causing boredom or tiredness
ανιαρός,adj,boring,causing boredom or tiredness
μπουκάλι,noun,bottle,container
φιάλη,noun,bottle,container
γροθιά,noun,box,blow with the fist
πυξάρι,noun,box,shrub or tree of the genus Buxus — see also box tree
τσιμσίρι,noun,box,shrub or tree of the genus Buxus — see also box tree
τσιμισίρι,noun,box,shrub or tree of the genus Buxus — see also box tree
κιβώτιο,noun,box,cuboid space; container
κουτί,noun,box,cuboid space; container
κασόνι,noun,box,cuboid space; container
αγόρι,noun,boy,young male
γκόμενος,noun,boyfriend,male partner in a romantic relationship
αγόρι,noun,boyfriend,male partner in a romantic relationship
ψωμί,noun,bread,baked dough made from cereals
άρτος,noun,bread,baked dough made from cereals
πρωινό,noun,breakfast,first meal of the day
πρόγευμα,noun,breakfast,first meal of the day
φέρνω,verb,bring,to transport toward somebody/somewhere
αδελφός,noun,brother,male sibling
αδερφός,noun,brother,male sibling
καστανό,noun,brown,colour
καφέ,noun,brown,colour
χτίζω,verb,build,(transitive) to form by combining materials or parts
δόμηση,noun,building,act or process of building
λεωφορείο,noun,bus,vehicle
επιχείρηση,noun,business,commercial enterprise or establishment
εταιρεία,noun,business,commercial enterprise or establishment
εταιρία,noun,business,commercial enterprise or establishment
πολυσύχναστος,adj,busy,crowded with business or activities
βούτυρο,noun,butter,soft foodstuff made from milk
αγοράζω,verb,buy,to obtain something with money
τούρτα,noun,cake,type of sweet dessert
κέικ,noun,cake,type of sweet dessert
κραυγή,noun,call,cry or shout
αναφώνηση,noun,call,cry or shout
ξεφωνητό,noun,call,cry or shout
φωτογραφική μηχανή,noun,camera,still camera
μπορώ,verb,can,to be able to; to know how to
δύναμαι,verb,can,to be able to; to know how to
κονσερβοποιώ,verb,can,to preserve
αυτοκίνητο,noun,car,"automobile, a vehicle steered by a driver"
αμάξι,noun,car,"automobile, a vehicle steered by a driver"
καριέρα,noun,career,one's calling in life; a person's occupation
καρότο,noun,carrot,Daucus carota ssp. sativus
κουβαλώ,verb,carry,to transport by lifting
γάτα,noun,cat,domestic species
γάτος,noun,cat,domestic species
σεντ,noun,cent,subunit of currency in US and elsewhere
κέντρο,noun,center,point equidistant from all points on the perimeter of a circle
καρέκλα,noun,chair,furniture
αλλαγή,noun,change,the process of becoming different
φτηνός,adj,cheap,low and/or reduced in price
τυρί,noun,cheese,dairy product
κοτόπουλο,noun,chicken,bird
κότα,noun,chicken,bird
παιδί,noun,child,son or daughter; someone's child
τέκνο,noun,child,son or daughter; someone's child
σοκολάτα,noun,chocolate,food made from ground roasted cocoa beans
διαλέγω,verb,choose,to pick
επιλέγω,verb,choose,to pick
πόλη,noun,city,large settlement
τάξη,noun,class,"group, collection, category or set sharing characteristics or attributes"
είδος,noun,class,"group, collection, category or set sharing characteristics or attributes"
κατηγορία,noun,class,"group, collection, category or set sharing characteristics or attributes"
αίθουσα διδασκαλίας,noun,classroom,room in a school
καθαρίζω,verb,clean,(transitive) to remove dirt from a place or object
ανεβαίνω,verb,climb,"to ascend, to go up"
ρολόι,noun,clock,instrument to measure or keep track of time
ωρολόγιο,noun,clock,instrument to measure or keep track of time
κλείνω,verb,close,obstruct (an opening)
ρούχο,noun,clothes,apparel
λέσχη,noun,club,association of members
κλαμπ,noun,club,association of members
σωματείο,noun,club,association of members
πανωφόρι,noun,coat,outer garment covering the upper torso and arms
παλτό,noun,coat,outer garment covering the upper torso and arms
