word,part_of_speech,english_word,sense
Friday,noun,Friday,"The sixth day of the week in many religious traditions, and the fifth day of the week in systems using the ISO 8601 norm; the Muslim Sabbath; it follows Thursday and precedes Saturday."
Monday,noun,Monday,"The second day of the week in many religious traditions, and the first day of the week in systems using the ISO 8601 norm. It follows Sunday and precedes Tuesday."
Saturday,noun,Saturday,"The seventh day of the week in many religious traditions, and the sixth day of the week in systems using the ISO 8601 norm; the Jewish Sabbath; it follows Friday and precedes Sunday."
Sunday,noun,Sunday,"The first day of the week in many religious traditions, and the seventh day of the week in systems using the ISO 8601 standard; the Christian Sabbath; the Lord's Day; it follows Saturday and precedes Monday."
Thursday,noun,Thursday,"The fifth day of the week in many religious traditions, and the fourth day of the week in systems using the ISO 8601 norm; it follows Wednesday and precedes Friday."
Tuesday,noun,Tuesday,"The third day of the week in many religious traditions, and the second day of the week in systems that use the ISO 8601 norm; it follows Monday and precedes Wednesday."
Wednesday,noun,Wednesday,"The fourth day of the week in many religious traditions, and the third day of the week in systems using the ISO 8601 norm; it follows Tuesday and precedes Thursday."
about,adv,about,On all sides; around.
above,adv,above,Directly overhead; vertically on top of.
action,noun,action,The effort of performing or doing something.
activity,noun,activity,The state or quality of being active; activeness.
actor,noun,actor,Someone who institutes a legal suit; a plaintiff or complainant.
actress,noun,actress,A female who performs on the stage or in films.
add,verb,add,"To join or unite (e.g. one thing to another, or as several particulars) so as to increase the number, augment the quantity, or enlarge the magnitude, or so as to form into one aggregate."
address,noun,address,Direction.
adult,noun,adult,A fully grown human or other animal.
advice,noun,advice,An opinion offered to guide behavior in an effort to be helpful.
afraid,adj,afraid,Impressed with fear or apprehension; in fear.
afternoon,noun,afternoon,"The part of the day from noon or lunchtime until sunset, evening, or suppertime or 6pm."
again,adv,again,Another time: indicating a repeat of an action.
age,noun,age,"The amount of time that some being has been alive, or that some thing has been in existence, as measured from its birth or origin until the present or until some other given reference point. (Often measured in number of years; alternatively in months, days, hours, etc.; see also the usage notes)"
agree,verb,agree,"To be in harmony about an opinion, statement, or action; to have a consistent idea between two or more people."
air,noun,air,"The substance constituting Earth's atmosphere: a gaseous mixture of nitrogen, oxygen, and various trace gases."
airport,noun,airport,"An airfield (an area designated for the takeoff and landing of aircraft), including one or more runways and (for commercial airports) one or more passenger terminals."
also,adv,also,In addition; besides; as well; further; too.
always,adv,always,At all times; throughout all time; since the beginning.
amazing,adj,amazing,Causing wonder and amazement; very surprising.
angry,adj,angry,Displaying or feeling anger.
animal,noun,animal,"Any eukaryote of the clade Animalia; a multicellular organism that is usually mobile, whose cells are not encased in a rigid cell wall (distinguishing it from plants and fungi) and which derives energy solely from the consumption of other organisms (distinguishing it from plants)."
answer,noun,answer,A response or reply; something said or done in reaction to a statement or question.
answer,verb,answer,To make a reply or response to.
apartment,noun,apartment,"A complete domicile occupying only part of a building, especially one for rent; a flat."
apple,noun,apple,"A common, firm, round fruit produced by a tree of the genus Malus."
area,noun,area,A measure of the extent of a surface; it is measured in square units.
arm,noun,arm,A weapon.
arm,noun,arm,"The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand."
around,adv,around,"So as to form a circle or trace a circular path, or approximation thereof."
arrive,verb,arrive,To reach; to get to a certain place.
art,noun,art,"The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium."
article,noun,article,"A piece of nonfiction writing such as a story, report, opinion piece, or entry in a newspaper, magazine, journal, encyclopedia, etc."
artist,noun,artist,A person who creates art.
ask,verb,ask,To request or petition.
aunt,noun,aunt,The sister or sister-in-law of one’s parent.
away,adv,away,"From a place, hence."
awesome,adj,awesome,Causing awe or terror; inspiring wonder or excitement.
baby,noun,baby,"A very young human, particularly from birth to a couple of years old or until walking is fully mastered."
back,adv,back,To or in a previous condition or place.
back,noun,back,"A large shallow vat; a cistern, tub, or trough, used by brewers, distillers, dyers, picklers, gluemakers, and others, for mixing or cooling wort, holding water, hot glue, etc."
back,noun,back,"The rear of the body, especially the part between the neck and the end of the spine and opposite the chest and belly."
bad,adj,bad,"Bold, daring, and tough."
bag,noun,bag,"A soft container made out of cloth, paper, thin plastic, etc. and open at the top, used to hold food, commodities, and other goods."
ball,noun,ball,A formal dance.
ball,noun,ball,"A solid or hollow sphere, or roughly spherical mass."
banana,noun,banana,"An elongated curved tropical fruit of a banana plant, which grows in bunches and has a creamy flesh and a smooth skin."
bank,noun,bank,A row or panel of items stored or grouped together.
bank,noun,bank,"An edge of river, lake, or other watercourse."
bank,noun,bank,An institution where one can place and borrow money and take care of financial affairs.
bar,noun,bar,"A non-SI unit of pressure equal to 100,000 pascals, approximately equal to atmospheric pressure at sea level."
bar,noun,bar,"A solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length."
baseball,noun,baseball,"A sport common in North America, the Caribbean, and East Asia, in which the object is to strike a ball so that one of a nine-person team can run counter-clockwise among four bases, resulting in the scoring of a run. The team with the most runs after termination of play, usually nine innings, wins."
basketball,noun,basketball,A sport in which two opposing teams of five players strive to put a ball through a hoop.
bath,noun,bath,A former Hebrew unit of liquid volume (about 23 L or 6 gallons).
bath,noun,bath,A tub or pool which is used for bathing: bathtub.
bathroom,noun,bathroom,"A room containing a shower and/or bathtub, and (typically but not necessarily) a toilet."
beach,noun,beach,"The shore of a body of water, especially when sandy or pebbly."
beautiful,adj,beautiful,"Possessing beauty, impressing the eye; attractive."
become,verb,become,begin to be; turn into.
bed,noun,bed,"A piece of furniture, usually flat and soft, on which to rest or sleep."
bedroom,noun,bedroom,"A room in a house, apartment, hotel, or other dwelling where a bed is kept for sleeping."
beer,noun,beer,"An alcoholic drink fermented from starch material, commonly barley malt; often with hops or some other substance (like gruit) to impart a bitter flavor."
begin,verb,begin,"To start, to initiate or take the first step into something."
beginning,noun,beginning,"The act of doing that which begins anything; commencement of an action, state, or space of time; entrance into being or upon a course; the first act, effort, or state of a succession of acts or states."
