english_word,word,part_of_speech,sense
Friday,viernes,noun,day of the week
Monday,lunes,noun,day of the week
Saturday,sábado,noun,day of the week
Sunday,domingo,noun,day of the week
Thursday,jueves,noun,day of the week
Tuesday,martes,noun,day of the week
Wednesday,miércoles,noun,day of the week
about,alrededor de,adv,"nearly, approximately"
about,unos,adv,"nearly, approximately"
above,arriba,adv,in a higher place
action,acción,noun,something done so as to accomplish a purpose
activity,actividad,noun,state or quality of being active
actor,actor,noun,person who performs in a theatrical play or film — see also actress
actress,actriz,noun,female actor — see also actor
add,añadir,verb,to append (e.g. a statement); to say further information; to add on
add,sumar,verb,"to perform the arithmetical operation of addition, to add up"
address,dirección,noun,description of the location of a property; direction for correspondence
adult,adulto,noun,fully grown human
advice,consejo,noun,"opinion recommended or offered, as worthy to be followed; counsel"
afraid,con miedo,adj,impressed with fear or apprehension; in fear; apprehensive
afraid,asustado,adj,impressed with fear or apprehension; in fear; apprehensive
afternoon,tarde,noun,part of the day between noon and evening
again,otra vez,adv,another time
again,de nuevo,adv,another time
again,nuevamente,adv,another time
age,edad,noun,amount of time since the birth of a being or the beginning of a thing
agree,estar de acuerdo,verb,harmonize in opinion; be in unison or concord; be united; concur
agree,acordar,verb,harmonize in opinion; be in unison or concord; be united; concur
air,aire,noun,mixture of gases making up the atmosphere of the Earth
airport,aeropuerto,noun,place designated for airplanes
also,también,adv,in addition; besides; as well; further; too
always,siempre,adv,at all times
amazing,asombroso,adj,causing wonder and amazement
amazing,sorprendente,adj,causing wonder and amazement
angry,enojado,adj,displaying anger
angry,enfadado,adj,displaying anger
animal,animal,noun,organism
answer,responder,verb,to make a reply or response to
answer,contestar,verb,to make a reply or response to
apartment,apartamento,noun,domicile occupying part of a building
apartment,piso,noun,domicile occupying part of a building
apartment,vivienda,noun,domicile occupying part of a building
apple,manzana,noun,fruit of Malus domestica
area,área,noun,maths: measure of extent of a surface
area,región,noun,particular geographic region
arm,arma,noun,weapon
arm,brazo,noun,upper appendage from shoulder to wrist
arrive,llegar,verb,to reach
arrive,llegar,verb,to get to a certain place
art,arte,noun,skillful creative activity
article,artículo,noun,"story, report, or opinion piece"
artist,artista,noun,person who creates art
ask,preguntar,verb,request an answer
ask,pedir,verb,make a request
aunt,tía,noun,a parent's sister or sister-in-law
away,fuera,adv,from a place; hence
away,lejos,adv,at a distance in time or space
awesome,asombroso,adj,causing awe or terror
awesome,tremendo,adj,"excellent, exciting"
baby,bebé,noun,very young human being
baby,nene,noun,very young human being
back,hacia atrás,adv,to or in a previous condition or place
back,de vuelta,adv,to or in a previous condition or place
back,atrás,adv,away from the front or from an edge
bad,malo,adj,unfavorable; negative
bad,malo,adj,"evil, wicked"
bag,bolsa,noun,flexible container
bag,saco,noun,flexible container
ball,bola,noun,solid or hollow sphere
ball,esfera,noun,solid or hollow sphere
ball,pelota,noun,"object, generally spherical, used for playing games"
ball,balón,noun,"object, generally spherical, used for playing games"
banana,banana,noun,fruit
banana,plátano,noun,fruit
bank,banco,noun,institution
bar,barra,noun,solid object with uniform cross-section
bar,bar,noun,business licensed to sell intoxicating beverages
baseball,béisbol,noun,ball game
basketball,baloncesto,noun,the sport
bath,bañera,noun,tub
bath,cuarto de baño,noun,building or area where bathing occurs
beach,playa,noun,sandy shore
beautiful,hermoso,adj,attractive
beautiful,bello,adj,attractive
beautiful,lindo,adj,attractive
beautiful,guapo,adj,attractive
beautiful,bonito,adj,attractive
become,volverse,verb,to begin to be
bed,cama,noun,piece of furniture
bedroom,dormitorio,noun,room in a house where a bed is kept for sleeping
bedroom,habitación,noun,room in a house where a bed is kept for sleeping
beer,cerveza,noun,alcoholic drink made of malt
begin,comenzar,verb,"to start, to initiate (transitive)"
begin,empezar,verb,"to start, to initiate (transitive)"
begin,iniciar,verb,"to start, begin (intransitive)"
beginning,comienzo,noun,act of doing that which begins anything
beginning,principio,noun,act of doing that which begins anything
beginning,inicio,noun,act of doing that which begins anything
behind,detrás,adv,at the back part; in the rear
behind,atrás,adv,toward the back part or rear; backward
believe,creer,verb,to accept as true
below,abajo,adv,in a lower place
best,mejor,adj,superlative of the adjective good
better,mejor,adj,comparative of the adjectives good or well
bicycle,bicicleta,noun,vehicle
big,grande,adj,of a great size — see also large
bike,bici,noun,bicycle
bike,moto,noun,motorcycle
bill,factura,noun,invoice
bird,pájaro,noun,animal
birthday,cumpleaños,noun,anniversary
black,negro,noun,colour/color
blog,blog,noun,a personal or corporate website
blond,rubio,adj,having blond hair
blue,azul,noun,colour
boat,barco,noun,water craft
body,cuerpo,noun,physical structure of a human or animal
book,libro,noun,collection of sheets of paper bound together containing printed or written material
boot,bota,noun,heavy shoe that covers part of the leg
bored,aburrido,adj,suffering from boredom
boring,aburrido,adj,causing boredom or tiredness
bottle,botella,noun,container
box,caja,noun,cuboid space; container
boy,chico,noun,young male
boyfriend,novio,noun,male partner in a romantic relationship
bread,pan,noun,baked dough made from cereals
break,pausa,noun,"rest or pause, usually from work"
break,descanso,noun,"rest or pause, usually from work"
breakfast,desayuno,noun,first meal of the day
bring,traer,verb,to transport toward somebody/somewhere
brother,hermano,noun,male sibling
brown,marrón,noun,colour
build,construir,verb,(transitive) to form by combining materials or parts
building,edificio,noun,closed structure with walls and a roof
bus,autobús,noun,vehicle
business,negocio,noun,"occupation, work or trade of a person"
busy,ocupado,adj,crowded with business or activities
butter,mantequilla,noun,soft foodstuff made from milk
buy,comprar,verb,to obtain something with money
cake,pastel,noun,type of sweet dessert
call,llamada,noun,telephone conversation
camera,cámara,noun,still camera
can,poder,verb,to be able to; to know how to
car,coche,noun,"automobile, a vehicle steered by a driver"
card,tarjeta,noun,"flat, normally rectangular piece of stiff paper, plastic etc."
career,carrera,noun,one's calling in life; a person's occupation
carrot,zanahoria,noun,Daucus carota ssp. sativus
carry,llevar,verb,to transport by lifting
cat,gato,noun,domestic species
cent,céntimo,noun,subunit of currency in US and elsewhere
center,centro,noun,point equidistant from all points on the perimeter of a circle
chair,silla,noun,furniture
change,cambio,noun,the process of becoming different
chart,lista de éxitos,noun,"ranked listing of competitors, as of recorded music"
cheap,barato,adj,low and/or reduced in price
check,verificar,verb,to verify or compare with a source of information
check,comprobar,verb,to verify or compare with a source of information
cheese,queso,noun,dairy product
chicken,pollo,noun,bird
child,niño,noun,a minor
child,niña,noun,a minor
chocolate,chocolate,noun,food made from ground roasted cocoa beans
choose,escoger,verb,to pick
city,ciudad,noun,large settlement
class,clase,noun,"group, collection, category or set sharing characteristics or attributes"
classroom,aula,noun,room in a school
clean,limpiar,verb,(transitive) to remove dirt from a place or object
climb,subir,verb,"to ascend, to go up"
clock,reloj,noun,instrument to measure or keep track of time
close,cerrar,verb,obstruct (an opening)
clothes,ropa,noun,apparel
club,club,noun,association of members
coat,abrigo,noun,outer garment covering the upper torso and arms
coffee,café,noun,beverage
cold,frío,noun,low temperature
college,universidad,noun,academic institution
color,color,noun,spectral composition of visible light
come,venir,verb,to move nearer
common,común,adj,usual
company,empresa,noun,"in legal context, a corporation"
compare,comparar,verb,to assess the similarities between two things or between one thing and another
complete,terminar,verb,to finish
computer,ordenador,noun,programmable electronic device
concert,concierto,noun,a musical entertainment in which several voices or instruments take part
conversation,conversación,noun,expression and exchange of individual ideas through talking with other people
cook,cocinar,verb,to prepare food for eating
cooking,gastronomía,noun,the style or genre of food preparation; cookery; cuisine
cool,fresco,adj,having a slightly low temperature
correct,corregir,verb,to make something become right that was previously wrong
cost,costar,verb,"to incur a charge, a price"
country,país,noun,region of land
course,curso,noun,education: learning program
cousin,primo,noun,child of a person’s parent’s brother or sister
cow,vaca,noun,female domesticated ox or other bovine
cream,nata,noun,oily part of milk
create,crear,verb,to put into existence
culture,cultura,noun,"arts, customs and habits"
cup,taza,noun,drinking vessel
customer,cliente,noun,one who purchases or receives a product or service
cut,cortar,verb,to perform an incision
dad,papá,noun,informal: a father
dance,bailar,verb,move rhythmically to music
dancer,bailarín,noun,person who dances
dangerous,peligroso,adj,full of danger
dark,oscuro,adj,having an absolute or relative lack of light
date,fecha,noun,point of time at which a transaction or event takes place
date,cita,noun,pre-arranged social meeting
date,dátil,noun,fruit of the date palm
daughter,hija,noun,female offspring
day,día,noun,period of 24 hours
dear,querido,adj,loved; lovable
decide,decidir,verb,to resolve or settle
delicious,rico,adj,pleasing to taste
describe,describir,verb,to represent in words
description,descripción,noun,account in words
design,diseñar,verb,to plan an artwork etc.
desk,escritorio,noun,table for writing and reading
detail,detalle,noun,part small enough to escape casual notice
dialogue,diálogo,noun,conversation or other discourse between individuals
dictionary,diccionario,noun,publication that explains the meanings of an ordered list of words
die,morir,verb,to stop living
diet,dieta,noun,food a person or animal consumes
difference,diferencia,noun,characteristic of something that makes it different from something else
different,diferente,adj,not the same
difficult,difícil,adj,"hard, not easy"
dinner,cena,noun,evening meal
dirty,sucio,adj,covered with or containing dirt
discuss,discutir,verb,to converse or debate concerning a particular topic
dish,vajilla,noun,vessel for holding/serving food
do,hacer,verb,"perform, execute"
doctor,doctor,noun,person who has attained a doctorate
dog,perro,noun,animal
dollar,dólar,noun,designation for specific currency
door,puerta,noun,"portal of entry into a building, room or vehicle"
down,abajo,adv,"from a high to a low position, downwards"
downstairs,abajo,adv,downstairs (adverb)
draw,dibujar,verb,to produce a picture
dress,vestir,verb,"to put clothes on (oneself or someone, etc.) — see also clothe"
drink,beber,verb,consume liquid through the mouth
drive,conducir,verb,to operate (a wheeled motorized vehicle)
driver,conductor,noun,"one who drives something, e.g. cattle"
each,cada uno,adv,apiece
ear,oído,noun,organ of hearing
early,temprano,adv,at a time before expected
easy,fácil,adj,requiring little skill or effort
eat,comer,verb,"to ingest — see also consume, ingest"
egg,huevo,noun,"approximately spherical or ellipsoidal body produced by birds, insects, reptiles, and other animals, housing the embryo within a membrane or shell during its development"
elephant,elefante,noun,mammal
email,enviar un correo electrónico,verb,(transitive) to send an email or emails to
end,acabar[se],verb,"intransitive: be finished, be terminated"
enjoy,disfrutar,verb,to receive pleasure or satisfaction from something
enough,suficientemente,adv,sufficiently
even,aun,adv,emphasising comparative
evening,tarde,noun,time of day between the approximate time of midwinter dusk and midnight
event,evento,noun,occurrence
example,ejemplo,noun,something serving to explain or illustrate a rule
excited,entusiasmado,adj,having great enthusiasm and energy
exciting,emocionante,adj,causing excitement
exercise,hacer ejercicio,verb,perform physical activity
expensive,caro,adj,having a high price or cost
explain,explicar,verb,to make intelligible
extra,adicional,adj,"beyond what is due, usual"
eye,ojo,noun,organ
face,cara,noun,anatomy: front part of head
fact,hecho,noun,something concrete used as a basis for further interpretation
fall,caída,noun,act of moving in gas or vacuum under the effect of gravity from a point to a lower point
FALSE,falso,adj,"untrue, not factual, wrong"
famous,famoso,adj,well known
fantastic,fantástico,adj,"wonderful, marvelous, excellent, extraordinarily good"
far,lejos,adv,at a great distance
farm,granja,noun,place where agricultural activities take place
farmer,granjero,noun,person who works the land and/or who keeps livestock
fast,rápidamente,adv,with great speed
fat,gordo,adj,carrying a larger than normal amount of fat on one's body
father,padre,noun,male parent
feel,sentir,verb,transitive: to experience an emotion or other mental state about
feeling,sentimiento,noun,emotion; impression
festival,festival,noun,event or community gathering
fill,llenar,verb,"add contents to, so it is full"
final,final,adj,last; ultimate
find,encontrar,verb,"encounter, locate, discover"
fine,fino,adj,made up of particularly small pieces
finish,terminar,verb,to complete
fire,fuego,noun,oxidation reaction
first,para empezar,adv,before anything else
fish,pez,noun,vertebrate animal
flight,vuelo,noun,act of flying
floor,suelo,noun,bottom part of a room
flower,flor,noun,reproductive structure in angiosperms
fly,volar,verb,to travel through air
follow,seguir,verb,to go or come after in physical space
food,comida,noun,any substance consumed by living organisms to sustain life
foot,pie,noun,part of human body
football,fútbol,noun,association football
forget,olvidar,verb,to lose remembrance of
form,formar,verb,to give shape
free,libre,adj,unconstrained
friend,amigo,noun,person whose company one enjoys
friendly,amistoso,adj,"approachable, warm"
fruit,fruta,noun,part of plant
full,lleno,adj,containing the maximum possible amount
fun,diversión,noun,enjoyment or amusement
funny,divertido,adj,amusing; comical
future,futuro,noun,the time ahead
game,juego,noun,"playful activity that may be unstructured, amusement, pastime"
garden,jardín,noun,piece of land outside with flowers and plants
geography,geografía,noun,study of physical structure and inhabitants of the Earth
get,conseguir,verb,to obtain
get,obtener,verb,to obtain
girl,chica,noun,young female person
girlfriend,novia,noun,a female partner in a romantic relationship
give,dar,verb,transfer the possession of something to someone else
glass,cristal,noun,substance
glass,vaso,noun,drinking vessel
go,ir,verb,to move through space (especially from one place to another)
good,bueno,adj,acting in the interest of good; ethical good intentions
goodbye,adiós,noun,an utterance of goodbye
grandfather,abuelo,noun,grandfather (from either side)
grandmother,abuela,noun,mother of someone's parent
grandparent,abuelo,noun,parent of one's parent
gray,gris,noun,colour
great,genial,adj,very good
green,verde,noun,colour
group,grupo,noun,number of things or persons being in some relation to each other
grow,crecer,verb,(intransitive) to become bigger
guitar,guitarra,noun,musical instrument
gym,gimnasio,noun,sporting facility specialized for lifting weights and exercise
hair,cabello,noun,mass of such filaments on the human head
half,mitad,noun,one of two equal parts into which anything may be divided
hand,mano,noun,part of the fore limb
happen,ocurrir,verb,to occur
happen,pasar,verb,to occur
happy,feliz,adj,"contented, joyous"
hat,sombrero,noun,a head covering
hate,odiar,verb,to dislike intensely
have,tener,verb,to possess
head,cabeza,noun,part of the body
health,salud,noun,"state of being free of physical or psychological disease, illness, or malfunction"
healthy,sano,adj,enjoying good health
hear,oír,verb,to perceive with the ear
help,ayuda,noun,action given to provide assistance
here,aquí,adv,"in, on, or at this place"
high,alto,adj,elevated; tall
history,historia,noun,aggregate of past events
hobby,pasatiempo,noun,activity done for enjoyment in spare time
home,en casa,adv,at home
homework,deberes,noun,work that is done at home
hope,esperar,verb,"to want something to happen, with expectation that it might"
horse,caballo,noun,members of the species Equus ferus
hospital,hospital,noun,large medical facility
hot,caliente,adj,having a high temperature
hotel,hotel,noun,establishment providing accommodation
hour,hora,noun,time period of sixty minutes
house,casa,noun,human abode
how,cómo,adv,in what manner
however,sin embargo,adv,nevertheless
hungry,tener hambre,adj,affected by hunger; desirous of food
husband,marido,noun,male partner in marriage
husband,esposo,noun,male partner in marriage
ice,hielo,noun,water in frozen form
ice cream,helado,noun,dessert
idea,idea,noun,"a conception in the mind of something to be done; a plan for doing something, an intention"
imagine,imaginar,verb,(transitive) to form a mental image of something
important,importante,adj,having relevant and crucial value
improve,mejorar,verb,to make something better
in,hacia adentro,adv,moving to the interior
include,incluir,verb,to bring into as a part or member
information,información,noun,communicable knowledge
interest,interesar,verb,to attract attention or concern
interested,interesado,adj,having or showing interest
interesting,interesante,adj,arousing or holding the attention
interview,entrevistar,verb,to have an interview
introduce,presentar,verb,to cause someone to be acquainted
introduce,introducir,verb,"to add something to a system, a mixture, or a container"
island,isla,noun,area of land completely surrounded by water
jacket,chaqueta,noun,piece of clothing worn on the upper body outside a shirt or blouse
jeans,vaqueros,noun,denim trousers
job,trabajo,noun,task
join,juntar,verb,to combine more than one item into one; to put together
juice,zumo,noun,beverage made of juice
just,sólo,adv,"only, simply, merely"
keep,guardar,verb,to maintain possession of
key,clave,adj,indispensable
kind,tipo,noun,"type, race, category"
kitchen,cocina,noun,room
know,saber,verb,be justifiably certain or sure about (something true)
land,tierra,noun,part of Earth that is not covered by oceans or other bodies of water
language,idioma,noun,body of words used as a form of communication
large,grande,adj,of greater size — see also big
late,tarde,adv,past a designated time
later,después,adv,afterward in time
laugh,risa,noun,expression of mirth peculiar to the human species
learn,aprender,verb,to acquire knowledge or ability
leave,dejar,verb,"to depart from, end one's connection or affiliation with"
leave,salir,verb,to depart (intransitive)
left,izquierda,noun,the left side
leg,pierna,noun,lower limb from groin to ankle
lesson,lección,noun,section of learning or teaching
let,permitir,verb,allow
letter,letra,noun,a symbol in an alphabet
library,biblioteca,noun,"institution which holds books, etc."
lie,mentir,verb,tell an intentional untruth
lie,estar tumbado,verb,be in horizontal position
life,vida,noun,the state of being alive
light,ligero,adj,of low weight
like,gustar,verb,to enjoy
line,línea,noun,"path through two or more points, threadlike mark"
lion,león,noun,big cat Panthera leo
list,enumerar,verb,to create or recite a list
listen,escuchar,verb,to pay attention to a sound
little,pequeño,adj,small in size
little,poco,adj,"insignificant, trivial"
live,vivir,verb,be alive
live,vivir,verb,have permanent residence
local,local,adj,of a nearby location
look,mirar,verb,to try to see
lose,perder,verb,cause (something) to cease to be in one's possession or capability
love,amar,verb,have a strong affection for
lunch,almuerzo,noun,meal around midday
machine,máquina,noun,mechanical or electrical device
magazine,revista,noun,periodical
main,principal,adj,"chief, most important, or principal in extent, etc."
make,hacer,verb,to create
mall,centro comercial,noun,enclosed shopping centre
man,hombre,noun,adult male human
map,mapa,noun,visual representation of an area
market,mercado,noun,spacious site for trading
married,casado,adj,in a state of marriage; having a wife or a husband
match,coincidir,verb,intransitive: to agree; to be equal
match,corresponder[se],verb,intransitive: to agree; to be equal
maybe,quizás,adv,indicating a lack of certainty
meal,comida,noun,food that is prepared and eaten
mean,querer decir,verb,"to convey, indicate"
mean,significar,verb,to signify
meaning,sentido,noun,symbolic value of something
meat,carne,noun,animal flesh used as food
meet,encontrar,verb,to come face to face with by accident; to encounter
meet,quedar,verb,to come face to face with someone by arrangement
meeting,reunión,noun,gathering for a purpose
member,miembro,noun,one who officially belongs to a group
menu,menú,noun,details of the food to be served at a banquet
menu,carta,noun,details of the food to be served at a banquet
message,mensaje,noun,"communication, concept or information conveyed"
meter,metro,noun,measuring instrument
midnight,medianoche,noun,12 o'clock at night exactly — see also twelve o'clock
mile,milla,noun,measure of length
milk,leche,noun,liquid
minute,minuto,noun,unit of time
miss,echar de menos,verb,to feel the absence of someone or something; to feel the want or need of
mistake,error,noun,an error
model,modelo,noun,person
model,modelo,noun,praiseworthy example
modern,moderno,adj,pertaining to the current time and style
moment,momento,noun,very brief period of time
money,dinero,noun,means of exchange and measure of value
month,mes,noun,period into which a year is divided
morning,mañana,noun,part of the day between dawn and midday
mother,madre,noun,"female (human) who parents a child, gives birth to a baby, or is pregnant"
mountain,montaña,noun,large mass of earth and rock
mouse,ratón,noun,rodent of the genus Mus
mouth,boca,noun,the opening of a creature through which food is ingested
move,moverse,verb,(intransitive) to change place or posture; to go
movie,película,noun,motion picture
museum,museo,noun,building or institution
music,música,noun,"sound, organized in time in a melodious way"
must,deber,verb,be required to
name,nombrar,verb,to give a name to
natural,natural,adj,of or relating to nature
near,cerca,adv,at or towards a position close in space or time
need,necesitar,verb,to have an absolute requirement for
negative,negativo,adj,not positive or neutral
neighborhood,barrio,noun,area near one's home
never,nunca,adv,at no time
never,jamás,adv,at no time
new,nuevo,adj,recently made or created
news,noticias,noun,new information of interest
newspaper,periódico,noun,publication
next,después,adv,On the first subsequent occasion
nice,amable,adj,"pleasant, satisfactory"
night,noche,noun,period between sunset and sunrise
nose,nariz,noun,protuberance on the face
note,nota,noun,marginal comment or explanation
now,ahora,adv,at the present time
number,número,noun,abstract entity used to describe quantity
nurse,enfermera,noun,person trained to provide care for the sick
object,objeto,noun,thing
ocean,océano,noun,one of the large bodies of water
office,oficina,noun,room(s) or building used for non-manual work
often,a menudo,adv,"frequently, many times"
old,antiguo,adj,"of an object, concept, etc: having existed for a relatively long period of time"
once,una vez,adv,one and only one time
onion,cebolla,noun,Allium cepa
online,en línea,adj,connected to the Internet
only,sólo,adv,without others or anything further; exclusively
open,abrir,verb,to make something accessible
opinion,opinión,noun,thought a person has formed about a topic
orange,naranja,adj,having the colour of the fruit of an orange tree
order,ordenar,verb,to set in (any) order
order,pedir,verb,to request some product or service
out,fuera,adv,away from the inside or the centre
outside,fuera,adv,in or to the outside
over,excesivamente,adv,to an excessive degree
