word,part_of_speech,english_word,sense
perjantai,noun,Friday,day of the week
maanantai,noun,Monday,day of the week
lauantai,noun,Saturday,day of the week
sunnuntai,noun,Sunday,day of the week
sunnuntainumero,noun,Sunday,newspaper
torstai,noun,Thursday,day of the week
tiistai,noun,Tuesday,day of the week
keskiviikko,noun,Wednesday,day of the week
ympäri,adv,about,on all sides
ympärillä,adv,about,on all sides
ympärille,adv,about,on all sides
siellä täällä,adv,about,here and there
noin,adv,about,"nearly, approximately"
likimain,adv,about,"nearly, approximately"
suunnilleen,adv,about,"nearly, approximately"
lähellä,adv,about,near; in the vicinity
ympäri,adv,about,"to a reversed order, or opposite direction"
toiselle halssille,adv,about,nautical: to the opposite tack
peräkkäin,adv,about,in succession; one after another
peräkanaa,adv,about,in succession; one after another
peräjälkeen,adv,about,in succession; one after another
ympäri,adv,about,in circuit
yllä,adv,above,"overhead, on top of"
yllä,adv,above,earlier in order in writing
edellä,adv,above,earlier in order in writing
yllä,adv,above,of or in the heavens or sky
ylhäällä,adv,above,in a higher place
korkealla,adv,above,in a higher place
ylempänä,adv,above,higher in rank
yläpuolella,adv,above,higher in rank
olla ylempiarvoinen kuin,adv,above,higher in rank
ynnä,adv,above,archaic: in addition
yli,adv,above,more
yli nollan,adv,above,above freezing
päältä,adv,above,on the upper half of the dorsal surface
toiminta,noun,action,effort of performing or doing something
tekeminen,noun,action,effort of performing or doing something
teko,noun,action,something done so as to accomplish a purpose
toimenpide,noun,action,something done so as to accomplish a purpose
toimi,noun,action,something done so as to accomplish a purpose
liike,noun,action,way of motion or functioning
toiminta,noun,action,fast-paced activity
koneisto,noun,action,music: set of moving mechanical parts of a keyboard instrument
kielen korkeus,noun,action,music: distance separating the strings and the fretboard
kyyti,noun,action,slang: intercourse
pano,noun,action,slang: intercourse
taistelu,noun,action,military: combat
toiminta,noun,action,military: combat
kanne,noun,action,law: charge
toiminto,noun,action,mathematics: type of mapping
vaikutus,noun,action,physics: product of energy and time
toiminta,noun,action,unfolding of the drama of events
liike,noun,action,painting and sculpture: attitude or position of the several parts of the body
