word,part_of_speech,english_word,sense
vendredi,noun,Friday,day of the week
lundi,noun,Monday,day of the week
samedi,noun,Saturday,day of the week
dimanche,noun,Sunday,day of the week
jeudi,noun,Thursday,day of the week
mardi,noun,Tuesday,day of the week
mercredi,noun,Wednesday,day of the week
en haut,adv,above,"overhead, on top of"
activité,noun,activity,state or quality of being active
acteur,noun,actor,person who performs in a theatrical play or film — see also actress
actrice,noun,actor,person who performs in a theatrical play or film — see also actress
actrice,noun,actress,female actor — see also actor
ajouter,verb,add,to append (e.g. a statement); to say further information; to add on
adulte,noun,adult,fully grown human
grande personne,noun,adult,fully grown human
grand,noun,adult,fully grown human
conseil,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
effrayé,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
après-midi,noun,afternoon,part of the day between noon and evening
âge,noun,age,amount of time since the birth of a being or the beginning of a thing
être d'accord,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
consentir,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
air,noun,air,historical: one of the basic elements
aéroport,noun,airport,place designated for airplanes
aussi,adv,also,in addition; besides; as well; further; too
également,adv,also,in addition; besides; as well; further; too
toujours,adv,always,at all times
étonnant,adj,amazing,causing wonder and amazement
fâché,adj,angry,displaying anger
en colère,adj,angry,displaying anger
furieux,adj,angry,displaying anger
énervé,adj,angry,displaying anger
animal,noun,animal,organism
bête,noun,animal,organism
répondre,verb,answer,to make a reply or response to
appartement,noun,apartment,domicile occupying part of a building
pomme,noun,apple,fruit of Malus domestica
aire,noun,area,maths: measure of extent of a surface
arme,noun,arm,weapon
bras,noun,arm,upper appendage from shoulder to wrist
arriver,verb,arrive,to reach
art,noun,art,human effort
article,noun,article,"story, report, or opinion piece"
artiste,noun,artist,person who creates art
peintre,noun,artist,person who creates art
peintresse,noun,artist,person who creates art
demander,verb,ask,request an answer
poser une question,verb,ask,request an answer
tante,noun,aunt,a parent's sister or sister-in-law
tatie,noun,aunt,a parent's sister or sister-in-law
loin,adv,away,from a place; hence
impressionnant,adj,awesome,causing awe or terror
terrifiant,adj,awesome,causing awe or terror
bébé,noun,baby,very young human being
de retour,adv,back,to or in a previous condition or place
mauvais,adj,bad,unfavorable; negative
sac,noun,bag,flexible container
poche,noun,bag,flexible container
cornet,noun,bag,flexible container
bal,noun,ball,formal dance
balle,noun,ball,solid or hollow sphere
boule,noun,ball,solid or hollow sphere
banane,noun,banana,fruit
rang,noun,bank,row or panel of items
rive,noun,bank,edge of river or lake
banque,noun,bank,institution
bar,noun,bar,unit of pressure
barre,noun,bar,solid object with uniform cross-section
baseball,noun,baseball,ball game
base-ball,noun,baseball,ball game
basket-ball,noun,basketball,the sport
basketball,noun,basketball,the sport
ballon-panier,noun,basketball,the sport
bain,noun,bath,tub
baignoire,noun,bath,tub
salle de bains,noun,bathroom,a room with a bathtub
plage,noun,beach,sandy shore
beau,adj,beautiful,attractive
belle,adj,beautiful,attractive
devenir,verb,become,to begin to be
lit,noun,bed,piece of furniture
couche,noun,bed,piece of furniture
chambre,noun,bedroom,room in a house where a bed is kept for sleeping
chambre à coucher,noun,bedroom,room in a house where a bed is kept for sleeping
dortoir,noun,bedroom,room in a house where a bed is kept for sleeping
piaule,noun,bedroom,room in a house where a bed is kept for sleeping
bière,noun,beer,alcoholic drink made of malt
commencer,verb,begin,"to start, to initiate (transitive)"
démarrer,verb,begin,"to start, to initiate (transitive)"
se mettre,verb,begin,"to start, to initiate (transitive)"
début,noun,beginning,act of doing that which begins anything
commencement,noun,beginning,act of doing that which begins anything
croire,verb,believe,to accept that someone is telling the truth (object: person)
en bas,adv,below,in a lower place
meilleur,adj,best,superlative of the adjective good
meilleure,adj,best,superlative of the adjective good
meilleur,adj,better,comparative of the adjectives good or well
vélo,noun,bicycle,vehicle
bicyclette,noun,bicycle,vehicle
vélocipède,noun,bicycle,vehicle
grand,adj,big,of a great size — see also large
gros,adj,big,of a great size — see also large
vélo,noun,bike,bicycle
hallebarde,noun,bill,weapon of infantry
bec,noun,bill,bird's beak
oiseau,noun,bird,animal
oiselle,noun,bird,animal
oiselet,noun,bird,animal
oisillon,noun,bird,animal
anniversaire,noun,birthday,anniversary
fête,noun,birthday,anniversary
noir,noun,black,colour/color
blog,noun,blog,a personal or corporate website
blogue,noun,blog,a personal or corporate website
blond,adj,blond,of a pale golden colour
bleu,noun,blue,colour
bateau,noun,boat,water craft
barque,noun,boat,water craft
nacelle,noun,boat,water craft
navire,noun,boat,water craft
corps,noun,body,physical structure of a human or animal
livre,noun,book,collection of sheets of paper bound together containing printed or written material
bouquin,noun,book,collection of sheets of paper bound together containing printed or written material
copie pirate,noun,boot,bootleg recording
botte,noun,boot,heavy shoe that covers part of the leg
bottine,noun,boot,heavy shoe that covers part of the leg
ennuyé,adj,bored,suffering from boredom
ennuyeux,adj,boring,causing boredom or tiredness
barbant,adj,boring,causing boredom or tiredness
ennuyant,adj,boring,causing boredom or tiredness
bouteille,noun,bottle,container
coup de poing,noun,box,blow with the fist
buis,noun,box,shrub or tree of the genus Buxus — see also box tree
boîte,noun,box,cuboid space; container
caisse,noun,box,cuboid space; container
garçon,noun,boy,young male
mon/ton/son ami,noun,boyfriend,male partner in a romantic relationship
petit ami,noun,boyfriend,male partner in a romantic relationship
mon/ton/son copain,noun,boyfriend,male partner in a romantic relationship
petit copain,noun,boyfriend,male partner in a romantic relationship
chum,noun,boyfriend,male partner in a romantic relationship
mec,noun,boyfriend,male partner in a romantic relationship
keum,noun,boyfriend,male partner in a romantic relationship
chéri,noun,boyfriend,male partner in a romantic relationship
compagnon,noun,boyfriend,male partner in a romantic relationship
partenaire,noun,boyfriend,male partner in a romantic relationship
amoureux,noun,boyfriend,male partner in a romantic relationship
sigisbée,noun,boyfriend,male partner in a romantic relationship
pain,noun,bread,baked dough made from cereals
casse,noun,break,instance of breaking something into pieces
petit déjeuner,noun,breakfast,first meal of the day
déjeuner,noun,breakfast,first meal of the day
apporter,verb,bring,to transport toward somebody/somewhere
amener,verb,bring,to transport toward somebody/somewhere
frère,noun,brother,male sibling
marron,noun,brown,colour
brun,noun,brown,colour
construire,verb,build,(transitive) to form by combining materials or parts
édifier,verb,build,(transitive) to form by combining materials or parts
ériger,verb,build,(transitive) to form by combining materials or parts
bâtir,verb,build,(transitive) to form by combining materials or parts
construction,noun,building,act or process of building
autobus,noun,bus,vehicle
bus,noun,bus,vehicle
entreprise,noun,business,commercial enterprise or establishment
firme,noun,business,commercial enterprise or establishment
compagnie,noun,business,commercial enterprise or establishment
occupé,adj,busy,crowded with business or activities
beurre,noun,butter,soft foodstuff made from milk
acheter,verb,buy,to obtain something with money
gâteau,noun,cake,type of sweet dessert
pâtisserie,noun,cake,type of sweet dessert
appel,noun,call,cry or shout
cri,noun,call,cry or shout
appareil photo,noun,camera,still camera
pouvoir,verb,can,to be able to; to know how to
conserver,verb,can,to preserve
ne pas pouvoir,verb,cannot,"cannot — see also can, not"
voiture,noun,car,"automobile, a vehicle steered by a driver"
auto,noun,car,"automobile, a vehicle steered by a driver"
automobile,noun,car,"automobile, a vehicle steered by a driver"
char,noun,car,"automobile, a vehicle steered by a driver"
carte,noun,card,"resource or an argument, used to achieve a purpose"
carrière,noun,career,one's calling in life; a person's occupation
carotte,noun,carrot,Daucus carota ssp. sativus
porter,verb,carry,to transport by lifting
chat,noun,cat,domestic species
chatte,noun,cat,domestic species
cent,noun,cent,subunit of currency in US and elsewhere
centime,noun,cent,subunit of currency in US and elsewhere
sou,noun,cent,subunit of currency in US and elsewhere
centre,noun,center,point equidistant from all points on the perimeter of a circle
chaise,noun,chair,furniture
fauteuil,noun,chair,furniture
changement,noun,change,the process of becoming different
modification,noun,change,the process of becoming different
mutation,noun,change,the process of becoming different
évolution,noun,change,the process of becoming different
carte,noun,chart,navigator's map
bon marché,adj,cheap,low and/or reduced in price
pas cher,adj,cheap,low and/or reduced in price
peu cher,adj,cheap,low and/or reduced in price
économique,adj,cheap,low and/or reduced in price
vérifier,verb,check,"to inspect, examine"
contrôler,verb,check,"to inspect, examine"
checker,verb,check,"to inspect, examine"
fromage,noun,cheese,dairy product
poulet,noun,chicken,bird
enfant,noun,child,son or daughter; someone's child
chocolat,noun,chocolate,food made from ground roasted cocoa beans
choisir,verb,choose,to pick
ville,noun,city,large settlement
cité,noun,city,large settlement
grande-ville,noun,city,large settlement
classe,noun,class,"group, collection, category or set sharing characteristics or attributes"
salle de classe,noun,classroom,room in a school
nettoyer,verb,clean,(transitive) to remove dirt from a place or object
poutzer,verb,clean,(transitive) to remove dirt from a place or object
grimper,verb,climb,"to ascend, to go up"
monter,verb,climb,"to ascend, to go up"
horloge,noun,clock,instrument to measure or keep track of time
fermer,verb,close,obstruct (an opening)
boucher,verb,close,obstruct (an opening)
clore,verb,close,obstruct (an opening)
vêtements,noun,clothes,apparel
fringues,noun,clothes,apparel
club,noun,club,association of members
manteau,noun,coat,outer garment covering the upper torso and arms
paletot,noun,coat,outer garment covering the upper torso and arms
pardessus,noun,coat,outer garment covering the upper torso and arms
café,noun,coffee,beverage
froid,noun,cold,low temperature
collège,noun,college,group of colleagues
couleur,noun,color,spectral composition of visible light
venir,verb,come,to move nearer
commun,adj,common,mutual
société,noun,company,"in legal context, a corporation"
entreprise,noun,company,"in legal context, a corporation"
firme,noun,company,"in legal context, a corporation"
compagnie,noun,company,"in legal context, a corporation"
comparer,verb,compare,to assess the similarities between two things or between one thing and another
accomplir,verb,complete,to finish
terminer,verb,complete,to finish
achever,verb,complete,to finish
ordinateur,noun,computer,programmable electronic device
concert,noun,concert,agreement in a design or plan
conversation,noun,conversation,expression and exchange of individual ideas through talking with other people
cuisiner,verb,cook,to prepare food for eating
cuire or faire cuire,verb,cook,to prepare food for eating
cuisine,noun,cooking,the process of preparing food by using heat
frais,adj,cool,having a slightly low temperature
corriger,verb,correct,to make something become right that was previously wrong
coûter,verb,cost,"to incur a charge, a price"
couter,verb,cost,"to incur a charge, a price"
pays,noun,country,region of land
contrée,noun,country,region of land
vache,noun,cow,female domesticated ox or other bovine
crème,noun,cream,oily part of milk
créer,verb,create,to put into existence
culture,noun,culture,"arts, customs and habits"
tasse,noun,cup,drinking vessel
coupe,noun,cup,drinking vessel
chaland,noun,customer,"(obsolete) habitual patron, regular purchaser, returning client"
chalande,noun,customer,"(obsolete) habitual patron, regular purchaser, returning client"
couper,verb,cut,to perform an incision
inciser,verb,cut,to perform an incision
papa,noun,dad,informal: a father
danser,verb,dance,move rhythmically to music
danseur,noun,dancer,person who dances
dangereux,adj,dangerous,full of danger
périlleux,adj,dangerous,full of danger
périculeux,adj,dangerous,full of danger
obscur,adj,dark,having an absolute or relative lack of light
sombre,adj,dark,having an absolute or relative lack of light
date,noun,date,"that which specifies the time of writing, inscription etc."
datte,noun,date,fruit of the date palm
fille,noun,daughter,female offspring
jour,noun,day,period between sunrise and sunset
cher,adj,dear,loved; lovable
décider,verb,decide,to resolve or settle
délicieux,adj,delicious,pleasing to taste
savoureux,adj,delicious,pleasing to taste
gouteux,adj,delicious,pleasing to taste
goutu,adj,delicious,pleasing to taste
décrire,verb,describe,to represent in words
description,noun,description,account in words
concevoir,verb,design,to plan an artwork etc.
bureau,noun,desk,table for writing and reading
pupitre,noun,desk,table for writing and reading
détail,noun,detail,part small enough to escape casual notice
dialogue,noun,dialogue,conversation or other discourse between individuals
conversation,noun,dialogue,conversation or other discourse between individuals
dictionnaire,noun,dictionary,publication that explains the meanings of an ordered list of words
dico,noun,dictionary,publication that explains the meanings of an ordered list of words
mourir,verb,die,to stop living
expirer,verb,die,to stop living
trépasser,verb,die,to stop living
crever,verb,die,to stop living
Diète,noun,diet,council of leaders
parlement,noun,diet,council of leaders
diète,noun,diet,food a person or animal consumes
régime,noun,diet,food a person or animal consumes
différence,noun,difference,quality of being different
différent,adj,different,not the same
difficile,adj,difficult,"hard, not easy"
dîner,noun,dinner,evening meal
souper (Cajun),noun,dinner,evening meal
sale,adj,dirty,covered with or containing dirt
discuter,verb,discuss,to converse or debate concerning a particular topic
s'entretenir sur,verb,discuss,to converse or debate concerning a particular topic
débattre,verb,discuss,to converse or debate concerning a particular topic
assiette,noun,dish,vessel for holding/serving food
plat,noun,dish,vessel for holding/serving food
