word,part_of_speech,english_word,sense
拜五,noun,Friday,day of the week
拜六,noun,Saturday,day of the week
地址,noun,address,description of the location of a property; direction for correspondence
下晝 /下昼,noun,afternoon,part of the day between noon and evening
空氣 /空气,noun,air,historical: one of the basic elements
空氣 /空气,noun,air,mixture of gases making up the atmosphere of the Earth
機場 /机场,noun,airport,place designated for airplanes
飛機場 /飞机场,noun,airport,place designated for airplanes
動物 /动物,noun,animal,organism
公寓,noun,apartment,domicile occupying part of a building
林檎,noun,apple,fruit of Malus domestica
文章,noun,article,"story, report, or opinion piece"
弓蕉,noun,banana,fruit
銀行 /银行,noun,bank,institution
野球,noun,baseball,ball game
床,noun,bed,piece of furniture
眠床,noun,bed,piece of furniture
麥酒 /麦酒,noun,beer,alcoholic drink made of malt
啤露,noun,beer,alcoholic drink made of malt
自行車 /自行车,noun,bicycle,vehicle
腳踏車 /脚踏车,noun,bicycle,vehicle
自轉車 /自转车,noun,bicycle,vehicle
大,adj,big,of a great size — see also large
大人,adj,big,adult
鳥子 /鸟子,noun,bird,animal
鳥 /鸟,noun,bird,animal
鳥仔 /鸟仔,noun,bird,animal
生日,noun,birthday,anniversary
烏色 /乌色,noun,black,colour/color
船,noun,boat,water craft
書 /书,noun,book,collection of sheets of paper bound together containing printed or written material
盎仔,noun,bottle,container
兄弟,noun,brother,male fellow member of a religious community
公共汽車 /公共汽车,noun,bus,vehicle
公車 /公车,noun,bus,vehicle
巴士,noun,bus,vehicle
牛油,noun,butter,soft foodstuff made from milk
乳油,noun,butter,soft foodstuff made from milk
白塔,noun,butter,soft foodstuff made from milk
汽車 /汽车,noun,car,"automobile, a vehicle steered by a driver"
貓仔 /猫仔,noun,cat,domestic species
貓公 /猫公,noun,cat,domestic species
分,noun,cent,subunit of currency in US and elsewhere
凳仔,noun,chair,furniture
椅仔,noun,chair,furniture
便宜,adj,cheap,low and/or reduced in price
起士,noun,cheese,dairy product
雞 /鷄 /鸡,noun,chicken,bird
細人仔 /细人仔,noun,child,son or daughter; someone's child
巧克力,noun,chocolate,food made from ground roasted cocoa beans
城市,noun,city,large settlement
鐘 /钟,noun,clock,instrument to measure or keep track of time
服裝 /服装,noun,clothes,apparel
衫褲 /衫裤,noun,clothes,apparel
俱樂部 /俱乐部,noun,club,association of members
咖啡,noun,coffee,beverage
色,noun,color,spectral composition of visible light
