word,part_of_speech,english_word,sense
péntek,noun,Friday,day of the week
hétfő,noun,Monday,day of the week
szombat,noun,Saturday,day of the week
vasárnap,noun,Sunday,day of the week
csütörtök,noun,Thursday,day of the week
kedd,noun,Tuesday,day of the week
szerda,noun,Wednesday,day of the week
fent,adv,above,"overhead, on top of"
elfoglaltság,noun,activity,state or quality of being active
színész,noun,actor,person who performs in a theatrical play or film — see also actress
színésznő,noun,actor,person who performs in a theatrical play or film — see also actress
színművész,noun,actor,person who performs in a theatrical play or film — see also actress
színésznő,noun,actress,female actor — see also actor
hozzátesz,verb,add,to append (e.g. a statement); to say further information; to add on
hozzáad,verb,add,to append (e.g. a statement); to say further information; to add on
hozzáfűz,verb,add,to append (e.g. a statement); to say further information; to add on
kiegészít,verb,add,to append (e.g. a statement); to say further information; to add on
felnőtt,noun,adult,fully grown human
tanács,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
fél,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
délután,noun,afternoon,part of the day between noon and evening
vissza,adv,again,back to a former place or state
kor,noun,age,amount of time since the birth of a being or the beginning of a thing
egyetért,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
repülőtér,noun,airport,place designated for airplanes
reptér,noun,airport,place designated for airplanes
szintén,adv,also,in addition; besides; as well; further; too
is,adv,also,in addition; besides; as well; further; too
ugyancsak,adv,also,in addition; besides; as well; further; too
mindig,adv,always,at all times
mérges,adj,angry,displaying anger
dühös,adj,angry,displaying anger
haragos,adj,angry,displaying anger
ingerült,adj,angry,displaying anger
bosszús,adj,angry,displaying anger
dühödt,adj,angry,displaying anger
bősz,adj,angry,displaying anger
ideges,adj,angry,displaying anger
állat,noun,animal,organism
válaszol,verb,answer,to make a reply or response to
lakás,noun,apartment,domicile occupying part of a building
alma,noun,apple,fruit of Malus domestica
terület,noun,area,maths: measure of extent of a surface
kar,noun,arm,upper appendage from shoulder to wrist
elér,verb,arrive,to reach
művészet,noun,art,human effort
újságcikk,noun,article,"story, report, or opinion piece"
cikk,noun,article,"story, report, or opinion piece"
művész,noun,artist,person who creates art
kérdez,verb,ask,request an answer
megkérdez,verb,ask,request an answer
kérdést tesz fel,verb,ask,request an answer
érdeklődik,verb,ask,request an answer
nagynéni,noun,aunt,a parent's sister or sister-in-law
félelmetes,adj,awesome,causing awe or terror
csecsemő,noun,baby,very young human being
bébi,noun,baby,very young human being
baba,noun,baby,very young human being
vissza,adv,back,to or in a previous condition or place
rossz,adj,bad,unfavorable; negative
táska,noun,bag,flexible container
zsák,noun,bag,flexible container
szatyor,noun,bag,flexible container
tasak,noun,bag,flexible container
bál,noun,ball,formal dance
golyó,noun,ball,solid or hollow sphere
labda,noun,ball,solid or hollow sphere
gömb,noun,ball,solid or hollow sphere
