word,part_of_speech,english_word,sense
Jumat,noun,Friday,day of the week
Senin,noun,Monday,day of the week
Sabtu,noun,Saturday,day of the week
Minggu,noun,Sunday,day of the week
Ahad,noun,Sunday,day of the week
Kamis,noun,Thursday,day of the week
hari selasa,noun,Tuesday,day of the week
hari rabu,noun,Wednesday,day of the week
aksi,noun,action,something done so as to accomplish a purpose
tindakan,noun,action,something done so as to accomplish a purpose
kegiatan,noun,activity,something done as an action or a movement
aktivitas,noun,activity,something done as an action or a movement
kegiatan,noun,activity,something done for pleasure or entertainment
aktivitas,noun,activity,something done for pleasure or entertainment
aktor,noun,actor,person who performs in a theatrical play or film — see also actress
pemeran,noun,actor,person who performs in a theatrical play or film — see also actress
aktris,noun,actor,person who performs in a theatrical play or film — see also actress
aktris,noun,actress,female actor — see also actor
tambah,verb,add,to make an addition; to augment; to increase; to add on
menambah,verb,add,to make an addition; to augment; to increase; to add on
tambah,verb,add,"to perform the arithmetical operation of addition, to add up"
alamat,noun,address,description of the location of a property; direction for correspondence
dewasa,noun,adult,fully grown human
advis,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
nasihat,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
advis,noun,advice,information or notice given
takut,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
sore,noun,afternoon,part of the day between noon and evening
lagi,adv,again,another time
usia,noun,age,amount of time since the birth of a being or the beginning of a thing
umur,noun,age,amount of time since the birth of a being or the beginning of a thing
zaman,noun,age,particular period of time in history
abad,noun,age,great period in the history of the Earth
menyetujui,verb,agree,"to yield assent, to accede"
berjanji,verb,agree,to come to terms or to a common resolve
udara,noun,air,historical: one of the basic elements
hawa,noun,air,historical: one of the basic elements
udara,noun,air,mixture of gases making up the atmosphere of the Earth
hawa,noun,air,feeling or sense
bandar udara,noun,airport,place designated for airplanes
pelabuhan udara,noun,airport,place designated for airplanes
juga,adv,also,in addition; besides; as well; further; too
pula,adv,also,in addition; besides; as well; further; too
selalu,adv,always,at all times
marah,adj,angry,displaying anger
hewan,noun,animal,organism
binatang,noun,animal,organism
binatang,noun,animal,organism other than human
hewan,noun,animal,organism other than human
satwa,noun,animal,organism other than human
menjawab,verb,answer,to make a reply or response to
apartemen,noun,apartment,domicile occupying part of a building
flat,noun,apartment,domicile occupying part of a building
rumah pangsa,noun,apartment,domicile occupying part of a building
apel,noun,apple,fruit of Malus domestica
kawasan,noun,area,particular geographic region
senjata,noun,arm,weapon
lengan,noun,arm,upper appendage from shoulder to wrist
seni,noun,art,human effort
seni,noun,art,skillful creative activity
artikel,noun,article,"story, report, or opinion piece"
kata sandang,noun,article,part of speech that specifies a noun
artikel,noun,article,part of speech that specifies a noun
pasal,noun,article,section of a legal document
artikel,noun,article,section of a legal document
seniman,noun,artist,person who creates art
artis,noun,artist,person who creates art
seniman,noun,artist,person who creates art as an occupation
tanya,verb,ask,request an answer
minta,verb,ask,make a request
bibi,noun,aunt,a parent's sister or sister-in-law
tante,noun,aunt,a parent's sister or sister-in-law
keren,adj,awesome,"excellent, exciting"
bayi,noun,baby,very young human being
buruk,adj,bad,unfavorable; negative
jelek,adj,bad,unfavorable; negative
jahat,adj,bad,"not appropriate, of manners etc."
tas,noun,bag,flexible container
bola,noun,ball,solid or hollow sphere
bola,noun,ball,"object, generally spherical, used for playing games"
pisang,noun,banana,fruit
pisang,noun,banana,plant
gosong,noun,bank,"an underwater area of higher elevation, a sandbank"
bank,noun,bank,institution
bank,noun,bank,branch office
