word,part_of_speech,english_word,sense
venerdì,noun,Friday,day of the week
lunedì,noun,Monday,day of the week
sabato,noun,Saturday,day of the week
domenica,noun,Sunday,day of the week
giovedì,noun,Thursday,day of the week
martedì,noun,Tuesday,day of the week
mercoledì,noun,Wednesday,day of the week
intorno,adv,about,here and there
sopra,adv,above,"overhead, on top of"
azione,noun,action,something done so as to accomplish a purpose
azione,noun,action,way of motion or functioning
azione,noun,action,fast-paced activity
azione,noun,action,military: combat
azione legale,noun,action,law: charge
attività,noun,activity,state or quality of being active
attività,noun,activity,something done as an action or a movement
attività,noun,activity,something done for pleasure or entertainment
svago,noun,activity,something done for pleasure or entertainment
attività,noun,activity,property of substances to react with other substances
attore,noun,actor,person who performs in a theatrical play or film — see also actress
attrice,noun,actor,person who performs in a theatrical play or film — see also actress
attore,noun,actor,one who acts; a doer
attrice,noun,actor,one who acts; a doer
partecipante,noun,actor,one who takes part in a situation
esponente,noun,actor,one who takes part in a situation
attore,noun,actor,advocate in civil courts or cases
attrice,noun,actor,advocate in civil courts or cases
attrice,noun,actress,female actor — see also actor
aggiungere,verb,add,to append (e.g. a statement); to say further information; to add on
aggiungere,verb,add,to make an addition; to augment; to increase; to add on
sommare,verb,add,"to perform the arithmetical operation of addition, to add up"
addizionare,verb,add,"to perform the arithmetical operation of addition, to add up"
maniera,noun,address,manner of speaking to another
discorso,noun,address,act of addressing oneself to a person or group
indirizzo,noun,address,description of the location of a property; direction for correspondence
adulto,noun,adult,fully grown human
adulta,noun,adult,fully grown human
consiglio,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
parere,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
suggerimento,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
avviso,noun,advice,information or notice given
avvertimento,noun,advice,information or notice given
con paura,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
pomeriggio,noun,afternoon,part of the day between noon and evening
di nuovo,adv,again,another time
ancora,adv,again,another time
età,noun,age,amount of time since the birth of a being or the beginning of a thing
età,noun,age,one of the stages of life
età,noun,age,particular period of time in history
evo,noun,age,particular period of time in history
epoca,noun,age,great period in the history of the Earth
era,noun,age,great period in the history of the Earth
generazione,noun,age,generation — see also generation
età,noun,age,lifespan
essere d'accordo,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
concordare,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
accordarsi,verb,agree,to come to terms or to a common resolve
corrispondere,verb,agree,"to resemble, coincide, correspond"
concordare,verb,agree,"to resemble, coincide, correspond"
concordare,verb,agree,"grammar: to correspond in gender, number, case, person, etc."
aria,noun,air,historical: one of the basic elements
aria,noun,air,mixture of gases making up the atmosphere of the Earth
aria,noun,air,"music: a song, an aria"
nessuno oggetto,noun,air,informal: absence of anything
aeroporto,noun,airport,place designated for airplanes
aerodromo,noun,airport,place designated for airplanes
anche,adv,also,in addition; besides; as well; further; too
inoltre,adv,also,in addition; besides; as well; further; too
