word,part_of_speech,english_word,sense
金曜日,noun,Friday,day of the week
金曜,noun,Friday,day of the week
月曜日,noun,Monday,day of the week
月曜,noun,Monday,day of the week
土曜日,noun,Saturday,day of the week
土曜,noun,Saturday,day of the week
日曜日,noun,Sunday,day of the week
日曜,noun,Sunday,day of the week
日曜版,noun,Sunday,newspaper
木曜日,noun,Thursday,day of the week
木曜,noun,Thursday,day of the week
火曜日,noun,Tuesday,day of the week
火曜,noun,Tuesday,day of the week
水曜日,noun,Wednesday,day of the week
水曜,noun,Wednesday,day of the week
およそ,adv,about,"nearly, approximately"
約,adv,about,"nearly, approximately"
大略,adv,about,"nearly, approximately"
行動,noun,action,something done so as to accomplish a purpose
動作,noun,action,way of motion or functioning
アクション,noun,action,fast-paced activity
交戦,noun,action,military: combat
戦闘,noun,action,military: combat
訴訟,noun,action,law: charge
活動,noun,activity,state or quality of being active
活動,noun,activity,something done as an action or a movement
活動,noun,activity,something done for pleasure or entertainment
俳優,noun,actor,person who performs in a theatrical play or film — see also actress
役者,noun,actor,person who performs in a theatrical play or film — see also actress
女優,noun,actor,person who performs in a theatrical play or film — see also actress
演技者,noun,actor,person who performs in a theatrical play or film — see also actress
女優,noun,actress,female actor — see also actor
加える,verb,add,to append (e.g. a statement); to say further information; to add on
追加する,verb,add,to make an addition; to augment; to increase; to add on
足す,verb,add,"to perform the arithmetical operation of addition, to add up"
演説,noun,address,act of addressing oneself to a person or group
講演,noun,address,act of addressing oneself to a person or group
住所,noun,address,description of the location of a property; direction for correspondence
宛名,noun,address,description of the location of a property; direction for correspondence
成人,noun,adult,fully grown human
大人,noun,adult,fully grown human
助言,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
注意,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
忠告,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
アドバイス,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
怖い,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
午後,noun,afternoon,part of the day between noon and evening
又,adv,again,another time
また,adv,again,another time
再び,adv,again,another time
もう一度,adv,again,another time
あらためて,adv,again,another time
再度,adv,again,another time
っけ,adv,again,used in a question to ask something one has forgotten
年齢,noun,age,amount of time since the birth of a being or the beginning of a thing
年,noun,age,amount of time since the birth of a being or the beginning of a thing
老齢,noun,age,state of being old; latter part of life
高齢,noun,age,state of being old; latter part of life
年齢,noun,age,one of the stages of life
年,noun,age,one of the stages of life
成人,noun,age,time of life at which one attains full personal rights and capacities
