word,part_of_speech,english_word,sense
금요일,noun,Friday,day of the week
금요,noun,Friday,day of the week
월요일,noun,Monday,day of the week
월요,noun,Monday,day of the week
토요일,noun,Saturday,day of the week
토요,noun,Saturday,day of the week
일요일,noun,Sunday,day of the week
일요,noun,Sunday,day of the week
목요일,noun,Thursday,day of the week
목요,noun,Thursday,day of the week
화요일,noun,Tuesday,day of the week
화요,noun,Tuesday,day of the week
수요일,noun,Wednesday,day of the week
수요,noun,Wednesday,day of the week
활동,noun,activity,state or quality of being active
배우,noun,actor,person who performs in a theatrical play or film — see also actress
여배우,noun,actor,person who performs in a theatrical play or film — see also actress
연기자,noun,actor,person who performs in a theatrical play or film — see also actress
여우,noun,actor,person who performs in a theatrical play or film — see also actress
여배우,noun,actress,female actor — see also actor
여우,noun,actress,female actor — see also actor
덧붙이다,verb,add,to append (e.g. a statement); to say further information; to add on
부연(敷衍)하다,verb,add,to append (e.g. a statement); to say further information; to add on
부연(敷演)하다,verb,add,to append (e.g. a statement); to say further information; to add on
성인,noun,adult,fully grown human
어른,noun,adult,fully grown human
조언,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
충고,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
권고,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
무서워하다,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
오후,noun,afternoon,part of the day between noon and evening
연령,noun,age,amount of time since the birth of a being or the beginning of a thing
년령,noun,age,amount of time since the birth of a being or the beginning of a thing
나이,noun,age,amount of time since the birth of a being or the beginning of a thing
연세,noun,age,amount of time since the birth of a being or the beginning of a thing
살,noun,age,amount of time since the birth of a being or the beginning of a thing
동의(同意)하다,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
공기,noun,air,historical: one of the basic elements
공항,noun,airport,place designated for airplanes
비행장,noun,airport,place designated for airplanes
항공역,noun,airport,place designated for airplanes
또한,adv,also,in addition; besides; as well; further; too
또,adv,also,in addition; besides; as well; further; too
역시,adv,also,in addition; besides; as well; further; too
항상,adv,always,at all times
늘,adv,always,at all times
언제나,adv,always,at all times
화난,adj,angry,displaying anger
동물,noun,animal,organism
생물,noun,animal,organism
대답(對答)하다,verb,answer,to make a reply or response to
회답(回答)하다,verb,answer,to make a reply or response to
회신(回信)하다,verb,answer,to make a reply or response to
응답(應答)하다,verb,answer,to make a reply or response to
답변(答辯)하다,verb,answer,to make a reply or response to
답(答)하다,verb,answer,to make a reply or response to
아파트,noun,apartment,domicile occupying part of a building
맨션,noun,apartment,domicile occupying part of a building
아빠트,noun,apartment,domicile occupying part of a building
사과,noun,apple,fruit of Malus domestica
면적,noun,area,maths: measure of extent of a surface
무기,noun,arm,weapon
팔,noun,arm,upper appendage from shoulder to wrist
예술,noun,art,human effort
아트,noun,art,human effort
기사,noun,article,"story, report, or opinion piece"
논문,noun,article,"story, report, or opinion piece"
론문,noun,article,"story, report, or opinion piece"
화가,noun,artist,person who creates art
묻다,verb,ask,request an answer
질문하다,verb,ask,request an answer
여쭈다,verb,ask,request an answer
고모,noun,aunt,a parent's sister or sister-in-law
이모,noun,aunt,a parent's sister or sister-in-law
이모님,noun,aunt,a parent's sister or sister-in-law
백모,noun,aunt,a parent's sister or sister-in-law
백모님,noun,aunt,a parent's sister or sister-in-law
둘째어머니,noun,aunt,a parent's sister or sister-in-law
중모,noun,aunt,a parent's sister or sister-in-law
큰어머니,noun,aunt,a parent's sister or sister-in-law
큰어머님,noun,aunt,a parent's sister or sister-in-law
큰엄마,noun,aunt,a parent's sister or sister-in-law
큰어미,noun,aunt,a parent's sister or sister-in-law
숙모,noun,aunt,a parent's sister or sister-in-law
숙모님,noun,aunt,a parent's sister or sister-in-law
작은어머니,noun,aunt,a parent's sister or sister-in-law
작은어머님,noun,aunt,a parent's sister or sister-in-law
작은엄마,noun,aunt,a parent's sister or sister-in-law
작은어미,noun,aunt,a parent's sister or sister-in-law
삼촌댁,noun,aunt,a parent's sister or sister-in-law
외숙모,noun,aunt,a parent's sister or sister-in-law
외숙모님,noun,aunt,a parent's sister or sister-in-law
외삼촌댁,noun,aunt,a parent's sister or sister-in-law
구모,noun,aunt,a parent's sister or sister-in-law
아기,noun,baby,very young human being
유아,noun,baby,very young human being
젖먹이,noun,baby,very young human being
뒤로,adv,back,to or in a previous condition or place
나쁘다,adj,bad,unfavorable; negative
나쁜,adj,bad,unfavorable; negative
가방,noun,bag,flexible container
봉지,noun,bag,flexible container
봉투,noun,bag,flexible container
자루,noun,bag,flexible container
백,noun,bag,flexible container
무도회,noun,ball,formal dance
공,noun,ball,solid or hollow sphere
구,noun,ball,solid or hollow sphere
바나나,noun,banana,fruit
둑,noun,bank,edge of river or lake
은행,noun,bank,institution
야구,noun,baseball,ball game
농구,noun,basketball,the sport
롱구,noun,basketball,the sport
배스킷볼,noun,basketball,the sport
욕조,noun,bath,tub
욕실,noun,bathroom,a room with a bathtub
목욕실,noun,bathroom,a room with a bathtub
바닷가,noun,beach,sandy shore
해변,noun,beach,sandy shore
아름답다,adj,beautiful,attractive
예쁘다,adj,beautiful,attractive
되다,verb,become,to begin to be
침대,noun,bed,piece of furniture
잠자리,noun,bed,piece of furniture
침실,noun,bedroom,room in a house where a bed is kept for sleeping
맥주,noun,beer,alcoholic drink made of malt
시작하다,verb,begin,"to start, to initiate (transitive)"
개시하다,verb,begin,"to start, to initiate (transitive)"
시작,noun,beginning,act of doing that which begins anything
처음,noun,beginning,act of doing that which begins anything
믿다,verb,believe,to accept that someone is telling the truth (object: person)
최선,adj,best,superlative of the adjective good
더 좋은,adj,better,comparative of the adjectives good or well
자전거,noun,bicycle,vehicle
크다,adj,big,of a great size — see also large
큰,adj,big,of a great size — see also large
자전거,noun,bike,bicycle
부리,noun,bill,bird's beak
새,noun,bird,animal
조류,noun,bird,animal
생일,noun,birthday,anniversary
생신,noun,birthday,anniversary
탄신,noun,birthday,anniversary
검정,noun,black,colour/color
검은색,noun,black,colour/color
흑색,noun,black,colour/color
블로그,noun,blog,a personal or corporate website
금발(金髮)의,adj,blond,of a pale golden colour
파랑,noun,blue,colour
파란색,noun,blue,colour
배,noun,boat,water craft
보트,noun,boat,water craft
몸,noun,body,physical structure of a human or animal
신체,noun,body,physical structure of a human or animal
책,noun,book,collection of sheets of paper bound together containing printed or written material
도서,noun,book,collection of sheets of paper bound together containing printed or written material
장화,noun,boot,heavy shoe that covers part of the leg
목화,noun,boot,heavy shoe that covers part of the leg
심심하다,adj,bored,suffering from boredom
무료하다,adj,boring,causing boredom or tiredness
지루하다,adj,boring,causing boredom or tiredness
재미없다,adj,boring,causing boredom or tiredness
병,noun,bottle,container
상자,noun,box,cuboid space; container
박스,noun,box,cuboid space; container
소년,noun,boy,young male
남자아이,noun,boy,young male
남자애,noun,boy,young male
아이,noun,boy,young male
꼬마,noun,boy,young male
사내아이,noun,boy,young male
남자친구,noun,boyfriend,male partner in a romantic relationship
남친,noun,boyfriend,male partner in a romantic relationship
보이프렌드,noun,boyfriend,male partner in a romantic relationship
빵,noun,bread,baked dough made from cereals
아침,noun,breakfast,first meal of the day
아침밥,noun,breakfast,first meal of the day
아침 식사,noun,breakfast,first meal of the day
조반,noun,breakfast,first meal of the day
조식,noun,breakfast,first meal of the day
가져오다,verb,bring,to transport toward somebody/somewhere
갖다 주다,verb,bring,to transport toward somebody/somewhere
형제,noun,brother,male sibling
형,noun,brother,male sibling
형님,noun,brother,male sibling
오빠,noun,brother,male sibling
남동생,noun,brother,male sibling
동생,noun,brother,male sibling
아우,noun,brother,male sibling
브라더,noun,brother,male sibling
오라버님,noun,brother,male sibling
갈색,noun,brown,colour
만들다,verb,build,(transitive) to form by combining materials or parts
짓다,verb,build,(transitive) to form by combining materials or parts
건설하다,verb,build,(transitive) to form by combining materials or parts
건설,noun,building,act or process of building
버스,noun,bus,vehicle
뻐스,noun,bus,vehicle
사업,noun,business,commercial enterprise or establishment
기업,noun,business,commercial enterprise or establishment
업무,noun,business,commercial enterprise or establishment
버터,noun,butter,soft foodstuff made from milk
빠다,noun,butter,soft foodstuff made from milk
사다,verb,buy,to obtain something with money
구입하다,verb,buy,to obtain something with money
과자,noun,cake,type of sweet dessert
케이크,noun,cake,type of sweet dessert
외침,noun,call,cry or shout
카메라,noun,camera,still camera
사진기,noun,camera,still camera
...을/ᄅ 수 있다,verb,can,to be able to; to know how to
못,verb,cannot,"cannot — see also can, not"
...수 없다,verb,cannot,"cannot — see also can, not"
못하다,verb,cannot,"cannot — see also can, not"
자동차,noun,car,"automobile, a vehicle steered by a driver"
차,noun,car,"automobile, a vehicle steered by a driver"
경력,noun,career,one's calling in life; a person's occupation
직업,noun,career,one's calling in life; a person's occupation
당근,noun,carrot,Daucus carota ssp. sativus
홍당무,noun,carrot,Daucus carota ssp. sativus
나르다,verb,carry,to transport by lifting
고양이,noun,cat,domestic species
센트,noun,cent,subunit of currency in US and elsewhere
전,noun,cent,subunit of currency in US and elsewhere
중심,noun,center,point equidistant from all points on the perimeter of a circle
중앙,noun,center,point equidistant from all points on the perimeter of a circle
의자,noun,chair,furniture
변화,noun,change,the process of becoming different
싸다,adj,cheap,low and/or reduced in price
싼,adj,cheap,low and/or reduced in price
확인하다,verb,check,"to inspect, examine"
치즈,noun,cheese,dairy product
건락,noun,cheese,dairy product
닭,noun,chicken,bird
어린이,noun,child,son or daughter; someone's child
아이,noun,child,son or daughter; someone's child
