word,part_of_speech,english_word,sense
fredag,noun,Friday,day of the week
lørdag,noun,Saturday,day of the week
søndag,noun,Sunday,day of the week
torsdag,noun,Thursday,day of the week
tirsdag,noun,Tuesday,day of the week
onsdag,noun,Wednesday,day of the week
aktivitet,noun,activity,state or quality of being active
virksomhet,noun,activity,state or quality of being active
skuespiller,noun,actor,person who performs in a theatrical play or film — see also actress
skuespillerinne,noun,actor,person who performs in a theatrical play or film — see also actress
skuespillerinne,noun,actress,female actor — see also actor
voksen,noun,adult,fully grown human
råd,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
alder,noun,age,amount of time since the birth of a being or the beginning of a thing
luft,noun,air,historical: one of the basic elements
flyplass,noun,airport,place designated for airplanes
lufthavn,noun,airport,place designated for airplanes
dessuten,adv,also,in addition; besides; as well; further; too
også,adv,also,in addition; besides; as well; further; too
dertil,adv,also,in addition; besides; as well; further; too
rasende,adj,angry,displaying anger
dyr,noun,animal,organism
svare,verb,answer,to make a reply or response to
svar,verb,answer,to make a reply or response to
leilighet,noun,apartment,domicile occupying part of a building
eple,noun,apple,fruit of Malus domestica
areal,noun,area,maths: measure of extent of a surface
kunst,noun,art,human effort
artikkel,noun,article,"story, report, or opinion piece"
kunstner,noun,artist,person who creates art
spørre,verb,ask,request an answer
tante,noun,aunt,a parent's sister or sister-in-law
faster,noun,aunt,a parent's sister or sister-in-law
moster,noun,aunt,a parent's sister or sister-in-law
morsøster,noun,aunt,a parent's sister or sister-in-law
bort,adv,away,from a place; hence
vekk,adv,away,from a place; hence
spedbarn,noun,baby,very young human being
baby,noun,baby,very young human being
tilbake,adv,back,to or in a previous condition or place
veske,noun,bag,flexible container
ball,noun,ball,formal dance
ball,noun,ball,solid or hollow sphere
banan,noun,banana,fruit
bredd,noun,bank,edge of river or lake
bank,noun,bank,institution
bjelke,noun,bar,solid object with uniform cross-section
bom,noun,bar,solid object with uniform cross-section
baseball,noun,baseball,ball game
basketball,noun,basketball,the sport
badekar,noun,bath,tub
bad,noun,bathroom,a room with a bathtub
baderom,noun,bathroom,a room with a bathtub
strand,noun,beach,sandy shore
vakker,adj,beautiful,attractive
bli,verb,become,to begin to be
seng,noun,bed,piece of furniture
soveværelse,noun,bedroom,room in a house where a bed is kept for sleeping
soverom,noun,bedroom,room in a house where a bed is kept for sleeping
øl,noun,beer,alcoholic drink made of malt
begynne,verb,begin,"to start, to initiate (transitive)"
børje,verb,begin,"to start, to initiate (transitive)"
innlede,verb,begin,"to start, to initiate (transitive)"
begynnelse,noun,beginning,act of doing that which begins anything
tro,verb,believe,to accept that someone is telling the truth (object: person)
bedre,adj,better,comparative of the adjectives good or well
sykkel,noun,bicycle,vehicle
stor,adj,big,of a great size — see also large
nebb,noun,bill,bird's beak
fugl,noun,bird,animal
bursdag,noun,birthday,anniversary
fødselsdag,noun,birthday,anniversary
gebursdag,noun,birthday,anniversary
svart,noun,black,colour/color
sort,noun,black,colour/color
blogg,noun,blog,a personal or corporate website
båt,noun,boat,water craft
farkost,noun,boat,water craft
kropp,noun,body,physical structure of a human or animal
bok,noun,book,collection of sheets of paper bound together containing printed or written material
støvel,noun,boot,heavy shoe that covers part of the leg
kjedelig,adj,boring,causing boredom or tiredness
kjedsommelig,adj,boring,causing boredom or tiredness
flaske,noun,bottle,container
buksbom,noun,box,shrub or tree of the genus Buxus — see also box tree
kasse,noun,box,cuboid space; container
boks,noun,box,cuboid space; container
eske,noun,box,cuboid space; container
skrin,noun,box,cuboid space; container
øskje,noun,box,cuboid space; container
dåse,noun,box,cuboid space; container
gutt,noun,boy,young male
tenåringsgutt,noun,boy,young male
kjæreste,noun,boyfriend,male partner in a romantic relationship
brød,noun,bread,baked dough made from cereals
brudd,noun,break,instance of breaking something into pieces
frokost,noun,breakfast,first meal of the day
bringe,verb,bring,to transport toward somebody/somewhere
ta med,verb,bring,to transport toward somebody/somewhere
bror,noun,brother,male sibling
broder,noun,brother,male sibling
brun,noun,brown,colour
bygge,verb,build,(transitive) to form by combining materials or parts
konstruksjon,noun,building,act or process of building
buss,noun,bus,vehicle
forretning,noun,business,commercial enterprise or establishment
smør,noun,butter,soft foodstuff made from milk
kamera,noun,camera,still camera
fotoapparat,noun,camera,still camera
kan ikke,verb,cannot,"cannot — see also can, not"
bil,noun,car,"automobile, a vehicle steered by a driver"
karriere,noun,career,one's calling in life; a person's occupation
bære,verb,carry,to transport by lifting
huskatt,noun,cat,domestic species
katt,noun,cat,domestic species
katte,noun,cat,domestic species
cent,noun,cent,subunit of currency in US and elsewhere
sentrum,noun,center,point equidistant from all points on the perimeter of a circle
midtpunkt,noun,center,point equidistant from all points on the perimeter of a circle
stol,noun,chair,furniture
endring,noun,change,the process of becoming different
billig,adj,cheap,low and/or reduced in price
ost,noun,cheese,dairy product
høne,noun,chicken,bird
kylling,noun,chicken,bird
barn,noun,child,son or daughter; someone's child
sjokolade,noun,chocolate,food made from ground roasted cocoa beans
velge,verb,choose,to pick
by,noun,city,large settlement
klasse,noun,class,"group, collection, category or set sharing characteristics or attributes"
klasserom,noun,classroom,room in a school
klasseværelse,noun,classroom,room in a school
klatre,verb,climb,"to ascend, to go up"
klokke,noun,clock,instrument to measure or keep track of time
klær,noun,clothes,apparel
bekledning,noun,clothes,apparel
klubb,noun,club,association of members
frakk,noun,coat,outer garment covering the upper torso and arms
kaffe,noun,coffee,beverage
farge,noun,color,spectral composition of visible light
komme,verb,come,to move nearer
selskap,noun,company,"in legal context, a corporation"
fullføre,verb,complete,to finish
gjøre ferdig,verb,complete,to finish
datamaskin,noun,computer,programmable electronic device
samtale,noun,conversation,expression and exchange of individual ideas through talking with other people
konversasjon,noun,conversation,expression and exchange of individual ideas through talking with other people
lage mat,verb,cook,to prepare food for eating
koke,verb,cook,to prepare food for eating
matlaging,noun,cooking,the process of preparing food by using heat
matlagning,noun,cooking,the process of preparing food by using heat
kjølig,adj,cool,having a slightly low temperature
sval,adj,cool,having a slightly low temperature
koste,verb,cost,"to incur a charge, a price"
land,noun,country,region of land
ku,noun,cow,female domesticated ox or other bovine
fløte,noun,cream,oily part of milk
