word,part_of_speech,english_word,sense
vrijdag,noun,Friday,day of the week
maandag,noun,Monday,day of the week
zaterdag,noun,Saturday,day of the week
zondag,noun,Sunday,day of the week
donderdag,noun,Thursday,day of the week
dinsdag,noun,Tuesday,day of the week
woensdag,noun,Wednesday,day of the week
rond,adv,about,on all sides
activiteit,noun,activity,state or quality of being active
actief,noun,activity,state or quality of being active
acteur,noun,actor,person who performs in a theatrical play or film — see also actress
actrice,noun,actor,person who performs in a theatrical play or film — see also actress
toneelspeler,noun,actor,person who performs in a theatrical play or film — see also actress
toneelspeelster,noun,actor,person who performs in a theatrical play or film — see also actress
actrice,noun,actress,female actor — see also actor
toevoegen,verb,add,to append (e.g. a statement); to say further information; to add on
volwassene,noun,adult,fully grown human
raad,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
advies,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
bang,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
bevreesd,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
namiddag,noun,afternoon,part of the day between noon and evening
weer,adv,again,back to a former place or state
weder,adv,again,back to a former place or state
leeftijd,noun,age,amount of time since the birth of a being or the beginning of a thing
ouderdom,noun,age,amount of time since the birth of a being or the beginning of a thing
overeenkomen,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
afspreken,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
instemmen,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
overeenstemmen,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
toestemmen,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
rijmen,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
het eens zijn met,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
lucht,noun,air,historical: one of the basic elements
luchthaven,noun,airport,place designated for airplanes
vlieghaven,noun,airport,place designated for airplanes
ook,adv,also,in addition; besides; as well; further; too
eveneens,adv,also,in addition; besides; as well; further; too
tevens,adv,also,in addition; besides; as well; further; too
altijd,adv,always,at all times
immer,adv,always,at all times
altoos,adv,always,at all times
steeds,adv,always,at all times
wonderbaarlijk,adj,amazing,causing wonder and amazement
verbluffend,adj,amazing,causing wonder and amazement
kwaad,adj,angry,displaying anger
boos,adj,angry,displaying anger
dier,noun,animal,organism
beest,noun,animal,organism
antwoorden,verb,answer,to make a reply or response to
woning,noun,apartment,domicile occupying part of a building
appartement,noun,apartment,domicile occupying part of a building
flat,noun,apartment,domicile occupying part of a building
appel,noun,apple,fruit of Malus domestica
oppervlakte,noun,area,maths: measure of extent of a surface
wapen,noun,arm,weapon
arm,noun,arm,upper appendage from shoulder to wrist
bereiken,verb,arrive,to reach
aankomen,verb,arrive,to reach
arriveren,verb,arrive,to reach
kunst,noun,art,human effort
artikel,noun,article,"story, report, or opinion piece"
kunstenaar,noun,artist,person who creates art
kunstenares,noun,artist,person who creates art
artiest,noun,artist,person who creates art
vragen,verb,ask,request an answer
tante,noun,aunt,a parent's sister or sister-in-law
weg,adv,away,from a place; hence
angstaanjagend,adj,awesome,causing awe or terror
beangstigend,adj,awesome,causing awe or terror
baby,noun,baby,very young human being
zuigeling,noun,baby,very young human being
geborene,noun,baby,very young human being
pasgeborene,noun,baby,very young human being
nieuwgeborene,noun,baby,very young human being
boreling,noun,baby,very young human being
wiegenkind,noun,baby,very young human being
terug,adv,back,to or in a previous condition or place
slecht,adj,bad,unfavorable; negative
zak,noun,bag,flexible container
tas,noun,bag,flexible container
bal,noun,ball,formal dance
gala,noun,ball,formal dance
bol,noun,ball,solid or hollow sphere
banaan,noun,banana,fruit
pisang,noun,banana,fruit
bacove,noun,banana,fruit
oever,noun,bank,edge of river or lake
bank,noun,bank,institution
bar,noun,bar,unit of pressure
stang,noun,bar,solid object with uniform cross-section
staaf,noun,bar,solid object with uniform cross-section
baar,noun,bar,solid object with uniform cross-section
blok,noun,bar,solid object with uniform cross-section
honkbal,noun,baseball,ball game
basketbal,noun,basketball,the sport
bad,noun,bath,tub
badkuip,noun,bath,tub
badkamer,noun,bathroom,a room with a bathtub
strand,noun,beach,sandy shore
mooi,adj,beautiful,attractive
schoon,adj,beautiful,attractive
worden,verb,become,to begin to be
bed,noun,bed,piece of furniture
sponde,noun,bed,piece of furniture
slaapkamer,noun,bedroom,room in a house where a bed is kept for sleeping
bier,noun,beer,alcoholic drink made of malt
beginnen,verb,begin,"to start, to initiate (transitive)"
aanvangen,verb,begin,"to start, to initiate (transitive)"
begin,noun,beginning,act of doing that which begins anything
geloven,verb,believe,to accept that someone is telling the truth (object: person)
beneden,adv,below,in a lower place
beter,adj,better,comparative of the adjectives good or well
fiets,noun,bicycle,vehicle
rijwiel,noun,bicycle,vehicle
velo,noun,bicycle,vehicle
groot,adj,big,of a great size — see also large
omvangrijk,adj,big,of a great size — see also large
fiets,noun,bike,bicycle
velo,noun,bike,bicycle
hellebaard,noun,bill,weapon of infantry
snavel,noun,bill,bird's beak
bek,noun,bill,bird's beak
vogel,noun,bird,animal
verjaardag,noun,birthday,anniversary
zwart,noun,black,colour/color
blog,noun,blog,a personal or corporate website
blond,adj,blond,of a pale golden colour
blauw,noun,blue,colour
boot,noun,boat,water craft
schip,noun,boat,water craft
lichaam,noun,body,physical structure of a human or animal
boek,noun,book,collection of sheets of paper bound together containing printed or written material
bootleg,noun,boot,bootleg recording
laars,noun,boot,heavy shoe that covers part of the leg
bot,noun,boot,heavy shoe that covers part of the leg
hoge schoen,noun,boot,heavy shoe that covers part of the leg
verveeld,adj,bored,suffering from boredom
saai,adj,boring,causing boredom or tiredness
fles,noun,bottle,container
vuistslag,noun,box,blow with the fist
buxus,noun,box,shrub or tree of the genus Buxus — see also box tree
buksboom,noun,box,shrub or tree of the genus Buxus — see also box tree
buks,noun,box,shrub or tree of the genus Buxus — see also box tree
doos,noun,box,cuboid space; container
kist,noun,box,cuboid space; container
jongen,noun,boy,young male
vriend,noun,boyfriend,male partner in a romantic relationship
lief,noun,boyfriend,male partner in a romantic relationship
brood,noun,bread,baked dough made from cereals
ontbijt,noun,breakfast,first meal of the day
ochtendmaal n or ochtendmaaltijd,noun,breakfast,first meal of the day
ochtendeten,noun,breakfast,first meal of the day
morgenmaal n or morgenmaaltijd,noun,breakfast,first meal of the day
morgeneten,noun,breakfast,first meal of the day
vroegstuk,noun,breakfast,first meal of the day
vroegkost n or vroekost,noun,breakfast,first meal of the day
breekvasten,noun,breakfast,first meal of the day
petit déjeuner,noun,breakfast,first meal of the day
inbeet n or inbijt,noun,breakfast,first meal of the day
brengen,verb,bring,to transport toward somebody/somewhere
broer,noun,brother,male sibling
broeder,noun,brother,male sibling
bruin,noun,brown,colour
bouwen,verb,build,(transitive) to form by combining materials or parts
bouwen,noun,building,act or process of building
bouw,noun,building,act or process of building
bus,noun,bus,vehicle
autobus,noun,bus,vehicle
stadsbus,noun,bus,vehicle
bedrijf,noun,business,commercial enterprise or establishment
zaak,noun,business,commercial enterprise or establishment
onderneming,noun,business,commercial enterprise or establishment
druk,adj,busy,crowded with business or activities
boter,noun,butter,soft foodstuff made from milk
kopen,verb,buy,to obtain something with money
aanschaffen,verb,buy,to obtain something with money
aankopen,verb,buy,to obtain something with money
taart,noun,cake,type of sweet dessert
cake,noun,cake,type of sweet dessert
gebak,noun,cake,type of sweet dessert
koek,noun,cake,type of sweet dessert
roep,noun,call,cry or shout
fototoestel,noun,camera,still camera
fotoapparaat,noun,camera,still camera
camera,noun,camera,still camera
kunnen,verb,can,to be able to; to know how to
inblikken,verb,can,to preserve
conserveren,verb,can,to preserve
niet kunnen,verb,cannot,"cannot — see also can, not"
auto,noun,car,"automobile, a vehicle steered by a driver"
wagen,noun,car,"automobile, a vehicle steered by a driver"
automobiel,noun,car,"automobile, a vehicle steered by a driver"
kaart,noun,card,"resource or an argument, used to achieve a purpose"
troef,noun,card,"resource or an argument, used to achieve a purpose"
kaarde,noun,card,device to raise the nap on a fabric
carrière,noun,career,one's calling in life; a person's occupation
loopbaan,noun,career,one's calling in life; a person's occupation
wortel,noun,carrot,Daucus carota ssp. sativus
peen,noun,carrot,Daucus carota ssp. sativus
dragen,verb,carry,to transport by lifting
huiskat,noun,cat,domestic species
kat,noun,cat,domestic species
poes,noun,cat,domestic species
kater,noun,cat,domestic species
cent,noun,cent,subunit of currency in US and elsewhere
centrum,noun,center,point equidistant from all points on the perimeter of a circle
middelpunt,noun,center,point equidistant from all points on the perimeter of a circle
stoel,noun,chair,furniture
zetel,noun,chair,furniture
verandering,noun,change,the process of becoming different
aanpassing,noun,change,the process of becoming different
wijziging,noun,change,the process of becoming different
goedkoop,adj,cheap,low and/or reduced in price
onduur,adj,cheap,low and/or reduced in price
betaalbaar,adj,cheap,low and/or reduced in price
afgeprijsd,adj,cheap,low and/or reduced in price
in aanbieding,adj,cheap,low and/or reduced in price
controleren,verb,check,"to inspect, examine"
inspecteren,verb,check,"to inspect, examine"
checken,verb,check,"to inspect, examine"
kaas,noun,cheese,dairy product
kip,noun,chicken,bird
hen,noun,chicken,bird
hoen,noun,chicken,bird
kind,noun,child,son or daughter; someone's child
chocolade,noun,chocolate,food made from ground roasted cocoa beans
chocola,noun,chocolate,food made from ground roasted cocoa beans
kiezen,verb,choose,to pick
uitkiezen,verb,choose,to pick
stad,noun,city,large settlement
klasse,noun,class,"group, collection, category or set sharing characteristics or attributes"
klaslokaal,noun,classroom,room in a school
schoonmaken,verb,clean,(transitive) to remove dirt from a place or object
kuisen,verb,clean,(transitive) to remove dirt from a place or object
poetsen,verb,clean,(transitive) to remove dirt from a place or object
reinigen,verb,clean,(transitive) to remove dirt from a place or object
wassen,verb,clean,(transitive) to remove dirt from a place or object
klimmen,verb,climb,"to ascend, to go up"
klok,noun,clock,instrument to measure or keep track of time
dichten,verb,close,obstruct (an opening)
sluiten,verb,close,obstruct (an opening)
kleren,noun,clothes,apparel
club,noun,club,association of members
mantel,noun,coat,outer garment covering the upper torso and arms
jas,noun,coat,outer garment covering the upper torso and arms
koffie,noun,coffee,beverage
kou,noun,cold,low temperature
koude,noun,cold,low temperature
kleur,noun,color,spectral composition of visible light
komen,verb,come,to move nearer
gemeen,adj,common,mutual
gemene,adj,common,mutual
gewoon,adj,common,mutual
gewone,adj,common,mutual
bedrijf,noun,company,"in legal context, a corporation"
zaak,noun,company,"in legal context, a corporation"
firma,noun,company,"in legal context, a corporation"
compagnie,noun,company,"in legal context, a corporation"
gezelschap,noun,company,"in legal context, a corporation"
vennootschap,noun,company,"in legal context, a corporation"
vergelijken,verb,compare,to assess the similarities between two things or between one thing and another
voltooien,verb,complete,to finish
computer,noun,computer,programmable electronic device
rekenaar,noun,computer,programmable electronic device
gesprek,noun,conversation,expression and exchange of individual ideas through talking with other people
conversatie,noun,conversation,expression and exchange of individual ideas through talking with other people
koken,verb,cook,to prepare food for eating
koel,adj,cool,having a slightly low temperature
fris,adj,cool,having a slightly low temperature
corrigeren,verb,correct,to make something become right that was previously wrong
verbeteren,verb,correct,to make something become right that was previously wrong
kosten,verb,cost,"to incur a charge, a price"
land,noun,country,region of land
koe,noun,cow,female domesticated ox or other bovine
room,noun,cream,oily part of milk
creëren,verb,create,to put into existence
scheppen,verb,create,to put into existence
maken,verb,create,to put into existence
cultuur,noun,culture,"arts, customs and habits"
beker,noun,cup,drinking vessel
kop,noun,cup,drinking vessel
mok,noun,cup,drinking vessel
tas,noun,cup,drinking vessel
jat,noun,cup,drinking vessel
kopje,noun,cup,drinking vessel
snijden,verb,cut,to perform an incision
pappa,noun,dad,informal: a father
dansen,verb,dance,move rhythmically to music
danser,noun,dancer,person who dances
dansen,noun,dancing,activity of dancing
gevaarlijk,adj,dangerous,full of danger
gevaarlijke,adj,dangerous,full of danger
donker,adj,dark,having an absolute or relative lack of light
duister,adj,dark,having an absolute or relative lack of light
datum,noun,date,"that which specifies the time of writing, inscription etc."
dadel,noun,date,fruit of the date palm
dochter,noun,daughter,female offspring
dag,noun,day,period between sunrise and sunset
(teer)geliefd,adj,dear,loved; lovable
bemind,adj,dear,loved; lovable
lief,adj,dear,loved; lovable
beminnelijk,adj,dear,loved; lovable
kostbaar,adj,dear,loved; lovable
beslissen,verb,decide,to resolve or settle
besluiten,verb,decide,to resolve or settle
heerlijk,adj,delicious,pleasing to taste
lekker,adj,delicious,pleasing to taste
smakelijk,adj,delicious,pleasing to taste
beschrijven,verb,describe,to represent in words
omschrijven,verb,describe,to represent in words
beschrijving,noun,description,account in words
descriptie,noun,description,account in words
ontwerpen,verb,design,to plan an artwork etc.
bureau,noun,desk,table for writing and reading
schrijftafel,noun,desk,table for writing and reading
lessenaar,noun,desk,table for writing and reading
detail,noun,detail,part small enough to escape casual notice
kleinigheid,noun,detail,part small enough to escape casual notice
dialoog,noun,dialogue,conversation or other discourse between individuals
gesprek,noun,dialogue,conversation or other discourse between individuals
woordenboek,noun,dictionary,publication that explains the meanings of an ordered list of words
dictionaire,noun,dictionary,publication that explains the meanings of an ordered list of words
doodgaan,verb,die,to stop living
sterven,verb,die,to stop living
overlijden,verb,die,to stop living
parlement,noun,diet,council of leaders
rijksdag,noun,diet,council of leaders
landdag,noun,diet,council of leaders
dieet,noun,diet,food a person or animal consumes
verschil,noun,difference,quality of being different
verschillend,adj,different,not the same
anders,adj,different,not the same
ongelijk,adj,different,not the same
moeilijk,adj,difficult,"hard, not easy"
avondeten,noun,dinner,evening meal
avondmaaltijd,noun,dinner,evening meal
avondmaal,noun,dinner,evening meal
eten,noun,dinner,evening meal
vuil,adj,dirty,covered with or containing dirt
smerig,adj,dirty,covered with or containing dirt
vies,adj,dirty,covered with or containing dirt
overleggen,verb,discuss,to converse or debate concerning a particular topic
discussiëren,verb,discuss,to converse or debate concerning a particular topic
debatteren,verb,discuss,to converse or debate concerning a particular topic
bediscussiëren,verb,discuss,to converse or debate concerning a particular topic
bepraten,verb,discuss,to converse or debate concerning a particular topic
bespreken,verb,discuss,to converse or debate concerning a particular topic
bord,noun,dish,vessel for holding/serving food
taloor,noun,dish,vessel for holding/serving food
doctor,noun,doctor,person who has attained a doctorate
hond,noun,dog,animal
dollar,noun,dollar,designation for specific currency
deur,noun,door,"portal of entry into a building, room or vehicle"
portier,noun,door,"portal of entry into a building, room or vehicle"
naar beneden,adv,down,"from a high to a low position, downwards"
neer,adv,down,"from a high to a low position, downwards"
beneden,adv,downstairs,downstairs (adverb)
tekenen,verb,draw,to produce a picture
kleden,verb,dress,"to put clothes on (oneself or someone, etc.) — see also clothe"
aankleden,verb,dress,"to put clothes on (oneself or someone, etc.) — see also clothe"
drinken,verb,drink,consume liquid through the mouth
besturen,verb,drive,to operate (a wheeled motorized vehicle)
rijden,verb,drive,to operate (a wheeled motorized vehicle)
aar,noun,ear,fruiting body of a grain plant
oor,noun,ear,organ of hearing
oostwaarts,adv,east,towards the east
makkelijk,adj,easy,requiring little skill or effort
gemakkelijk,adj,easy,requiring little skill or effort
eten,verb,eat,"to ingest — see also consume, ingest"
vreten,verb,eat,"to ingest — see also consume, ingest"
consumeren,verb,eat,"to ingest — see also consume, ingest"
ei,noun,egg,"approximately spherical or ellipsoidal body produced by birds, insects, reptiles, and other animals, housing the embryo within a membrane or shell during its development"
olifant,noun,elephant,mammal
elpendier,noun,elephant,mammal
elp,noun,elephant,mammal
zoniet,adv,else,word that implies any result with the exception of the one being referred to
anders,adv,else,word that implies any result with the exception of the one being referred to
in het andere geval,adv,else,word that implies any result with the exception of the one being referred to
e-mailen,verb,email,(transitive) to send an email or emails to
mailen,verb,email,(transitive) to send an email or emails to
eindigen,verb,end,"intransitive: be finished, be terminated"
ophouden,verb,end,"intransitive: be finished, be terminated"
einden,verb,end,"intransitive: be finished, be terminated"
genieten van,verb,enjoy,to receive pleasure or satisfaction from something
genoeg,adv,enough,sufficiently
euro,noun,euro,currency unit of the European Monetary Union
avond,noun,evening,time of day between dusk and night
gebeurtenis,noun,event,occurrence
evenement,noun,event,occurrence
ooit,adv,ever,always
altijd,adv,ever,always
steeds,adv,ever,always
voorbeeld,noun,example,something representative of a group
opgewonden,adj,excited,having great enthusiasm and energy
opgetogen,adj,excited,having great enthusiasm and energy
spannend,adj,exciting,causing excitement
trainen,verb,exercise,exert for the sake of training
oefenen,verb,exercise,exert for the sake of training
duur,adj,expensive,having a high price or cost
uitleggen,verb,explain,to make intelligible
verklaren,verb,explain,to make intelligible
toelichten,verb,explain,to make intelligible
extra,adj,extra,"beyond what is due, usual"
oog,noun,eye,organ
kijker,noun,eye,organ
gezichtsorgaan,noun,eye,organ
oculus,noun,eye,organ
gezicht,noun,face,anatomy: front part of head
feit,noun,fact,an honest observation
val,noun,fall,act of moving in gas or vacuum under the effect of gravity from a point to a lower point
onwaar,adj,false,"untrue, not factual, wrong"
vals,adj,false,"untrue, not factual, wrong"
fout,adj,false,"untrue, not factual, wrong"
onjuist,adj,false,"untrue, not factual, wrong"
beroemd,adj,famous,well known
fantastisch,adj,fantastic,"wonderful, marvelous, excellent, extraordinarily good"
grandioos,adj,fantastic,"wonderful, marvelous, excellent, extraordinarily good"
boerderij,noun,farm,place where agricultural activities take place
hoeve,noun,farm,place where agricultural activities take place
boer,noun,farmer,person who works the land and/or who keeps livestock
boerin,noun,farmer,person who works the land and/or who keeps livestock
landbouwer,noun,farmer,person who works the land and/or who keeps livestock
veehouder,noun,farmer,person who works the land and/or who keeps livestock
vet,adj,fat,carrying a larger than normal amount of fat on one's body
dik,adj,fat,carrying a larger than normal amount of fat on one's body
gezet,adj,fat,carrying a larger than normal amount of fat on one's body
corpulent,adj,fat,carrying a larger than normal amount of fat on one's body
volslank,adj,fat,carrying a larger than normal amount of fat on one's body
vader,noun,father,male parent
papa,noun,father,male parent
pap,noun,father,male parent
pa,noun,father,male parent
voelen,verb,feel,transitive: to sense by touch
gevoel,noun,feeling,sensation
festival,noun,festival,event or community gathering
feest,noun,festival,event or community gathering
vullen,verb,fill,"add contents to, so it is full"
opvullen,verb,fill,"add contents to, so it is full"
finaal,adj,final,last; ultimate
laatste,adj,final,last; ultimate
ultiem,adj,final,last; ultimate
definitief,adj,final,last; ultimate
vinden,verb,find,"encounter, locate, discover"
aantreffen,verb,find,"encounter, locate, discover"
uitstekend,adj,fine,of superior quality
afwerken,verb,finish,to complete
beëindigen,verb,finish,to complete
vuur,noun,fire,oxidation reaction
eerst,adv,first,before anything else
vis,noun,fish,vertebrate animal
vlucht,noun,flight,act of flying
vliegen,noun,flight,act of flying
vloer,noun,floor,bottom part of a room
bloem,noun,flower,reproductive structure in angiosperms
vliegen,verb,fly,to travel through air
volgen,verb,follow,to go or come after in physical space
voedsel,noun,food,any substance consumed by living organisms to sustain life
eten,noun,food,any substance consumed by living organisms to sustain life
voet,noun,foot,part of human body
voetbal,noun,football,association football
vergeten,verb,forget,to lose remembrance of
vormen,verb,form,to give shape
vormgeven,verb,form,to give shape
vrij,adj,free,not imprisoned
los,adj,free,not imprisoned
vriend,noun,friend,person whose company one enjoys
vriendje,noun,friend,person whose company one enjoys
vriendin,noun,friend,person whose company one enjoys
vriendinnetje,noun,friend,person whose company one enjoys
maatje,noun,friend,person whose company one enjoys
vriendelijk,adj,friendly,"approachable, warm"
hartelijk,adj,friendly,"approachable, warm"
voor-,adj,front,located at or near the front
vrucht,noun,fruit,part of plant
fruit,noun,fruit,part of plant
vol,adj,full,containing the maximum possible amount
lol,noun,fun,enjoyment or amusement
plezier,noun,fun,enjoyment or amusement
pret,noun,fun,enjoyment or amusement
grappig,adj,funny,amusing; comical
geinig,adj,funny,amusing; comical
komiek,adj,funny,amusing; comical
toekomst,noun,future,the time ahead
spel,noun,game,"playful activity that may be unstructured, amusement, pastime"
spelleke,noun,game,"playful activity that may be unstructured, amusement, pastime"
tuin,noun,garden,piece of land outside with flowers and plants
gaard,noun,garden,piece of land outside with flowers and plants
geografie,noun,geography,study of physical structure and inhabitants of the Earth
aardrijkskunde,noun,geography,study of physical structure and inhabitants of the Earth
nemen,verb,get,to obtain
pakken,verb,get,to obtain
halen,verb,get,to obtain
meisje,noun,girl,young female person
meid,noun,girl,young female person
vriendin,noun,girlfriend,a female partner in a romantic relationship
meisje,noun,girlfriend,a female partner in a romantic relationship
geven,verb,give,transfer the possession of something to someone else
overhandigen,verb,give,transfer the possession of something to someone else
glas,noun,glass,substance
gaan,verb,go,to move through space (especially from one place to another)
goed,adj,good,acting in the interest of good; ethical good intentions
grootvader,noun,grandfather,grandfather (from either side)
opa,noun,grandfather,grandfather (from either side)
bompa,noun,grandfather,grandfather (from either side)
grootmoeder,noun,grandmother,mother of someone's parent
oma,noun,grandmother,mother of someone's parent
grootouder,noun,grandparent,parent of one's parent
grijs,noun,gray,colour
groot,adj,great,"very big, large scale"
groen,noun,green,colour
groep,noun,group,number of things or persons being in some relation to each other
verzameling,noun,group,number of things or persons being in some relation to each other
groeien,verb,grow,(intransitive) to become bigger
wassen,verb,grow,(intransitive) to become bigger
gok,noun,guess,prediction about the outcome of something
gissing,noun,guess,prediction about the outcome of something
veronderstelling,noun,guess,prediction about the outcome of something
raden,noun,guess,prediction about the outcome of something
gis,noun,guess,prediction about the outcome of something
gitaar,noun,guitar,musical instrument
sportschool,noun,gym,sporting facility specialized for lifting weights and exercise
haar,noun,hair,pigmented filament of keratin on the skin of humans and other mammals
helft,noun,half,one of two equal parts into which anything may be divided
hand,noun,hand,part of the fore limb
gebeuren,verb,happen,to occur
gelukkig,adj,happy,"contented, joyous"
blij,adj,happy,"contented, joyous"
hoed,noun,hat,a head covering
haten,verb,hate,to dislike intensely
hebben,verb,have,to possess
hoofd,noun,head,part of the body
kop,noun,head,part of the body
gezondheid,noun,health,"state of being free of physical or psychological disease, illness, or malfunction"
welzijn,noun,health,"state of being free of physical or psychological disease, illness, or malfunction"
gezond,adj,healthy,enjoying good health
horen,verb,hear,to perceive with the ear
hulp,noun,help,action given to provide assistance
hier,adv,here,"in, on, or at this place"
hoog,adj,high,elevated; tall
geschiedenis,noun,history,aggregate of past events
historie,noun,history,aggregate of past events
hobby,noun,hobby,activity done for enjoyment in spare time
vrijetijdsbesteding,noun,hobby,activity done for enjoyment in spare time
boomvalk,noun,hobby,Falco subbuteo
thuis,adv,home,at home
huiswerk,noun,homework,work that is done at home
huistaak,noun,homework,work that is done at home
hopen,verb,hope,"to want something to happen, with expectation that it might"
paard,noun,horse,members of the species Equus ferus
ros,noun,horse,members of the species Equus ferus
ziekenhuis,noun,hospital,large medical facility
hospitaal,noun,hospital,large medical facility
gasthuis,noun,hospital,large medical facility
kliniek,noun,hospital,large medical facility
ziekenhuizen,noun,hospital,large medical facility
hospitalen,noun,hospital,large medical facility
gasthuizen,noun,hospital,large medical facility
klinieken,noun,hospital,large medical facility
heet,adj,hot,having a high temperature
warm,adj,hot,having a high temperature
hotel,noun,hotel,establishment providing accommodation
uur,noun,hour,time period of sixty minutes
stonde,noun,hour,time period of sixty minutes
