word,part_of_speech,english_word,sense
rundt,adv,about,on all sides
redd,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
engstelig,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
ettermiddag,noun,afternoon,part of the day between noon and evening
være enig,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
alltid,adv,always,at all times
bestandig,adv,always,at all times
forbløffende,adj,amazing,causing wonder and amazement
sint,adj,angry,displaying anger
arm,noun,arm,upper appendage from shoulder to wrist
ankomme,verb,arrive,to reach
dårlig,adj,bad,unfavorable; negative
bar,noun,bar,unit of pressure
sykkel,noun,bike,bicycle
blå,noun,blue,colour
kjed,adj,bored,suffering from boredom
kjøpe,verb,buy,to obtain something with money
kake,noun,cake,type of sweet dessert
kunne,verb,can,to be able to; to know how to
gulrot,noun,carrot,Daucus carota ssp. sativus
kontrollere,verb,check,"to inspect, examine"
sjekke,verb,check,"to inspect, examine"
gjøre rent,verb,clean,(transitive) to remove dirt from a place or object
stenge,verb,close,obstruct (an opening)
kulde,noun,cold,low temperature
sammenligne,verb,compare,to assess the similarities between two things or between one thing and another
jamføre,verb,compare,to assess the similarities between two things or between one thing and another
skape,verb,create,to put into existence
kjær,adj,dear,loved; lovable
forskjell,noun,difference,quality of being different
skilnad,noun,difference,quality of being different
differanse,noun,difference,quality of being different
vanskelig,adj,difficult,"hard, not easy"
diskutere,verb,discuss,to converse or debate concerning a particular topic
ned,adv,down,"from a high to a low position, downwards"
kle,verb,dress,"to put clothes on (oneself or someone, etc.) — see also clothe"
drive,verb,drive,to operate (a wheeled motorized vehicle)
lett,adj,easy,requiring little skill or effort
enkel,adj,easy,requiring little skill or effort
nyte,verb,enjoy,to receive pleasure or satisfaction from something
programpost,noun,event,occurrence
spent,adj,excited,having great enthusiasm and energy
trene,verb,exercise,exert for the sake of training
fall,noun,fall,act of moving in gas or vacuum under the effect of gravity from a point to a lower point
berømt,adj,famous,well known
kjent,adj,famous,well known
fantastisk,adj,fantastic,"wonderful, marvelous, excellent, extraordinarily good"
fast,adv,fast,in a firm or secure manner
føle,verb,feel,transitive: to sense by touch
kjenne,verb,feel,transitive: to sense by touch
flott,adj,fine,of superior quality
fullføre,verb,finish,to complete
avslutte,verb,finish,to complete
følge,verb,follow,to go or come after in physical space
fri,adj,free,not imprisoned
moro,noun,fun,enjoyment or amusement
artig,adj,funny,amusing; comical
morsom,adj,funny,amusing; comical
gøy,adj,funny,amusing; comical
morosam,adj,funny,amusing; comical
få tak i,verb,get,to obtain
oppnå,verb,get,to obtain
bestemor,noun,grandmother,mother of someone's parent
mormor,noun,grandmother,mother of someone's parent
farmor,noun,grandmother,mother of someone's parent
grå,noun,gray,colour
vokse,verb,grow,(intransitive) to become bigger
gjetning,noun,guess,prediction about the outcome of something
inntreffe,verb,happen,to occur
skje,verb,happen,to occur
hende,verb,happen,to occur
glad,adj,happy,"contented, joyous"
lykkelig,adj,happy,"contented, joyous"
hate,verb,hate,to dislike intensely
ha,verb,have,to possess
her,adv,here,"in, on, or at this place"
høy,adj,high,elevated; tall
alvorlig,adj,important,having relevant and crucial value
betydelig,adj,important,having relevant and crucial value
viktig,adj,important,having relevant and crucial value
inn,adv,in,moving to the interior
inkludere,verb,include,to bring into as a part or member
innbefatte,verb,include,to bring into as a part or member
interessert,adj,interested,having or showing interest
presentere,verb,introduce,to cause someone to be acquainted
forestille,verb,introduce,to cause someone to be acquainted
jeans,noun,jeans,denim trousers
olabukse,noun,jeans,denim trousers
beholde,verb,keep,to maintain possession of
slag,noun,kind,"type, race, category"
vite,verb,know,be justifiably certain or sure about (something true)
stor,adj,large,of greater size — see also big
senere,adv,later,more late
latter,noun,laugh,expression of mirth peculiar to the human species
lått,noun,laugh,expression of mirth peculiar to the human species
lære,verb,learn,to acquire knowledge or ability
etterlate,verb,leave,"to cause to remain as available, not take away, refrain from depleting"
venstresiden,noun,left,the left side
undervisningstime,noun,lesson,section of learning or teaching
undervisingstime,noun,lesson,section of learning or teaching
la,verb,let,allow
lyst,adj,light,having light
opplyst,adj,light,having light
belyst,adj,light,having light
lett,adj,light,of low weight
liten,adj,little,small in size
liten,adj,little,small in size
se,verb,look,to try to see
skue,verb,look,to try to see
lunsj,noun,lunch,meal around midday
hoved-,adj,main,"chief, most important, or principal in extent, etc."
passe sammen,verb,match,intransitive: to agree; to be equal
stemme overens,verb,match,intransitive: to agree; to be equal
samsvare,verb,match,intransitive: to agree; to be equal
feil,noun,mistake,an error
moderne,adj,modern,pertaining to the current time and style
måtte,verb,must,be required to
kalle,verb,name,to give a name to
navngi,verb,name,to give a name to
trenge,verb,need,to have an absolute requirement for
negativ,adj,negative,not positive or neutral
naboskap,noun,neighborhood,quality of being a neighbor
ny,adj,new,recently made or created
nærmest,adv,next,"In a time, place or sequence closest or following"
hyggelig,adj,nice,"pleasant, satisfactory"
sympatisk,adj,nice,"pleasant, satisfactory"
ofte,adv,often,"frequently, many times"
hyppig,adv,often,"frequently, many times"
bare,adv,only,without others or anything further; exclusively
åpne,verb,open,to make something accessible
lukke opp,verb,open,to make something accessible
oransje,adj,orange,having the colour of the fruit of an orange tree
ordne,verb,order,to set in (any) order
ut,adv,out,away from the inside or the centre
ut,adv,outside,in or to the outside
ute,adv,outside,in or to the outside
utenfor,adv,outside,in or to the outside
pasje,noun,page,serving boy
måling,noun,paint,substance
bukse,noun,pants,garment covering the body from the waist downwards
