word,part_of_speech,english_word,sense
piątek,noun,Friday,day of the week
poniedziałek,noun,Monday,day of the week
sobota,noun,Saturday,day of the week
niedziela,noun,Sunday,day of the week
czwartek,noun,Thursday,day of the week
wtorek,noun,Tuesday,day of the week
środa,noun,Wednesday,day of the week
dookoła,adv,about,on all sides
wokoło,adv,about,on all sides
wokół,adv,about,on all sides
aktywność,noun,activity,state or quality of being active
aktor,noun,actor,person who performs in a theatrical play or film — see also actress
aktorka,noun,actor,person who performs in a theatrical play or film — see also actress
aktorka,noun,actress,female actor — see also actor
dodawać impf dodać,verb,add,to append (e.g. a statement); to say further information; to add on
dorosły,noun,adult,fully grown human
dorosła,noun,adult,fully grown human
osoba dorosła,noun,adult,fully grown human
rada,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
porada,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
wskazówka,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
bać się,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
popołudnie,noun,afternoon,part of the day between noon and evening
wiek,noun,age,amount of time since the birth of a being or the beginning of a thing
zgadzać się,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
zgodzić się,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
uzgadniać,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
uzgodnić,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
powietrze,noun,air,historical: one of the basic elements
lotnisko,noun,airport,place designated for airplanes
port lotniczy,noun,airport,place designated for airplanes
aerodrom,noun,airport,place designated for airplanes
aeroport,noun,airport,place designated for airplanes
też,adv,also,in addition; besides; as well; further; too
również,adv,also,in addition; besides; as well; further; too
także,adv,also,in addition; besides; as well; further; too
zawsze,adv,always,at all times
zawżdy,adv,always,at all times
zdumiewający,adj,amazing,causing wonder and amazement
zły,adj,angry,displaying anger
rozgniewany,adj,angry,displaying anger
zwierzę,noun,animal,organism
odpowiadać,verb,answer,to make a reply or response to
odpowiedzieć,verb,answer,to make a reply or response to
mieszkanie,noun,apartment,domicile occupying part of a building
jabłko,noun,apple,fruit of Malus domestica
powierzchnia,noun,area,maths: measure of extent of a surface
broń,noun,arm,weapon
uzbrojenie,noun,arm,weapon
ramię,noun,arm,upper appendage from shoulder to wrist
ręka,noun,arm,upper appendage from shoulder to wrist
dochodzić,verb,arrive,to reach
dojść,verb,arrive,to reach
dojeżdżać,verb,arrive,to reach
dojechać,verb,arrive,to reach
dolatywać impf dolecieć,verb,arrive,to reach
sztuka,noun,art,human effort
artykuł,noun,article,"story, report, or opinion piece"
artysta,noun,artist,person who creates art
artystka,noun,artist,person who creates art
twórca,noun,artist,person who creates art
twórczyni,noun,artist,person who creates art
malarz,noun,artist,person who creates art
malarka,noun,artist,person who creates art
pytać,verb,ask,request an answer
zapytać,verb,ask,request an answer
ciotka,noun,aunt,a parent's sister or sister-in-law
ciocia,noun,aunt,a parent's sister or sister-in-law
wujenka,noun,aunt,a parent's sister or sister-in-law
stryjenka,noun,aunt,a parent's sister or sister-in-law
stąd,adv,away,from a place; hence
precz,adv,away,from a place; hence
niemowlę,noun,baby,very young human being
niemowlak,noun,baby,very young human being
maluch,noun,baby,very young human being
dziecko,noun,baby,very young human being
dzidziuś,noun,baby,very young human being
z powrotem,adv,back,to or in a previous condition or place
nazad,adv,back,to or in a previous condition or place
zły,adj,bad,unfavorable; negative
kiepski,adj,bad,unfavorable; negative
torba,noun,bag,flexible container
torebka,noun,bag,flexible container
worek,noun,bag,flexible container
bal,noun,ball,formal dance
kula,noun,ball,solid or hollow sphere
banan,noun,banana,fruit
brzeg,noun,bank,edge of river or lake
bank,noun,bank,institution
bar,noun,bar,unit of pressure
baseball,noun,baseball,ball game
bejsbol,noun,baseball,ball game
koszykówka,noun,basketball,the sport
piłka koszykowa,noun,basketball,the sport
kosz,noun,basketball,the sport
wanna,noun,bath,tub
łazienka,noun,bathroom,a room with a bathtub
plaża,noun,beach,sandy shore
piękny,adj,beautiful,attractive
fajny,adj,beautiful,attractive
zostawać,verb,become,to begin to be
zostać,verb,become,to begin to be
stawać się,verb,become,to begin to be
stać się,verb,become,to begin to be
łóżko,noun,bed,piece of furniture
sypialnia,noun,bedroom,room in a house where a bed is kept for sleeping
szlafsztuba,noun,bedroom,room in a house where a bed is kept for sleeping
piwo,noun,beer,alcoholic drink made of malt
zaczynać,verb,begin,"to start, to initiate (transitive)"
zacząć,verb,begin,"to start, to initiate (transitive)"
zaczynać się,verb,begin,"to start, to initiate (transitive)"
zacząć się,verb,begin,"to start, to initiate (transitive)"
początek,noun,beginning,act of doing that which begins anything
wierzyć,verb,believe,to accept that someone is telling the truth (object: person)
najlepszy,adj,best,superlative of the adjective good
lepszy,adj,better,comparative of the adjectives good or well
rower,noun,bicycle,vehicle
