word,part_of_speech,english_word,sense
sexta-feira,noun,Friday,day of the week
sexta,noun,Friday,day of the week
segunda-feira,noun,Monday,day of the week
segunda,noun,Monday,day of the week
sábado,noun,Saturday,day of the week
domingo,noun,Sunday,day of the week
quinta-feira,noun,Thursday,day of the week
terça-feira,noun,Tuesday,day of the week
quarta-feira,noun,Wednesday,day of the week
ao redor,adv,about,on all sides
em volta,adv,about,on all sides
por aí,adv,about,here and there
aproximadamente,adv,about,"nearly, approximately"
cerca de,adv,about,"nearly, approximately"
mais ou menos,adv,about,"nearly, approximately"
ao redor,adv,about,in circuit
acima,adv,above,earlier in order in writing
acima,adv,above,in a higher place
para cima,adv,above,in a higher place
acima,adv,above,higher in rank
ação,noun,action,something done so as to accomplish a purpose
ação,noun,action,way of motion or functioning
ação,noun,action,fast-paced activity
ação,noun,action,military: combat
ação,noun,action,law: charge
atividade,noun,activity,state or quality of being active
atividade,noun,activity,something done as an action or a movement
atividade,noun,activity,something done for pleasure or entertainment
actividade,noun,activity,property of substances to react with other substances
ator,noun,actor,person who performs in a theatrical play or film — see also actress
atriz,noun,actor,person who performs in a theatrical play or film — see also actress
agente,noun,actor,one who acts; a doer
atriz,noun,actress,female actor — see also actor
acrescentar,verb,add,to append (e.g. a statement); to say further information; to add on
adicionar,verb,add,to make an addition; to augment; to increase; to add on
somar,verb,add,"to perform the arithmetical operation of addition, to add up"
adicionar,verb,add,"to perform the arithmetical operation of addition, to add up"
adicionar,verb,add,to add someone as a friend
discurso,noun,address,manner of speaking to another
tratamento,noun,address,manner of speaking to another
discurso,noun,address,act of addressing oneself to a person or group
endereço,noun,address,description of the location of a property; direction for correspondence
morada,noun,address,description of the location of a property; direction for correspondence
endereço,noun,address,computing: location in computer memory
endereço,noun,address,string of characters identifying a node or range of nodes on the Internet or other network
adulto,noun,adult,fully grown human
adulta,noun,adult,fully grown human
conselho,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
com medo,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
temer,adj,afraid,"regretful, sorry"
tarde,noun,afternoon,part of the day between noon and evening
de volta,adv,again,back to a former place or state
de novo,adv,again,another time
outra vez,adv,again,another time
novamente,adv,again,another time
mesmo,adv,again,used in a question to ask something one has forgotten
idade,noun,age,amount of time since the birth of a being or the beginning of a thing
idade,noun,age,state of being old; latter part of life
velhice,noun,age,state of being old; latter part of life
idade,noun,age,one of the stages of life
maioridade,noun,age,time of life at which one attains full personal rights and capacities
idade,noun,age,particular period of time in history
era,noun,age,particular period of time in history
época,noun,age,particular period of time in history
época,noun,age,great period in the history of the Earth
era,noun,age,great period in the history of the Earth
idade,noun,age,great period in the history of the Earth
geração,noun,age,generation — see also generation
era,noun,age,a long time
idade,noun,age,lifespan
concordar,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
estar de acordo,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
aceitar,verb,agree,"to yield assent, to accede"
concordar,verb,agree,to come to terms or to a common resolve
concordar,verb,agree,"to resemble, coincide, correspond"
concordar,verb,agree,"grammar: to correspond in gender, number, case, person, etc."
ar,noun,air,historical: one of the basic elements
ar,noun,air,mixture of gases making up the atmosphere of the Earth
ária,noun,air,"music: a song, an aria"
nengum objeto,noun,air,informal: absence of anything
aeroporto,noun,airport,place designated for airplanes
também,adv,also,in addition; besides; as well; further; too
sempre,adv,always,at all times
