word,part_of_speech,english_word,sense
vineri,noun,Friday,day of the week
luni,noun,Monday,day of the week
sâmbătă,noun,Saturday,day of the week
duminică,noun,Sunday,day of the week
joi,noun,Thursday,day of the week
marți,noun,Tuesday,day of the week
miercuri,noun,Wednesday,day of the week
cam,adv,about,"nearly, approximately"
deasupra,adv,above,in a higher place
acțiune,noun,action,something done so as to accomplish a purpose
activitate,noun,activity,state or quality of being active
actor,noun,actor,person who performs in a theatrical play or film — see also actress
actriță,noun,actress,female actor — see also actor
adăuga,verb,add,to append (e.g. a statement); to say further information; to add on
adresare,noun,address,act of addressing oneself to a person or group
adresă,noun,address,description of the location of a property; direction for correspondence
adult,noun,adult,fully grown human
sfat,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
după-amiază,noun,afternoon,part of the day between noon and evening
din nou,adv,again,another time
vârstă,noun,age,amount of time since the birth of a being or the beginning of a thing
fi de acord,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
aer,noun,air,mixture of gases making up the atmosphere of the Earth
aeroport,noun,airport,place designated for airplanes
de asemenea,adv,also,in addition; besides; as well; further; too
întotdeauna,adv,always,at all times
uimitor,adj,amazing,causing wonder and amazement
furios,adj,angry,displaying anger
animal,noun,animal,organism
răspunde,verb,answer,to respond to a call
apartament,noun,apartment,domicile occupying part of a building
măr,noun,apple,fruit of Malus domestica
arie,noun,area,maths: measure of extent of a surface
braț,noun,arm,upper appendage from shoulder to wrist
ajunge,verb,arrive,to reach
artă,noun,art,skillful creative activity
articol,noun,article,"story, report, or opinion piece"
artist,noun,artist,person who creates art
întreba,verb,ask,request an answer
mătușă,noun,aunt,a parent's sister or sister-in-law
de aici,adv,away,from a place; hence
încolo,adv,away,aside; off; in another direction
în continuare,adv,away,"on; in continuance; without intermission or delay; as, sing away"
uimitor,adj,awesome,"excellent, exciting"
formidabil,adj,awesome,"excellent, exciting"
bebe,noun,baby,very young human being
bebeluș,noun,baby,very young human being
înapoi,adv,back,to or in a previous condition or place
rău,adj,bad,unfavorable; negative
pungă,noun,bag,flexible container
sac,noun,bag,flexible container
minge,noun,ball,solid or hollow sphere
bilă,noun,ball,solid or hollow sphere
banană,noun,banana,fruit
bancă,noun,bank,institution
bar,noun,bar,business licensed to sell intoxicating beverages
baseball,noun,baseball,ball game
baschet,noun,basketball,the sport
baie,noun,bath,building or area where bathing occurs
plajă,noun,beach,sandy shore
frumos,adj,beautiful,attractive
deveni,verb,become,to begin to be
pat,noun,bed,piece of furniture
dormitor,noun,bedroom,room in a house where a bed is kept for sleeping
bere,noun,beer,alcoholic drink made of malt
a începe,verb,begin,"to start, to initiate (transitive)"
început,noun,beginning,act of doing that which begins anything
în spate,adv,behind,at the back part; in the rear
crede,verb,believe,to accept as true
mai bun,adj,better,comparative of the adjectives good or well
bicicletă,noun,bicycle,vehicle
mare,adj,big,of a great size — see also large
bicicletă,noun,bike,bicycle
factură,noun,bill,invoice
pasăre,noun,bird,animal
zi de naștere,noun,birthday,anniversary
negru,noun,black,colour/color
blog,noun,blog,a personal or corporate website
albastru,noun,blue,colour
barcă,noun,boat,water craft
corp,noun,body,physical structure of a human or animal
carte,noun,book,collection of sheets of paper bound together containing printed or written material
cizmă,noun,boot,heavy shoe that covers part of the leg
plictisit,adj,bored,suffering from boredom
plictisitor,adj,boring,causing boredom or tiredness
sticlă,noun,bottle,container
cutie,noun,box,cuboid space; container
băiat,noun,boy,young male
iubit,noun,boyfriend,male partner in a romantic relationship
pâine,noun,bread,baked dough made from cereals
pauză,noun,break,"rest or pause, usually from work"
mic dejun,noun,breakfast,first meal of the day
aduce,verb,bring,to transport toward somebody/somewhere
