english_word,word,part_of_speech,sense
Friday,vineri,noun,day of the week
Monday,luni,noun,day of the week
Saturday,sâmbătă,noun,day of the week
Sunday,duminică,noun,day of the week
Thursday,joi,noun,day of the week
Tuesday,marți,noun,day of the week
Wednesday,miercuri,noun,day of the week
about,cam,adv,"nearly, approximately"
above,deasupra,adv,in a higher place
action,acțiune,noun,something done so as to accomplish a purpose
activity,activitate,noun,state or quality of being active
actor,actor,noun,person who performs in a theatrical play or film — see also actress
actress,actriță,noun,female actor — see also actor
add,adăuga,verb,to append (e.g. a statement); to say further information; to add on
address,adresare,noun,act of addressing oneself to a person or group
address,adresă,noun,description of the location of a property; direction for correspondence
adult,adult,noun,fully grown human
advice,sfat,noun,"opinion recommended or offered, as worthy to be followed; counsel"
afternoon,după-amiază,noun,part of the day between noon and evening
again,din nou,adv,another time
age,vârstă,noun,amount of time since the birth of a being or the beginning of a thing
agree,fi de acord,verb,harmonize in opinion; be in unison or concord; be united; concur
air,aer,noun,mixture of gases making up the atmosphere of the Earth
airport,aeroport,noun,place designated for airplanes
also,de asemenea,adv,in addition; besides; as well; further; too
always,întotdeauna,adv,at all times
amazing,uimitor,adj,causing wonder and amazement
angry,furios,adj,displaying anger
animal,animal,noun,organism
answer,răspunde,verb,to respond to a call
apartment,apartament,noun,domicile occupying part of a building
apple,măr,noun,fruit of Malus domestica
area,arie,noun,maths: measure of extent of a surface
arm,braț,noun,upper appendage from shoulder to wrist
arrive,ajunge,verb,to reach
art,artă,noun,skillful creative activity
article,articol,noun,"story, report, or opinion piece"
artist,artist,noun,person who creates art
ask,întreba,verb,request an answer
aunt,mătușă,noun,a parent's sister or sister-in-law
away,departe,adv,from a place; hence
awesome,uimitor,adj,"excellent, exciting"
awesome,formidabil,adj,"excellent, exciting"
baby,bebe,noun,very young human being
baby,bebeluș,noun,very young human being
back,înapoi,adv,to or in a previous condition or place
bad,rău,adj,unfavorable; negative
bag,pungă,noun,flexible container
bag,sac,noun,flexible container
ball,minge,noun,solid or hollow sphere
ball,bilă,noun,solid or hollow sphere
banana,banană,noun,fruit
bank,bancă,noun,institution
bar,bar,noun,business licensed to sell intoxicating beverages
baseball,baseball,noun,ball game
basketball,baschet,noun,the sport
bath,baie,noun,building or area where bathing occurs
beach,plajă,noun,sandy shore
beautiful,frumos,adj,attractive
become,deveni,verb,to begin to be
bed,pat,noun,piece of furniture
bedroom,dormitor,noun,room in a house where a bed is kept for sleeping
beer,bere,noun,alcoholic drink made of malt
begin,a începe,verb,"to start, to initiate (transitive)"
beginning,început,noun,act of doing that which begins anything
behind,în spate,adv,at the back part; in the rear
believe,crede,verb,to accept as true
better,mai bun,adj,comparative of the adjectives good or well
bicycle,bicicletă,noun,vehicle
big,mare,adj,of a great size — see also large
bike,bicicletă,noun,bicycle
bill,factură,noun,invoice
bird,pasăre,noun,animal
birthday,zi de naștere,noun,anniversary
black,negru,noun,colour/color
blog,blog,noun,a personal or corporate website
blue,albastru,noun,colour
boat,barcă,noun,water craft
body,corp,noun,physical structure of a human or animal
book,carte,noun,collection of sheets of paper bound together containing printed or written material
boot,cizmă,noun,heavy shoe that covers part of the leg
bored,plictisit,adj,suffering from boredom
boring,plictisitor,adj,causing boredom or tiredness
bottle,sticlă,noun,container
box,cutie,noun,cuboid space; container
boy,băiat,noun,young male
boyfriend,iubit,noun,male partner in a romantic relationship
bread,pâine,noun,baked dough made from cereals
break,pauză,noun,"rest or pause, usually from work"
breakfast,mic dejun,noun,first meal of the day
bring,aduce,verb,to transport toward somebody/somewhere
brother,frate,noun,male sibling
brown,maro,noun,colour
build,construi,verb,(transitive) to form by combining materials or parts
building,clădire,noun,closed structure with walls and a roof
bus,autobuz,noun,vehicle
business,afacere,noun,"occupation, work or trade of a person"
butter,unt,noun,soft foodstuff made from milk
buy,cumpăra,verb,to obtain something with money
cake,tort,noun,type of sweet dessert
cake,prăjitură,noun,type of sweet dessert
call,apel,noun,telephone conversation
camera,cameră foto,noun,still camera
can,putea,verb,to be able to; to know how to
car,mașină,noun,"automobile, a vehicle steered by a driver"
card,card,noun,"flat, normally rectangular piece of stiff paper, plastic etc."
career,carieră,noun,one's calling in life; a person's occupation
carrot,morcov,noun,Daucus carota ssp. sativus
carry,căra,verb,to transport by lifting
cat,pisică,noun,domestic species
cent,cent,noun,subunit of currency in US and elsewhere
center,centru,noun,point equidistant from all points on the perimeter of a circle
chair,scaun,noun,furniture
change,schimbare,noun,the process of becoming different
chart,grafic,noun,non-narrative presentation of data
cheap,ieftin,adj,low and/or reduced in price
check,verifica,verb,to verify or compare with a source of information
cheese,brânză,noun,dairy product
chicken,pui,noun,bird
child,copil,noun,a minor
chocolate,ciocolată,noun,food made from ground roasted cocoa beans
choose,alege,verb,to pick
city,oraș,noun,large settlement
class,clasă,noun,"group, collection, category or set sharing characteristics or attributes"
classroom,sală de clasă,noun,room in a school
clean,curăța,verb,(transitive) to remove dirt from a place or object
climb,urca,verb,"to ascend, to go up"
clock,ceas,noun,instrument to measure or keep track of time
close,închide,verb,obstruct (an opening)
clothes,haine,noun,apparel
club,club,noun,association of members
coffee,cafea,noun,beverage
cold,frig,noun,low temperature
college,facultate,noun,institution of higher education teaching undergraduates
color,culoare,noun,spectral composition of visible light
come,veni,verb,to move nearer
common,obișnuit,adj,usual
company,firmă,noun,"in legal context, a corporation"
compare,compara,verb,to assess the similarities between two things or between one thing and another
complete,termina,verb,to finish
computer,computer,noun,programmable electronic device
concert,concert,noun,a musical entertainment in which several voices or instruments take part
conversation,conversație,noun,expression and exchange of individual ideas through talking with other people
cook,găti,verb,to prepare food for eating
cool,friguros,adj,having a slightly low temperature
correct,corecta,verb,to make something become right that was previously wrong
cost,costa,verb,"to incur a charge, a price"
country,țară,noun,region of land
course,curs,noun,education: learning program
cousin,văr,noun,any relation (especially a distant one) who is not a direct ancestor or descendant but part of a person’s extended family
cow,vacă,noun,female domesticated ox or other bovine
cream,smântână,noun,oily part of milk
create,crea,verb,to put into existence
culture,cultură,noun,"arts, customs and habits"
cup,ceașcă,noun,drinking vessel
customer,client,noun,one who purchases or receives a product or service
cut,a tăia,verb,to perform an incision
dad,tată,noun,informal: a father
dance,dansa,verb,move rhythmically to music
dancer,dansator,noun,person who dances
dangerous,periculos,adj,full of danger
dark,întunecat,adj,having an absolute or relative lack of light
date,dată,noun,point of time at which a transaction or event takes place
date,întâlnire,noun,pre-arranged social meeting
date,curmală,noun,fruit of the date palm
daughter,fiică,noun,female offspring
day,zi,noun,period of 24 hours
dear,drag,adj,loved; lovable
decide,decide,verb,to resolve or settle
delicious,delicios,adj,pleasing to taste
describe,descrie,verb,to represent in words
description,descriere,noun,account in words
desk,birou,noun,table for writing and reading
detail,detaliu,noun,part small enough to escape casual notice
dialogue,dialog,noun,conversation or other discourse between individuals
dictionary,dicționar,noun,publication that explains the meanings of an ordered list of words
die,muri,verb,to stop living
difference,diferență,noun,characteristic of something that makes it different from something else
different,diferit,adj,not the same
difficult,dificil,adj,"hard, not easy"
dinner,cină,noun,evening meal
dirty,murdar,adj,covered with or containing dirt
discuss,a discuta,verb,to converse or debate concerning a particular topic
dish,farfurie,noun,vessel for holding/serving food
do,face,verb,"perform, execute"
doctor,doctor,noun,person who has attained a doctorate
dog,câine,noun,animal
dollar,dolar,noun,designation for specific currency
door,ușă,noun,"portal of entry into a building, room or vehicle"
down,în jos,adv,"from a high to a low position, downwards"
draw,desena,verb,to produce a picture
dress,îmbrăca,verb,"to put clothes on (oneself or someone, etc.) — see also clothe"
drink,bea,verb,consume liquid through the mouth
drive,conduce,verb,to operate (a wheeled motorized vehicle)
driver,șofer,noun,"person who drives a motorized vehicle, such as a car or a bus"
each,fiecare,adv,apiece
ear,ureche,noun,organ of hearing
early,devreme,adv,at a time before expected
easy,ușor,adj,requiring little skill or effort
eat,mânca,verb,"to ingest — see also consume, ingest"
egg,ou,noun,"approximately spherical or ellipsoidal body produced by birds, insects, reptiles, and other animals, housing the embryo within a membrane or shell during its development"
elephant,elefant,noun,mammal
end,termina,verb,"intransitive: be finished, be terminated"
enjoy,savura,verb,to receive pleasure or satisfaction from something
enough,destul,adv,sufficiently
even,chiar,adv,implying extreme example
evening,seară,noun,time of day between the approximate time of midwinter dusk and midnight
event,eveniment,noun,occurrence
example,exemplu,noun,something serving to explain or illustrate a rule
excited,entuziasmat,adj,having great enthusiasm and energy
expensive,scump,adj,having a high price or cost
explain,explica,verb,to make intelligible
eye,ochi,noun,organ
face,față,noun,anatomy: front part of head
fact,fapt,noun,an objective consensus on a fundamental reality
fall,cădere,noun,act of moving in gas or vacuum under the effect of gravity from a point to a lower point
FALSE,fals,adj,"untrue, not factual, wrong"
famous,celebru,adj,well known
fantastic,fantastic,adj,"wonderful, marvelous, excellent, extraordinarily good"
far,departe,adv,at a great distance
farm,fermă,noun,place where agricultural activities take place
farmer,fermier,noun,person who works the land and/or who keeps livestock
fast,repede,adv,with great speed
fat,gras,adj,carrying a larger than normal amount of fat on one's body
father,tată,noun,male parent
feel,simți,verb,transitive: to experience an emotion or other mental state about
feeling,sentiment,noun,emotion; impression
festival,festival,noun,event or community gathering
fill,a umple,verb,"add contents to, so it is full"
find,găsi,verb,"encounter, locate, discover"
fine,fin,adj,of superior quality
finish,termina,verb,to complete
fire,foc,noun,oxidation reaction
first,întâi,adv,before anything else
fish,pește,noun,vertebrate animal
flight,zbor,noun,act of flying
floor,podea,noun,bottom part of a room
flower,floare,noun,reproductive structure in angiosperms
fly,zbura,verb,to travel through air
follow,urmări,verb,to go or come after in physical space
food,mâncare,noun,any substance consumed by living organisms to sustain life
foot,picior,noun,part of human body
football,fotbal,noun,association football
forget,uita,verb,to lose remembrance of
form,forma,verb,to give shape
free,liber,adj,unconstrained
friend,prieten,noun,person whose company one enjoys
friendly,prietenos,adj,"approachable, warm"
fruit,fruct,noun,part of plant
full,plin,adj,containing the maximum possible amount
fun,distracție,noun,enjoyment or amusement
funny,amuzant,adj,amusing; comical
future,viitor,noun,the time ahead
game,joc,noun,"playful activity that may be unstructured, amusement, pastime"
garden,grădină,noun,piece of land outside with flowers and plants
geography,geografie,noun,study of physical structure and inhabitants of the Earth
get,primi,verb,to obtain
get,obține,verb,to obtain
girl,fată,noun,young female person
girlfriend,prietenă,noun,a female partner in a romantic relationship
give,da,verb,transfer the possession of something to someone else
glass,sticlă,noun,substance
glass,pahar,noun,drinking vessel
go,merge,verb,to move through space (especially from one place to another)
good,bun,adj,acting in the interest of good; ethical good intentions
grandfather,bunic,noun,grandfather (from either side)
grandmother,bunică,noun,mother of someone's parent
gray,gri,noun,colour
great,minunat,adj,very good
green,verde,noun,colour
group,grup,noun,number of things or persons being in some relation to each other
grow,crește,verb,(intransitive) to become bigger
guitar,chitară,noun,musical instrument
gym,sală de gimnastică,noun,sporting facility specialized for lifting weights and exercise
hair,păr,noun,mass of such filaments on the human head
half,jumătate,noun,one of two equal parts into which anything may be divided
hand,mână,noun,part of the fore limb
happen,întâmpla,verb,to occur
happen,petrece,verb,to occur
happy,fericit,adj,"contented, joyous"
hat,pălărie,noun,a head covering
hate,urî,verb,to dislike intensely
have,avea,verb,to possess
head,cap,noun,part of the body
health,sănătate,noun,"state of being free of physical or psychological disease, illness, or malfunction"
hear,auzi,verb,to perceive with the ear
help,ajutor,noun,action given to provide assistance
here,aici,adv,"in, on, or at this place"
high,înalt,adj,elevated; tall
history,istorie,noun,aggregate of past events
hobby,hobby,noun,activity done for enjoyment in spare time
home,acasă,adv,at home
homework,temă,noun,work that is done at home
hope,spera,verb,"to want something to happen, with expectation that it might"
horse,cal,noun,members of the species Equus ferus
hospital,spital,noun,large medical facility
hot,fierbinte,adj,having a high temperature
hotel,hotel,noun,establishment providing accommodation
hour,oră,noun,time period of sixty minutes
house,casă,noun,human abode
how,cum,adv,in what manner
however,totuși,adv,nevertheless
hungry,flămând,adj,affected by hunger; desirous of food
husband,soț,noun,male partner in marriage
ice,gheață,noun,water in frozen form
ice cream,înghețată,noun,dessert
idea,idee,noun,"a conception in the mind of something to be done; a plan for doing something, an intention"
imagine,imagina,verb,(transitive) to form a mental image of something
important,important,adj,having relevant and crucial value
improve,îmbunătăți,verb,to make something better
information,informație,noun,communicable knowledge
interest,interesa,verb,to attract attention or concern
interested,interesat,adj,having or showing interest
interesting,interesant,adj,arousing or holding the attention
interview,intervieva,verb,to have an interview
introduce,prezenta,verb,to cause someone to be acquainted
island,insulă,noun,area of land completely surrounded by water
jacket,geacă,noun,piece of clothing worn on the upper body outside a shirt or blouse
jeans,blugi,noun,denim trousers
job,muncă,noun,economic role for which a person is paid
join,alătura,verb,to combine more than one item into one; to put together
juice,suc,noun,beverage made of juice
just,doar,adv,"only, simply, merely"
