word,part_of_speech,english_word,sense
пя́тница,noun,Friday,day of the week
понеде́льник,noun,Monday,day of the week
суббо́та,noun,Saturday,day of the week
воскресе́нье,noun,Sunday,day of the week
неде́ля,noun,Sunday,day of the week
четве́рг,noun,Thursday,day of the week
вто́рник,noun,Tuesday,day of the week
среда́,noun,Wednesday,day of the week
вокру́г,adv,about,on all sides
де́ятельность,noun,activity,state or quality of being active
акти́вность,noun,activity,state or quality of being active
актёр,noun,actor,person who performs in a theatrical play or film — see also actress
актри́са,noun,actor,person who performs in a theatrical play or film — see also actress
арти́ст,noun,actor,person who performs in a theatrical play or film — see also actress
арти́стка,noun,actor,person who performs in a theatrical play or film — see also actress
лицеде́й,noun,actor,person who performs in a theatrical play or film — see also actress
лицеде́йка,noun,actor,person who performs in a theatrical play or film — see also actress
актри́са,noun,actress,female actor — see also actor
арти́стка,noun,actress,female actor — see also actor
добавля́ть,verb,add,to append (e.g. a statement); to say further information; to add on
доба́вить,verb,add,to append (e.g. a statement); to say further information; to add on
уха́живание,noun,address,polite romantic advance
взро́слый,noun,adult,fully grown human
взро́слая,noun,adult,fully grown human
сове́т,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
рекоменда́ция,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
наставле́ние,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
испу́ганный,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
послеобе́денное вре́мя,noun,afternoon,part of the day between noon and evening
втора́я полови́на дня,noun,afternoon,part of the day between noon and evening
пополу́дни,noun,afternoon,part of the day between noon and evening
наза́д,adv,again,back to a former place or state
обра́тно,adv,again,back to a former place or state
во́зраст,noun,age,amount of time since the birth of a being or the beginning of a thing
соглаша́ться,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
согласи́ться,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
приходи́ть к согла́сию,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
достига́ть соглаше́ния,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
во́здух,noun,air,historical: one of the basic elements
аэропо́рт,noun,airport,place designated for airplanes
аэродро́м,noun,airport,place designated for airplanes
аэровокза́л,noun,airport,place designated for airplanes
то́же,adv,also,in addition; besides; as well; further; too
та́кже,adv,also,in addition; besides; as well; further; too
всегда́,adv,always,at all times
ве́чно,adv,always,at all times
изуми́тельный,adj,amazing,causing wonder and amazement
порази́тельный,adj,amazing,causing wonder and amazement
восхити́тельный,adj,amazing,causing wonder and amazement
серди́тый,adj,angry,displaying anger
злой,adj,angry,displaying anger
разгне́ванный,adj,angry,displaying anger
гне́вный,adj,angry,displaying anger
рассе́рженный,adj,angry,displaying anger
живо́тное,noun,animal,organism
зверь,noun,animal,organism
тварь,noun,animal,organism
скоти́на,noun,animal,organism
животи́на,noun,animal,organism
отвеча́ть,verb,answer,to make a reply or response to
отве́тить,verb,answer,to make a reply or response to
кварти́ра,noun,apartment,domicile occupying part of a building
апартаме́нт,noun,apartment,domicile occupying part of a building
я́блоко,noun,apple,fruit of Malus domestica
пло́щадь,noun,area,maths: measure of extent of a surface
ору́жие,noun,arm,weapon
вооруже́ние,noun,arm,weapon
рука́,noun,arm,upper appendage from shoulder to wrist
по кру́гу,adv,around,"so as to form a circle or trace a circular path, or approximation thereof"
кру́гом,adv,around,"so as to form a circle or trace a circular path, or approximation thereof"
вокру́г,adv,around,"so as to form a circle or trace a circular path, or approximation thereof"
доходи́ть,verb,arrive,to reach
дойти́,verb,arrive,to reach
доезжа́ть,verb,arrive,to reach
дое́хать,verb,arrive,to reach
долета́ть,verb,arrive,to reach
долете́ть,verb,arrive,to reach
иску́сство,noun,art,human effort
уме́ние,noun,art,human effort
статья́,noun,article,"story, report, or opinion piece"
худо́жник,noun,artist,person who creates art
худо́жница,noun,artist,person who creates art
арти́ст,noun,artist,person who creates art
арти́стка,noun,artist,person who creates art
спра́шивать,verb,ask,request an answer
спроси́ть,verb,ask,request an answer
задава́ть,verb,ask,request an answer
зада́ть,verb,ask,request an answer
тётя,noun,aunt,a parent's sister or sister-in-law
тётка,noun,aunt,a parent's sister or sister-in-law
тётушка,noun,aunt,a parent's sister or sister-in-law
прочь,adv,away,from a place; hence
вон,adv,away,from a place; hence
доло́й,adv,away,from a place; hence
устраша́ющий,adj,awesome,causing awe or terror
внуша́ющий страх,adj,awesome,causing awe or terror
ужаса́ющий,adj,awesome,causing awe or terror
младе́нец,noun,baby,very young human being
малы́ш,noun,baby,very young human being
малы́шка,noun,baby,very young human being
ребёнок,noun,baby,very young human being
дитя́,noun,baby,very young human being
малю́тка,noun,baby,very young human being
кро́шка,noun,baby,very young human being
бе́би,noun,baby,very young human being
наза́д,adv,back,to or in a previous condition or place
обра́тно,adv,back,to or in a previous condition or place
вспять,adv,back,to or in a previous condition or place
плохо́й,adj,bad,unfavorable; negative
скве́рный,adj,bad,unfavorable; negative
пога́ный,adj,bad,unfavorable; negative
нехоро́ший,adj,bad,unfavorable; negative
су́мка,noun,bag,flexible container
мешо́к,noun,bag,flexible container
паке́т,noun,bag,flexible container
то́рба,noun,bag,flexible container
бал,noun,ball,formal dance
шар,noun,ball,solid or hollow sphere
сфе́ра,noun,ball,solid or hollow sphere
бана́н,noun,banana,fruit
бе́рег,noun,bank,edge of river or lake
брег,noun,bank,edge of river or lake
банк,noun,bank,institution
бар,noun,bar,unit of pressure
прут,noun,bar,solid object with uniform cross-section
сте́ржень,noun,bar,solid object with uniform cross-section
брус,noun,bar,solid object with uniform cross-section
бейсбо́л,noun,baseball,ball game
баскетбо́л,noun,basketball,the sport
ва́нна,noun,bath,tub
ва́нная,noun,bathroom,a room with a bathtub
ва́нная ко́мната,noun,bathroom,a room with a bathtub
пляж,noun,beach,sandy shore
взмо́рье,noun,beach,sandy shore
краси́вый,adj,beautiful,attractive
прекра́сный,adj,beautiful,attractive
приго́жий,adj,beautiful,attractive
ле́пый,adj,beautiful,attractive
станови́ться,verb,become,to begin to be
стать,verb,become,to begin to be
крова́ть,noun,bed,piece of furniture
посте́ль,noun,bed,piece of furniture
ко́йка,noun,bed,piece of furniture
ло́же,noun,bed,piece of furniture
спа́льня,noun,bedroom,room in a house where a bed is kept for sleeping
пи́во,noun,beer,alcoholic drink made of malt
начина́ть,verb,begin,"to start, to initiate (transitive)"
нача́ть,verb,begin,"to start, to initiate (transitive)"
начина́ться,verb,begin,"to start, to initiate (transitive)"
нача́ться,verb,begin,"to start, to initiate (transitive)"
нача́ло,noun,beginning,act of doing that which begins anything
сза́ди,adv,behind,at the back part; in the rear
позади́,adv,behind,at the back part; in the rear
ве́рить,verb,believe,to accept that someone is telling the truth (object: person)
пове́рить,verb,believe,to accept that someone is telling the truth (object: person)
внизу́,adv,below,in a lower place
ни́же,adv,below,in a lower place
лу́чший,adj,best,superlative of the adjective good
наилу́чший,adj,best,superlative of the adjective good
лу́чше,adj,better,comparative of the adjectives good or well
лу́чший,adj,better,comparative of the adjectives good or well
велосипе́д,noun,bicycle,vehicle
ве́лик,noun,bicycle,vehicle
большо́й,adj,big,of a great size — see also large
вели́кий,adj,big,of a great size — see also large
кру́пный,adj,big,of a great size — see also large
велосипе́д,noun,bike,bicycle
ве́лик,noun,bike,bicycle
счёт,noun,bill,written inventory
алеба́рда,noun,bill,weapon of infantry
клюв,noun,bill,bird's beak
пти́ца,noun,bird,animal
пта́шка,noun,bird,animal
пта́х,noun,bird,animal
пта́ха,noun,bird,animal
по́тка,noun,bird,animal
день рожде́ния,noun,birthday,anniversary
дню́ха,noun,birthday,anniversary
имени́ны,noun,birthday,anniversary
чёрный,noun,black,colour/color
блог,noun,blog,a personal or corporate website
све́тлый,adj,blond,of a pale golden colour
ру́сый,adj,blond,of a pale golden colour
си́ний,noun,blue,colour
голубо́й,noun,blue,colour
ло́дка,noun,boat,water craft
шлю́пка,noun,boat,water craft
бот,noun,boat,water craft
чёлн,noun,boat,water craft
ладья́,noun,boat,water craft
те́ло,noun,body,physical structure of a human or animal
кни́га,noun,book,collection of sheets of paper bound together containing printed or written material
кни́жка,noun,book,collection of sheets of paper bound together containing printed or written material
бу́тса,noun,boot,heavy shoe that covers part of the leg
боти́нок,noun,boot,heavy shoe that covers part of the leg
башма́к,noun,boot,heavy shoe that covers part of the leg
сапо́г,noun,boot,heavy shoe that covers part of the leg
бу́тсы,noun,boot,heavy shoe that covers part of the leg
загру́зка,noun,boot,the act or process of bootstrapping
скуча́ющий,adj,bored,suffering from boredom
ску́чный,adj,boring,causing boredom or tiredness
ну́дный,adj,boring,causing boredom or tiredness
буты́лка,noun,bottle,container
фля́жка,noun,bottle,container
букс,noun,box,shrub or tree of the genus Buxus — see also box tree
самши́т,noun,box,shrub or tree of the genus Buxus — see also box tree
коро́бка,noun,box,cuboid space; container
я́щик,noun,box,cuboid space; container
сунду́к,noun,box,cuboid space; container
футля́р,noun,box,cuboid space; container
шкату́лка,noun,box,cuboid space; container
бокс,noun,box,cuboid space; container
ма́льчик,noun,boy,young male
ю́ноша,noun,boy,young male
па́рень,noun,boy,young male
подро́сток,noun,boy,young male
паца́н,noun,boy,young male
кавале́р,noun,boyfriend,male partner in a romantic relationship
друг,noun,boyfriend,male partner in a romantic relationship
па́рень,noun,boyfriend,male partner in a romantic relationship
возлю́бленный,noun,boyfriend,male partner in a romantic relationship
бойфре́нд,noun,boyfriend,male partner in a romantic relationship
ухажёр,noun,boyfriend,male partner in a romantic relationship
прия́тель,noun,boyfriend,male partner in a romantic relationship
дружо́к,noun,boyfriend,male partner in a romantic relationship
молодой человек,noun,boyfriend,male partner in a romantic relationship
хлеб,noun,bread,baked dough made from cereals
за́втрак,noun,breakfast,first meal of the day
приноси́ть,verb,bring,to transport toward somebody/somewhere
принести́,verb,bring,to transport toward somebody/somewhere
приводи́ть,verb,bring,to transport toward somebody/somewhere
привести́,verb,bring,to transport toward somebody/somewhere
привози́ть,verb,bring,to transport toward somebody/somewhere
привезти́,verb,bring,to transport toward somebody/somewhere
брат,noun,brother,male sibling
бра́тец,noun,brother,male sibling
брати́шка,noun,brother,male sibling
брата́н,noun,brother,male sibling
кори́чневый,noun,brown,colour
бу́рый,noun,brown,colour
стро́ить,verb,build,(transitive) to form by combining materials or parts
постро́ить,verb,build,(transitive) to form by combining materials or parts
строи́тельство,noun,building,act or process of building
стро́йка,noun,building,act or process of building
авто́бус,noun,bus,vehicle
предприя́тие,noun,business,commercial enterprise or establishment
би́знес,noun,business,commercial enterprise or establishment
компа́ния,noun,business,commercial enterprise or establishment
фи́рма,noun,business,commercial enterprise or establishment
ма́сло,noun,butter,soft foodstuff made from milk
сли́вочное ма́сло,noun,butter,soft foodstuff made from milk
покупа́ть,verb,buy,to obtain something with money
купи́ть,verb,buy,to obtain something with money
торт,noun,cake,type of sweet dessert
пиро́жное,noun,cake,type of sweet dessert
кекс,noun,cake,type of sweet dessert
крик,noun,call,cry or shout
фотоаппара́т,noun,camera,still camera
ка́мера,noun,camera,still camera
фотока́мера,noun,camera,still camera
мочь,verb,can,to be able to; to know how to
смочь,verb,can,to be able to; to know how to
уме́ть,verb,can,to be able to; to know how to
быть в состоя́нии,verb,can,to be able to; to know how to
консерви́ровать,verb,can,to preserve
законсерви́ровать,verb,can,to preserve
не мо́чь,verb,cannot,"cannot — see also can, not"
нельзя́,verb,cannot,"cannot — see also can, not"
маши́на,noun,car,"automobile, a vehicle steered by a driver"
автомоби́ль,noun,car,"automobile, a vehicle steered by a driver"
автомаши́на,noun,car,"automobile, a vehicle steered by a driver"
авто́,noun,car,"automobile, a vehicle steered by a driver"
та́чка,noun,car,"automobile, a vehicle steered by a driver"
ка́рта,noun,card,"resource or an argument, used to achieve a purpose"
ко́зырь,noun,card,"resource or an argument, used to achieve a purpose"
карье́ра,noun,career,one's calling in life; a person's occupation
по́прище,noun,career,one's calling in life; a person's occupation
профе́ссия,noun,career,one's calling in life; a person's occupation
призва́ние,noun,career,one's calling in life; a person's occupation
морко́вь,noun,carrot,Daucus carota ssp. sativus
морко́вка,noun,carrot,Daucus carota ssp. sativus
морква́,noun,carrot,Daucus carota ssp. sativus
мо́рква,noun,carrot,Daucus carota ssp. sativus
носи́ть,verb,carry,to transport by lifting
поноси́ть,verb,carry,to transport by lifting
нести́ impf понести́,verb,carry,to transport by lifting
вози́ть,verb,carry,to transport by lifting
повози́ть,verb,carry,to transport by lifting
везти́,verb,carry,to transport by lifting
повезти́,verb,carry,to transport by lifting
ко́шка,noun,cat,domestic species
кот,noun,cat,domestic species
цент,noun,cent,subunit of currency in US and elsewhere
центр,noun,center,point equidistant from all points on the perimeter of a circle
середи́на,noun,center,point equidistant from all points on the perimeter of a circle
среди́на,noun,center,point equidistant from all points on the perimeter of a circle
стул,noun,chair,furniture
измене́ние,noun,change,the process of becoming different
переме́на,noun,change,the process of becoming different
морска́я ка́рта,noun,chart,navigator's map
дешёвый,adj,cheap,low and/or reduced in price
недорого́й,adj,cheap,low and/or reduced in price
проверя́ть,verb,check,"to inspect, examine"
прове́рить,verb,check,"to inspect, examine"
сыр,noun,cheese,dairy product
творо́г,noun,cheese,dairy product
тво́рог,noun,cheese,dairy product
цыплёнок,noun,chicken,bird
ку́рица,noun,chicken,bird
пету́х,noun,chicken,bird
ребёнок,noun,child,son or daughter; someone's child
дитя́,noun,child,son or daughter; someone's child
ча́до,noun,child,son or daughter; someone's child
шокола́д,noun,chocolate,food made from ground roasted cocoa beans
выбира́ть,verb,choose,to pick
вы́брать,verb,choose,to pick
го́род,noun,city,large settlement
град,noun,city,large settlement
класс,noun,class,"group, collection, category or set sharing characteristics or attributes"
разря́д,noun,class,"group, collection, category or set sharing characteristics or attributes"
класс,noun,classroom,room in a school
кла́ссная ко́мната,noun,classroom,room in a school
кла́ссная,noun,classroom,room in a school
чи́стить,verb,clean,(transitive) to remove dirt from a place or object
почи́стить,verb,clean,(transitive) to remove dirt from a place or object
вы́чистить,verb,clean,(transitive) to remove dirt from a place or object
очища́ть,verb,clean,(transitive) to remove dirt from a place or object
очи́стить,verb,clean,(transitive) to remove dirt from a place or object
поднима́ться,verb,climb,"to ascend, to go up"
подня́ться,verb,climb,"to ascend, to go up"
часы́,noun,clock,instrument to measure or keep track of time
закрыва́ть,verb,close,obstruct (an opening)
закры́ть,verb,close,obstruct (an opening)
оде́жда,noun,clothes,apparel
одёжа,noun,clothes,apparel
клуб,noun,club,association of members
пальто́,noun,coat,outer garment covering the upper torso and arms
пиджа́к,noun,coat,outer garment covering the upper torso and arms
ко́фе,noun,coffee,beverage
хо́лод,noun,cold,low temperature
сту́жа,noun,cold,low temperature
цвет,noun,color,spectral composition of visible light
ко́лер,noun,color,spectral composition of visible light
приходи́ть,verb,come,to move nearer
прийти́,verb,come,to move nearer
приезжа́ть,verb,come,to move nearer
прие́хать,verb,come,to move nearer
о́бщий,adj,common,mutual
взаи́мный,adj,common,mutual
компа́ния,noun,company,"in legal context, a corporation"
фи́рма,noun,company,"in legal context, a corporation"
о́бщество,noun,company,"in legal context, a corporation"
това́рищество,noun,company,"in legal context, a corporation"
предприя́тие,noun,company,"in legal context, a corporation"
корпора́ция,noun,company,"in legal context, a corporation"
сра́внивать,verb,compare,to assess the similarities between two things or between one thing and another
сравни́ть,verb,compare,to assess the similarities between two things or between one thing and another
заверша́ть,verb,complete,to finish
заверши́ть,verb,complete,to finish
зака́нчивать,verb,complete,to finish
зако́нчить,verb,complete,to finish
компью́тер,noun,computer,programmable electronic device
ЭВМ,noun,computer,programmable electronic device
согла́сие,noun,concert,agreement in a design or plan
соглаше́ние,noun,concert,agreement in a design or plan
договорённость,noun,concert,agreement in a design or plan
разгово́р,noun,conversation,expression and exchange of individual ideas through talking with other people
бесе́да,noun,conversation,expression and exchange of individual ideas through talking with other people
гото́вить,verb,cook,to prepare food for eating
пригото́вить,verb,cook,to prepare food for eating
вари́ть,verb,cook,to prepare food for eating
свари́ть,verb,cook,to prepare food for eating
стря́пать,verb,cook,to prepare food for eating
состря́пать,verb,cook,to prepare food for eating
гото́вка,noun,cooking,the process of preparing food by using heat
кулинари́я,noun,cooking,the process of preparing food by using heat
стряпня́,noun,cooking,the process of preparing food by using heat
прохла́дный,adj,cool,having a slightly low temperature
холоднова́тый,adj,cool,having a slightly low temperature
исправля́ть,verb,correct,to make something become right that was previously wrong
испра́вить,verb,correct,to make something become right that was previously wrong
корректи́ровать,verb,correct,to make something become right that was previously wrong
сто́ить,verb,cost,"to incur a charge, a price"
страна́,noun,country,region of land
край,noun,country,region of land
земля́,noun,country,region of land
ро́дственник,noun,cousin,any relation (especially a distant one) who is not a direct ancestor or descendant but part of a person’s extended family
ро́дственница,noun,cousin,any relation (especially a distant one) who is not a direct ancestor or descendant but part of a person’s extended family
коро́ва,noun,cow,female domesticated ox or other bovine
сли́вки,noun,cream,oily part of milk
смета́на,noun,cream,oily part of milk
создава́ть,verb,create,to put into existence
созда́ть,verb,create,to put into existence
твори́ть,verb,create,to put into existence
сотвори́ть,verb,create,to put into existence
культу́ра,noun,culture,"arts, customs and habits"
ча́шка,noun,cup,drinking vessel
ча́ша,noun,cup,drinking vessel
ку́бок,noun,cup,drinking vessel
