word,part_of_speech,english_word,sense
fredag,noun,Friday,day of the week
måndag,noun,Monday,day of the week
lördag,noun,Saturday,day of the week
söndag,noun,Sunday,day of the week
torsdag,noun,Thursday,day of the week
tisdag,noun,Tuesday,day of the week
onsdag,noun,Wednesday,day of the week
runt,adv,about,on all sides
aktivitet,noun,activity,state or quality of being active
verksamhet,noun,activity,state or quality of being active
skådespelare,noun,actor,person who performs in a theatrical play or film — see also actress
skådespelerska,noun,actor,person who performs in a theatrical play or film — see also actress
aktör,noun,actor,person who performs in a theatrical play or film — see also actress
aktris,noun,actor,person who performs in a theatrical play or film — see also actress
skådespelerska,noun,actress,female actor — see also actor
aktris,noun,actress,female actor — see also actor
tillägga,verb,add,to append (e.g. a statement); to say further information; to add on
vuxen,noun,adult,fully grown human
råd,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
rädd,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
eftermiddag,noun,afternoon,part of the day between noon and evening
ålder,noun,age,amount of time since the birth of a being or the beginning of a thing
hålla med,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
vara överens om,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
luft,noun,air,historical: one of the basic elements
flygplats,noun,airport,place designated for airplanes
flygfält,noun,airport,place designated for airplanes
lufthamn,noun,airport,place designated for airplanes
också,adv,also,in addition; besides; as well; further; too
likaså,adv,also,in addition; besides; as well; further; too
alltid,adv,always,at all times
häpnadsväckande,adj,amazing,causing wonder and amazement
arg,adj,angry,displaying anger
ilsken,adj,angry,displaying anger
djur,noun,animal,organism
svara,verb,answer,to make a reply or response to
lägenhet,noun,apartment,domicile occupying part of a building
äpple,noun,apple,fruit of Malus domestica
area,noun,area,maths: measure of extent of a surface
yta,noun,area,maths: measure of extent of a surface
vapen,noun,arm,weapon
arm,noun,arm,upper appendage from shoulder to wrist
anlända,verb,arrive,to reach
ankomma,verb,arrive,to reach
konst,noun,art,human effort
artikel,noun,article,"story, report, or opinion piece"
artist,noun,artist,person who creates art
konstnär,noun,artist,person who creates art
fråga,verb,ask,request an answer
spörja,verb,ask,request an answer
ställa (en fråga),verb,ask,request an answer
faster,noun,aunt,a parent's sister or sister-in-law
moster,noun,aunt,a parent's sister or sister-in-law
tant,noun,aunt,a parent's sister or sister-in-law
bort,adv,away,from a place; hence
iväg,adv,away,from a place; hence
fruktansvärd,adj,awesome,causing awe or terror
imponerande,adj,awesome,causing awe or terror
hiskelig,adj,awesome,causing awe or terror
spädbarn,noun,baby,very young human being
bäbis,noun,baby,very young human being
bebis,noun,baby,very young human being
baby,noun,baby,very young human being
tillbaka,adv,back,to or in a previous condition or place
dålig,adj,bad,unfavorable; negative
illa,adj,bad,unfavorable; negative
väska,noun,bag,flexible container
säck,noun,bag,flexible container
kasse,noun,bag,flexible container
bal,noun,ball,formal dance
boll,noun,ball,solid or hollow sphere
klot,noun,ball,solid or hollow sphere
kula,noun,ball,solid or hollow sphere
banan,noun,banana,fruit
bank,noun,bank,edge of river or lake
bank,noun,bank,institution
bar,noun,bar,unit of pressure
ribba,noun,bar,solid object with uniform cross-section
stång,noun,bar,solid object with uniform cross-section
bom,noun,bar,solid object with uniform cross-section
baseboll,noun,baseball,ball game
basket,noun,basketball,the sport
korgboll,noun,basketball,the sport
badkar,noun,bath,tub
kar,noun,bath,tub
badrum,noun,bathroom,a room with a bathtub
sandstrand,noun,beach,sandy shore
strand,noun,beach,sandy shore
fin,adj,beautiful,attractive
vacker,adj,beautiful,attractive
skön,adj,beautiful,attractive
bli,verb,become,to begin to be
bädd,noun,bed,piece of furniture
säng,noun,bed,piece of furniture
sovrum,noun,bedroom,room in a house where a bed is kept for sleeping
öl,noun,beer,alcoholic drink made of malt
börja,verb,begin,"to start, to initiate (transitive)"
begynna,verb,begin,"to start, to initiate (transitive)"
inleda,verb,begin,"to start, to initiate (transitive)"
påbörja,verb,begin,"to start, to initiate (transitive)"
början,noun,beginning,act of doing that which begins anything
begynnelse,noun,beginning,act of doing that which begins anything
start,noun,beginning,act of doing that which begins anything
bakom,adv,behind,at the back part; in the rear
tro,verb,believe,to accept that someone is telling the truth (object: person)
nedan,adv,below,in a lower place
under,adv,below,in a lower place
bättre,adj,better,comparative of the adjectives good or well
cykel,noun,bicycle,vehicle
tvåhjuling,noun,bicycle,vehicle
stor,adj,big,of a great size — see also large
cykel,noun,bike,bicycle
hillebard,noun,bill,weapon of infantry
näbb,noun,bill,bird's beak
fågel,noun,bird,animal
födelsedag,noun,birthday,anniversary
bemärkelsedag,noun,birthday,anniversary
svart,noun,black,colour/color
blogg,noun,blog,a personal or corporate website
blond,adj,blond,of a pale golden colour
blå,noun,blue,colour
båt,noun,boat,water craft
kropp,noun,body,physical structure of a human or animal
bok,noun,book,collection of sheets of paper bound together containing printed or written material
stövel,noun,boot,heavy shoe that covers part of the leg
känga,noun,boot,heavy shoe that covers part of the leg
båtnad,noun,boot,remedy
