word,part_of_speech,english_word,sense
วันศุกร์,noun,Friday,day of the week
ศุกร์,noun,Friday,day of the week
วันจันทร์,noun,Monday,day of the week
จันทร์,noun,Monday,day of the week
วันเสาร์,noun,Saturday,day of the week
เสาร์,noun,Saturday,day of the week
วันอาทิตย์,noun,Sunday,day of the week
อาทิตย์,noun,Sunday,day of the week
วันพฤหัสบดี,noun,Thursday,day of the week
พฤหัสบดี,noun,Thursday,day of the week
วันอังคาร,noun,Tuesday,day of the week
อังคาร,noun,Tuesday,day of the week
วันพุธ,noun,Wednesday,day of the week
พุธ,noun,Wednesday,day of the week
นักแสดง,noun,actor,person who performs in a theatrical play or film — see also actress
นักแสดงหญิง,noun,actress,female actor — see also actor
เสริม,verb,add,to append (e.g. a statement); to say further information; to add on
เพิ่มเติม,verb,add,to append (e.g. a statement); to say further information; to add on
ผู้ใหญ่,noun,adult,fully grown human
คำแนะนำ,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
อาเทศ,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
กลัว,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
ตอนบ่าย,noun,afternoon,part of the day between noon and evening
ยามบ่าย,noun,afternoon,part of the day between noon and evening
อายุ,noun,age,amount of time since the birth of a being or the beginning of a thing
ตกลง,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
ท่าอากาศยาน,noun,airport,place designated for airplanes
สนามบิน,noun,airport,place designated for airplanes
ด้วย,adv,also,in addition; besides; as well; further; too
ก็,adv,also,in addition; besides; as well; further; too
ตลอด,adv,always,at all times
โกรธ,adj,angry,displaying anger
สัตว์,noun,animal,organism
ตอบ,verb,answer,to make a reply or response to
อพาร์ทเมนท์,noun,apartment,domicile occupying part of a building
แอปเปิล,noun,apple,fruit of Malus domestica
พื้นที่,noun,area,maths: measure of extent of a surface
อาวุธ,noun,arm,weapon
แขน,noun,arm,upper appendage from shoulder to wrist
ถึง,verb,arrive,to reach
สู่,verb,arrive,to reach
มาถึง,verb,arrive,to reach
ศิลปะ,noun,art,human effort
บทความ,noun,article,"story, report, or opinion piece"
ศิลปิน,noun,artist,person who creates art
จิตรกร,noun,artist,person who creates art
ถาม,verb,ask,request an answer
ถามหา,verb,ask,request an answer
ป้า,noun,aunt,a parent's sister or sister-in-law
อา,noun,aunt,a parent's sister or sister-in-law
น้า,noun,aunt,a parent's sister or sister-in-law
เด็กอ่อน,noun,baby,very young human being
เด็กน้อย,noun,baby,very young human being
ทารก,noun,baby,very young human being
ทาริกา,noun,baby,very young human being
แย่,adj,bad,unfavorable; negative
เลว,adj,bad,unfavorable; negative
ถุง,noun,bag,flexible container
กระเป๋า,noun,bag,flexible container
งานลีลาศ,noun,ball,formal dance
บอล,noun,ball,solid or hollow sphere
กล้วย,noun,banana,fruit
ตลิ่ง,noun,bank,edge of river or lake
ฝั่ง,noun,bank,edge of river or lake
ธนาคาร,noun,bank,institution
บาร์,noun,bar,unit of pressure
เบสบอล,noun,baseball,ball game
บาสเกตบอล,noun,basketball,the sport
อ่างอาบน้ำ,noun,bath,tub
ห้องน้ำ,noun,bathroom,a room with a bathtub
หาด,noun,beach,sandy shore
ชายหาด,noun,beach,sandy shore
สุนทร,adj,beautiful,attractive
สวย,adj,beautiful,attractive
งาม,adj,beautiful,attractive
กลาย,verb,become,to begin to be
เตียง,noun,bed,piece of furniture
ห้องนอน,noun,bedroom,room in a house where a bed is kept for sleeping
เบียร์,noun,beer,alcoholic drink made of malt
เริ่ม,verb,begin,"to start, to initiate (transitive)"
เริ่มต้น,verb,begin,"to start, to initiate (transitive)"
การเริ่ม,noun,beginning,act of doing that which begins anything
เชื่อ,verb,believe,to accept that someone is telling the truth (object: person)
ดีที่สุด,adj,best,superlative of the adjective good
ดีกว่า,adj,better,comparative of the adjectives good or well
จักรยาน,noun,bicycle,vehicle
รถถีบ,noun,bicycle,vehicle
ใหญ่,adj,big,of a great size — see also large
จักรยาน,noun,bike,bicycle
จะงอย,noun,bill,bird's beak
นก,noun,bird,animal
ปักษา,noun,bird,animal
วันเกิด,noun,birthday,anniversary
สีดำ,noun,black,colour/color
บล็อก,noun,blog,a personal or corporate website
สีน้ำเงิน,noun,blue,colour
สีฟ้า,noun,blue,colour
เรือ,noun,boat,water craft
ร่างกาย,noun,body,physical structure of a human or animal
กาย,noun,body,physical structure of a human or animal
หนังสือ,noun,book,collection of sheets of paper bound together containing printed or written material
สมุด,noun,book,collection of sheets of paper bound together containing printed or written material
รองเท้า,noun,boot,heavy shoe that covers part of the leg
เบื่อ,adj,bored,suffering from boredom
เบื่อ,adj,boring,causing boredom or tiredness
น่าเบื่อ,adj,boring,causing boredom or tiredness
ขวด,noun,bottle,container
การชก,noun,box,blow with the fist
การต่อย,noun,box,blow with the fist
กล่อง,noun,box,cuboid space; container
หีบ,noun,box,cuboid space; container
เด็กผู้ชาย,noun,boy,young male
เด็กชาย,noun,boy,young male
แฟน,noun,boyfriend,male partner in a romantic relationship
ขนมปัง,noun,bread,baked dough made from cereals
ปัง,noun,bread,baked dough made from cereals
ข้าวเช้า,noun,breakfast,first meal of the day
อาหารเช้า,noun,breakfast,first meal of the day
นำ,verb,bring,to transport toward somebody/somewhere
เอามา,verb,bring,to transport toward somebody/somewhere
พี่,noun,brother,male sibling
พี่ชาย,noun,brother,male sibling
น้อง,noun,brother,male sibling
น้องชาย,noun,brother,male sibling
ภราดร,noun,brother,male sibling
ภราดา,noun,brother,male sibling
สีน้ำตาล,noun,brown,colour
ก่อ,verb,build,(transitive) to form by combining materials or parts
สร้าง,verb,build,(transitive) to form by combining materials or parts
ก่อสร้าง,verb,build,(transitive) to form by combining materials or parts
การสร้าง,noun,building,act or process of building
รถบัส,noun,bus,vehicle
รถ,noun,bus,vehicle
บัส,noun,bus,vehicle
รถเมล์,noun,bus,vehicle
ธุรกิจ,noun,business,commercial enterprise or establishment
บริษัท,noun,business,commercial enterprise or establishment
เนย,noun,butter,soft foodstuff made from milk
ซื้อ,verb,buy,to obtain something with money
เค้ก,noun,cake,type of sweet dessert
กล้องถ่ายรูป,noun,camera,still camera
กล้องถ่ายภาพ,noun,camera,still camera
กล้อง,noun,camera,still camera
ได้,verb,can,to be able to; to know how to
ย่อม,verb,can,to be able to; to know how to
สามารถ,verb,can,to be able to; to know how to
เป็น,verb,can,to be able to; to know how to
...ไม่ได้,verb,cannot,"cannot — see also can, not"
...ไม่เป็น,verb,cannot,"cannot — see also can, not"
รถยนต์,noun,car,"automobile, a vehicle steered by a driver"
รถ,noun,car,"automobile, a vehicle steered by a driver"
อาชีพ,noun,career,one's calling in life; a person's occupation
การงาน,noun,career,one's calling in life; a person's occupation
แครอท,noun,carrot,Daucus carota ssp. sativus
แคร์รอต,noun,carrot,Daucus carota ssp. sativus
ถือ,verb,carry,to transport by lifting
ขน,verb,carry,to transport by lifting
พกพา,verb,carry,to transport by lifting
แมว,noun,cat,domestic species
วิฬาร์,noun,cat,domestic species
เซ็นต์,noun,cent,subunit of currency in US and elsewhere
กลาง,noun,center,point equidistant from all points on the perimeter of a circle
เก้าอี้,noun,chair,furniture
ตั่ง,noun,chair,furniture
การแปลง,noun,change,the process of becoming different
ถูก,adj,cheap,low and/or reduced in price
ตรวจ,verb,check,"to inspect, examine"
ตรวจสอบ,verb,check,"to inspect, examine"
เช็ค,verb,check,"to inspect, examine"
เนยแข็ง,noun,cheese,dairy product
ชีส,noun,cheese,dairy product
ไก่,noun,chicken,bird
ลูก,noun,child,son or daughter; someone's child
เด็ก,noun,child,son or daughter; someone's child
ศิศุ,noun,child,son or daughter; someone's child
ช็อกโกแลต,noun,chocolate,food made from ground roasted cocoa beans
เลือก,verb,choose,to pick
คัดเลือก,verb,choose,to pick
คัด,verb,choose,to pick
เฟ้น,verb,choose,to pick
เมือง,noun,city,large settlement
นคร,noun,city,large settlement
กรุง,noun,city,large settlement
เชียง,noun,city,large settlement
ประเภท,noun,class,"group, collection, category or set sharing characteristics or attributes"
พรรค์,noun,class,"group, collection, category or set sharing characteristics or attributes"
ชนิด,noun,class,"group, collection, category or set sharing characteristics or attributes"
ห้องเรียน,noun,classroom,room in a school
ล้าง,verb,clean,(transitive) to remove dirt from a place or object
เช็ด,verb,clean,(transitive) to remove dirt from a place or object
ปีน,verb,climb,"to ascend, to go up"
ขึ้น,verb,climb,"to ascend, to go up"
นาฬิกา,noun,clock,instrument to measure or keep track of time
โมง,noun,clock,instrument to measure or keep track of time
ปิด,verb,close,obstruct (an opening)
เสื้อผ้า,noun,clothes,apparel
คลับ,noun,club,association of members
สโมสร,noun,club,association of members
เสื้อนอก,noun,coat,outer garment covering the upper torso and arms
เสื้อโค้ท,noun,coat,outer garment covering the upper torso and arms
กาแฟ,noun,coffee,beverage
สี,noun,color,spectral composition of visible light
มา,verb,come,to move nearer
บริษัท,noun,company,"in legal context, a corporation"
ธุรกิจ,noun,company,"in legal context, a corporation"
กงสี,noun,company,"in legal context, a corporation"
เปรียบเทียบ,verb,compare,to assess the similarities between two things or between one thing and another
สำเร็จ,verb,complete,to finish
คอมพิวเตอร์,noun,computer,programmable electronic device
คณิตกรณ์,noun,computer,programmable electronic device
คอม,noun,computer,programmable electronic device
การสนทนา,noun,conversation,expression and exchange of individual ideas through talking with other people
ปรุงอาหาร,verb,cook,to prepare food for eating
ประกอบอาหาร,verb,cook,to prepare food for eating
หุงหาอาหาร,verb,cook,to prepare food for eating
ทำอาหาร,verb,cook,to prepare food for eating
เย็น,adj,cool,having a slightly low temperature
แก้ไข,verb,correct,to make something become right that was previously wrong
ราคา,verb,cost,"to incur a charge, a price"
ประเทศ,noun,country,region of land
เมือง,noun,country,region of land
วัว,noun,cow,female domesticated ox or other bovine
โค,noun,cow,female domesticated ox or other bovine
ครีม,noun,cream,oily part of milk
สร้างสรรค์,verb,create,to put into existence
สร้าง,verb,create,to put into existence
วัฒนธรรม,noun,culture,"arts, customs and habits"
ถ้วย,noun,cup,drinking vessel
ตัด,verb,cut,to perform an incision
พ่อ,noun,dad,informal: a father
เต้นรำ,verb,dance,move rhythmically to music
รำ,verb,dance,move rhythmically to music
เต้น,verb,dance,move rhythmically to music
นักเต้น,noun,dancer,person who dances
หางเครื่อง,noun,dancer,person who dances
อันตราย,adj,dangerous,full of danger
มืด,adj,dark,having an absolute or relative lack of light
วันที่,noun,date,"that which specifies the time of writing, inscription etc."
อินทผลัม,noun,date,fruit of the date palm
ลูกสาว,noun,daughter,female offspring
กลางวัน,noun,day,period between sunrise and sunset
ตัดสินใจ,verb,decide,to resolve or settle
ตัดสิน,verb,decide,to resolve or settle
อร่อย,adj,delicious,pleasing to taste
โอชา,adj,delicious,pleasing to taste
พรรณนา,verb,describe,to represent in words
การพรรณนา,noun,description,account in words
ออกแบบ,verb,design,to plan an artwork etc.
โต๊ะ,noun,desk,table for writing and reading
โต๊ะทำงาน,noun,desk,table for writing and reading
รายละเอียด,noun,detail,part small enough to escape casual notice
การสนทนา,noun,dialogue,conversation or other discourse between individuals
บทพูด,noun,dialogue,conversation or other discourse between individuals
พจนานุกรม,noun,dictionary,publication that explains the meanings of an ordered list of words
ดิกชันนารี,noun,dictionary,publication that explains the meanings of an ordered list of words
ดิก,noun,dictionary,publication that explains the meanings of an ordered list of words
ปทานุกรม,noun,dictionary,publication that explains the meanings of an ordered list of words
ตาย,verb,die,to stop living
เสียชีวิต,verb,die,to stop living
ความต่าง,noun,difference,quality of being different
อื่น,adj,different,not the same
ต่าง,adj,different,not the same
ยาก,adj,difficult,"hard, not easy"
ลำบาก,adj,difficult,"hard, not easy"
สกปรก,adj,dirty,covered with or containing dirt
เลอะ,adj,dirty,covered with or containing dirt
เปื้อน,adj,dirty,covered with or containing dirt
สนทนา,verb,discuss,to converse or debate concerning a particular topic
อภิปราย,verb,discuss,to converse or debate concerning a particular topic
ถก,verb,discuss,to converse or debate concerning a particular topic
จาน,noun,dish,vessel for holding/serving food
ไหม,verb,do,in questions
ดอกเตอร์,noun,doctor,person who has attained a doctorate
ดุษฎีบัณฑิต,noun,doctor,person who has attained a doctorate
หมา,noun,dog,animal
สุนัข,noun,dog,animal
ดอลลาร์,noun,dollar,designation for specific currency
ดอล,noun,dollar,designation for specific currency
ประตู,noun,door,"portal of entry into a building, room or vehicle"
ลง,adv,down,"from a high to a low position, downwards"
วาด,verb,draw,to produce a picture
ดื่ม,verb,drink,consume liquid through the mouth
ขับ,verb,drive,to operate (a wheeled motorized vehicle)
ขับรถ,verb,drive,to operate (a wheeled motorized vehicle)
คนขับ,noun,driver,"one who drives something, e.g. cattle"
ผู้ขับ,noun,driver,"one who drives something, e.g. cattle"
หู,noun,ear,organ of hearing
แต่วัน,adv,early,at a time before expected
ง่าย,adj,easy,requiring little skill or effort
กิน,verb,eat,"to ingest — see also consume, ingest"
รับประทาน,verb,eat,"to ingest — see also consume, ingest"
ทาน,verb,eat,"to ingest — see also consume, ingest"
ฉัน,verb,eat,"to ingest — see also consume, ingest"
แดก,verb,eat,"to ingest — see also consume, ingest"
เสวย,verb,eat,"to ingest — see also consume, ingest"
บริโภค,verb,eat,"to ingest — see also consume, ingest"
ไข่,noun,egg,"approximately spherical or ellipsoidal body produced by birds, insects, reptiles, and other animals, housing the embryo within a membrane or shell during its development"
ช้าง,noun,elephant,mammal
คชสาร,noun,elephant,mammal
เพลิดเพลิน,verb,enjoy,to receive pleasure or satisfaction from something
พอ,adv,enough,sufficiently
ยูโร,noun,euro,currency unit of the European Monetary Union
เย็น,noun,evening,time of day between dusk and night
ค่ำ,noun,evening,time of day between dusk and night
เหตุการณ์,noun,event,occurrence
ตัวอย่าง,noun,example,something representative of a group
ฝึก,verb,exercise,exert for the sake of training
หัด,verb,exercise,exert for the sake of training
ฝึกหัด,verb,exercise,exert for the sake of training
แพง,adj,expensive,having a high price or cost
อธิบาย,verb,explain,to make intelligible
ชี้แจง,verb,explain,to make intelligible
แจง,verb,explain,to make intelligible
นิยาม,verb,explain,to make intelligible
พิเศษ,adj,extra,"beyond what is due, usual"
เพิ่ม,adj,extra,"beyond what is due, usual"
ตา,noun,eye,organ
หน้า,noun,face,anatomy: front part of head
มีชื่อเสียง,adj,famous,well known
โด่งดัง,adj,famous,well known
กระหึ่ม,adj,famous,well known
ฟาร์ม,noun,farm,place where agricultural activities take place
ทุ่งนา,noun,farm,place where agricultural activities take place
ไร่นา,noun,farm,place where agricultural activities take place
กสิกร,noun,farmer,person who works the land and/or who keeps livestock
