word,part_of_speech,english_word,sense
cuma,noun,Friday,day of the week
pazartesi,noun,Monday,day of the week
cumartesi,noun,Saturday,day of the week
pazar,noun,Sunday,day of the week
perşembe,noun,Thursday,day of the week
cuma akşamı,noun,Thursday,day of the week
salı,noun,Tuesday,day of the week
çarşamba,noun,Wednesday,day of the week
yaklaşık,adv,about,"nearly, approximately"
aksiyon,noun,action,something done so as to accomplish a purpose
amel,noun,action,something done so as to accomplish a purpose
eylem,noun,action,something done so as to accomplish a purpose
fiil,noun,action,something done so as to accomplish a purpose
münasebet,noun,action,slang: intercourse
aktivite,noun,activity,state or quality of being active
aktivite,noun,activity,something done for pleasure or entertainment
oyuncu,noun,actor,person who performs in a theatrical play or film — see also actress
aktör,noun,actor,person who performs in a theatrical play or film — see also actress
aktris,noun,actor,person who performs in a theatrical play or film — see also actress
aktör,noun,actor,one who acts; a doer
aktris,noun,actress,female actor — see also actor
eklemek,verb,add,to append (e.g. a statement); to say further information; to add on
hitabe,noun,address,polite romantic advance
konuşma,noun,address,polite romantic advance
söylev,noun,address,polite romantic advance
tarz,noun,address,manner of speaking to another
sözel başvuru,noun,address,act of addressing oneself to a person or group
adres,noun,address,description of the location of a property; direction for correspondence
unvan,noun,address,description of the location of a property; direction for correspondence
beceri,noun,address,"preparedness for a task, skill — see also skill"
hüner,noun,address,"preparedness for a task, skill — see also skill"
yetişkin,noun,adult,fully grown human
tavsiye öneri öğüt,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
korkak,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
öğleden sonra,noun,afternoon,part of the day between noon and evening
ikindi,noun,afternoon,part of the day between noon and evening
yeniden,adv,again,another time
tekrar,adv,again,another time
gene,adv,again,another time
yine,adv,again,another time
bir daha,adv,again,another time
yaş,noun,age,amount of time since the birth of a being or the beginning of a thing
yaşlılık,noun,age,state of being old; latter part of life
çağ,noun,age,one of the stages of life
yaş,noun,age,one of the stages of life
olgunluk,noun,age,time of life at which some particular power or capacity is understood to become vested
yetişkin,noun,age,time of life at which one attains full personal rights and capacities
ergin,noun,age,time of life at which one attains full personal rights and capacities
çağ,noun,age,particular period of time in history
çağ,noun,age,great period in the history of the Earth
nesil,noun,age,generation — see also generation
kuşak,noun,age,generation — see also generation
jenerasyon,noun,age,generation — see also generation
devir,noun,age,a long time
çağ,noun,age,a long time
ömür,noun,age,lifespan
yaşam,noun,age,lifespan
katılmak,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
kabul etmek,verb,agree,"to yield assent, to accede"
onaylamak,verb,agree,"to yield assent, to accede"
anlaşmak,verb,agree,to come to terms or to a common resolve
hava,noun,air,historical: one of the basic elements
tenek,noun,air,historical: one of the basic elements
hava,noun,air,mixture of gases making up the atmosphere of the Earth
arya,noun,air,"music: a song, an aria"
havalimanı,noun,airport,place designated for airplanes
havaalanı,noun,airport,place designated for airplanes
ayrıca,adv,also,in addition; besides; as well; further; too
da,adv,also,in addition; besides; as well; further; too
de,adv,also,in addition; besides; as well; further; too
hem,adv,also,in addition; besides; as well; further; too
her zaman,adv,always,at all times
daima,adv,always,at all times
hep,adv,always,at all times
şaşırtıcı,adj,amazing,causing wonder and amazement
öfkeli,adj,angry,displaying anger
kızgın,adj,angry,displaying anger
sinirli,adj,angry,displaying anger
asabi,adj,angry,displaying anger
hayvan,noun,animal,organism
döngül,noun,animal,organism
töm,noun,animal,organism
hayvan,noun,animal,organism other than human
hayvan,noun,animal,person who behaves wildly
dingil,noun,animal,person who behaves wildly
yanıt,noun,answer,response
cevap,noun,answer,response
cevap vermek,verb,answer,to make a reply or response to
cevaplamak,verb,answer,to respond to a call
yanıtlamak,verb,answer,to respond to a call
bakmak,verb,answer,to respond to a call
açmak,verb,answer,to respond to a call
daire,noun,apartment,domicile occupying part of a building
apartman dairesi,noun,apartment,domicile occupying part of a building
elma,noun,apple,fruit of Malus domestica
tüffah,noun,apple,fruit of Malus domestica
alan,noun,area,maths: measure of extent of a surface
bölge,noun,area,particular geographic region
alan,noun,area,particular geographic region
silah,noun,arm,weapon
kol,noun,arm,upper appendage from shoulder to wrist
varmak,verb,arrive,to reach
varmak,verb,arrive,to get to a certain place
sanat,noun,art,human effort
zanaat,noun,art,human effort
elişi,noun,art,human effort
dörüt,noun,art,human effort
epik,noun,art,human effort
sanat,noun,art,conscious production or arrangement
dörüt,noun,art,conscious production or arrangement
sanat,noun,art,skillful creative activity
dörüt,noun,art,skillful creative activity
sanatsallık,noun,art,aesthetic value
eser,noun,art,artwork
yapıt,noun,art,artwork
sanat eseri,noun,art,artwork
sanat,noun,art,skill
makale,noun,article,"story, report, or opinion piece"
betke,noun,article,"story, report, or opinion piece"
harfitarif,noun,article,part of speech that specifies a noun
tanımlık,noun,article,part of speech that specifies a noun
madde,noun,article,section of a legal document
sanatçı,noun,artist,person who creates art
dörütçü,noun,artist,person who creates art
dörütmen,noun,artist,person who creates art
ressam,noun,artist,person who creates art
sanatçı,noun,artist,person who creates art as an occupation
dörütçü,noun,artist,person who creates art as an occupation
dörütmen,noun,artist,person who creates art as an occupation
sormak,verb,ask,request an answer
dilemek,verb,ask,make a request
hala,noun,aunt,a parent's sister or sister-in-law
bibi,noun,aunt,a parent's sister or sister-in-law
eme,noun,aunt,a parent's sister or sister-in-law
teyze,noun,aunt,a parent's sister or sister-in-law
yenge,noun,aunt,a parent's sister or sister-in-law
teyze,noun,aunt,"affectionate term for an older woman, by means of fictive kin"
korkunç,adj,awesome,causing awe or terror
müthiş,adj,awesome,causing awe or terror
harika,adj,awesome,"excellent, exciting"
huşu veren,adj,awesome,"excellent, exciting"
süper,adj,awesome,"excellent, exciting"
bebek,noun,baby,very young human being
yavru,noun,baby,young animal
bebek,noun,baby,form of address to a man or a woman considered to be attractive
geri,adv,back,to or in a previous condition or place
sırt,noun,back,the rear of body
arka,noun,back,that which is farthest away from the front
kötü,adj,bad,unfavorable; negative
yaman,adj,bad,unfavorable; negative
fena,adj,bad,unfavorable; negative
kötü,adj,bad,"evil, wicked"
çanta,noun,bag,flexible container
poşet,noun,bag,flexible container
paket,noun,bag,flexible container
torba,noun,bag,flexible container
poşet,noun,bag,paper (or plastic) container given or sold to shoppers
torba,noun,bag,paper (or plastic) container given or sold to shoppers
balo,noun,ball,formal dance
top,noun,ball,solid or hollow sphere
top,noun,ball,"object, generally spherical, used for playing games"
yumak,noun,ball,"quantity of string, thread, etc., wound into a spherical shape"
gülle,noun,ball,ballistics: a solid nonexplosive missile
mermi,noun,ball,ballistics: a solid nonexplosive missile
küre,noun,ball,mathematics: set of points in a metric space lying within a given distance of a given point
taşak,noun,ball,testicle — see also testicle
haya,noun,ball,testicle — see also testicle
yumurta,noun,ball,testicle — see also testicle
muz,noun,banana,fruit
banka,noun,bank,institution
banka,noun,bank,branch office
bar,noun,bar,unit of pressure
bar,noun,bar,business licensed to sell intoxicating beverages
meyhane,noun,bar,business licensed to sell intoxicating beverages
beyzbol,noun,baseball,ball game
beyzbol topu,noun,baseball,ball used in baseball-game
basketbol,noun,basketball,the sport
basket,noun,basketball,the sport
basketbol topu,noun,basketball,the ball used in the sport
küvet,noun,bath,tub
banyo,noun,bath,building or area where bathing occurs
yunak,noun,bath,building or area where bathing occurs
hamam,noun,bath,building or area where bathing occurs
banyo,noun,bath,act of bathing
yunu,noun,bath,act of bathing
banyo,noun,bathroom,a room with a bathtub
kumsal,noun,beach,sandy shore
kumluk,noun,beach,sandy shore
kumbaşı,noun,beach,sandy shore
kumla,noun,beach,sandy shore
plaj,noun,beach,sandy shore
güzel,adj,beautiful,attractive
olmak,verb,become,to begin to be
yakışmak,verb,become,"to look attractive on, be suitable for"
yatak,noun,bed,piece of furniture
döşek,noun,bed,bed as general place or concept
yatak,noun,bed,prepared spot to spend the night in
döşek,noun,bed,prepared spot to spend the night in
yatak odası,noun,bedroom,room in a house where a bed is kept for sleeping
bira,noun,beer,alcoholic drink made of malt
başlamak,verb,begin,"to start, to initiate (transitive)"
başlangıç,noun,beginning,act of doing that which begins anything
iptida,noun,beginning,act of doing that which begins anything
başlanan,noun,beginning,that which is begun
başlangıç,noun,beginning,that which begins or originates something
başlangıç,noun,beginning,initial portion of some extended thing
inanmak,verb,believe,to accept that someone is telling the truth (object: person)
inanmak,verb,believe,to accept as true
inanmak,verb,believe,to consider likely
inanmak,verb,believe,to have religious faith; to believe in a greater truth
inanmak,verb,believe,to ascribe existence to
inanmak,verb,believe,to believe that something is right or desirable
güvenmek,verb,believe,to have confidence in
inanmak,verb,believe,to have confidence in
daha iyi,adj,better,comparative of the adjectives good or well
bisiklet,noun,bicycle,vehicle
çalınga,noun,bicycle,vehicle
velespit,noun,bicycle,vehicle
derrace,noun,bicycle,vehicle
düçerha,noun,bicycle,vehicle
büyük,adj,big,of a great size — see also large
ulu,adj,big,of a great size — see also large
bisiklet,noun,bike,bicycle
derrace,noun,bike,bicycle
çalınga,noun,bike,bicycle
velespit,noun,bike,bicycle
layiha,noun,bill,draft of a law
kanun tasarısı,noun,bill,draft of a law
yasa tasarısı,noun,bill,draft of a law
kanun layihası,noun,bill,draft of a law
kanun teklifi,noun,bill,draft of a law
fatura,noun,bill,invoice
gaga,noun,bill,bird's beak
kuş,noun,bird,animal
doğum günü,noun,birthday,anniversary
doğum tarihi,noun,birthday,date of birth — see also date of birth
kara,adj,black,absorbing all light
siyah,adj,black,absorbing all light
karanlık,adj,black,without light
siyahi,adj,black,"relating to people with dark skin — see also dark-skinned
 50px
 A user suggests that this Translingual entry be cleaned up, giving the reason: “e.g. Dutch: neger (nl) m, negerin (nl) f and German: Schwarzer (de) m, Schwarze (de) f aren't translations of the adjective, but of the noun for which see below.”
 Please see the discussion on Requests for cleanup(+) for more information and remove this template after the problem has been dealt with."
kara,adj,black,bad; evil
katran,adj,black,"of coffee or tea, without milk or other whitener"
siyah,noun,black,colour/color
kara,noun,black,colour/color
siyah,noun,black,dark-skinned person — see also Negro
zenci,noun,black,dark-skinned person — see also Negro
ağ günlüğü,noun,blog,a personal or corporate website
blog,noun,blog,a personal or corporate website
altın sarısı,adj,blond,of a pale golden colour
sarışın,adj,blond,having blond hair
mavi,adj,blue,"blue-coloured — see also dark blue, light blue"
gökçe,adj,blue,"blue-coloured — see also dark blue, light blue"
efkarlı,adj,blue,depressed
hüzünlü,adj,blue,depressed
sıkıntılı,adj,blue,depressed
durgun,adj,blue,depressed
kırmızı noktalı,adj,blue,pornographic
demokrat,adj,blue,of or pertaining to US Democratic Party
mavi,noun,blue,colour
gök,noun,blue,colour
kök,noun,blue,colour
gökçe,noun,blue,colour
mavi,noun,blue,anything blue
mavili,noun,blue,anything blue
mavili,noun,blue,blue clothing
maviler,noun,blue,blue clothing
mavilik,noun,blue,"ocean, deep waters"
maviler,noun,blue,"ocean, deep waters"
ağartıcı,noun,blue,liquid added to a laundry wash to prevent yellowing of white clothes
çivit,noun,blue,liquid added to a laundry wash to prevent yellowing of white clothes
kayık,noun,boat,water craft
sandal,noun,boat,water craft
gemi,noun,boat,water craft
vücut,noun,body,physical structure of a human or animal
beden,noun,body,physical structure of a human or animal
gövde,noun,body,physical structure of a human or animal
beden,noun,body,fleshly or corporeal nature of a human
gövde,noun,body,largest or most important part of anything (e.g. car bodywork)
karoser,noun,body,largest or most important part of anything (e.g. car bodywork)
kuruluş,noun,body,"organisation, company or other authoritative group"
korpus,noun,body,collection of knowledge
cisim,noun,body,any physical object or material thing
kitap,noun,book,collection of sheets of paper bound together containing printed or written material
betik,noun,book,collection of sheets of paper bound together containing printed or written material
albüm,noun,book,"convenient collection of small paper items, such as stamps"
cilt,noun,book,"major division of a published work, larger than a chapter"
çizme,noun,boot,heavy shoe that covers part of the leg
sıkılan,adj,bored,suffering from boredom
sıkılmış,adj,bored,suffering from boredom
sıkıcı,adj,boring,causing boredom or tiredness
şişe,noun,bottle,container
şişe,noun,bottle,contents of such a container
şimşir,noun,box,shrub or tree of the genus Buxus — see also box tree
kutu sandık,noun,box,cuboid space; container
oğlan,noun,boy,young male
erkek arkadaş,noun,boyfriend,male partner in a romantic relationship
sevgili,noun,boyfriend,male partner in a romantic relationship
arkadaş,noun,boyfriend,male friend
ekmek,noun,bread,baked dough made from cereals
banak,noun,bread,baked dough made from cereals
ekmek,noun,bread,countable: any variety of bread
ekmek parası,noun,bread,slang: money
ara,noun,break,"rest or pause, usually from work"
seri,noun,break,snooker: number of points in one visit
kırılmak,verb,break,intransitive: to separate into (to end up in) two or more pieces
kırmak,verb,break,intransitive: to separate into (to end up in) two or more pieces
kırmak,verb,break,transitive: to separate into (to cause to end up in) two or more pieces
bozmak,verb,break,to divide (money) into smaller units
bozulmak,verb,break,intransitive: to stop functioning properly or altogether
bozmak,verb,break,transitive: to cause to stop functioning
kırmak,verb,break,to do better than a record
servis kırmak,verb,break,to win a game as receiver in tennis
kahvaltı,noun,breakfast,first meal of the day
getirmek,verb,bring,to transport toward somebody/somewhere
erkek kardeş,noun,brother,male sibling
kardeş,noun,brother,male sibling
birader,noun,brother,male sibling
ağabey,noun,brother,male sibling
abi,noun,brother,male sibling
aga,noun,brother,male sibling
kardeş,noun,brother,male having parents in common
birader,noun,brother,male having parents in common
kardeş,noun,brother,male fellow member of a religious community
kardeş,noun,brother,peer
birader,noun,brother,peer
kahverengi,adj,brown,having a brown colour
kahverengi,noun,brown,colour
kongur,noun,brown,colour
konur,noun,brown,colour
yapmak,verb,build,(transitive) to form by combining materials or parts
inşa etmek,verb,build,(transitive) to form by combining materials or parts
kurmak,verb,build,(transitive) to form by combining materials or parts
inşa,noun,building,act or process of building
inşaat,noun,building,act or process of building
bina,noun,building,closed structure with walls and a roof
yapı,noun,building,closed structure with walls and a roof
otobüs,noun,bus,vehicle
şirket,noun,business,commercial enterprise or establishment
işletme,noun,business,commercial enterprise or establishment
meşgul,adj,busy,doing a great deal
tereyağı,noun,butter,soft foodstuff made from milk
yağ,noun,butter,soft foodstuff made from milk
satın almak,verb,buy,to obtain something with money
sakmak,verb,buy,to obtain something with money
almak,verb,buy,to obtain something with money
yemek,verb,buy,to accept as true
kek,noun,cake,type of sweet dessert
