word,part_of_speech,english_word,sense
п'я́тниця,noun,Friday,day of the week
понеді́лок,noun,Monday,day of the week
субо́та,noun,Saturday,day of the week
неді́ля,noun,Sunday,day of the week
четве́р,noun,Thursday,day of the week
вівто́рок,noun,Tuesday,day of the week
середа́,noun,Wednesday,day of the week
навколо,adv,about,on all sides
прибли́зно,adv,about,"nearly, approximately"
бли́зько,adv,about,"nearly, approximately"
ко́ло,adv,about,"nearly, approximately"
вище,adv,above,in a higher place
ді́я,noun,action,something done so as to accomplish a purpose
ді́яння,noun,action,something done so as to accomplish a purpose
дія́льність,noun,activity,state or quality of being active
акти́вність,noun,activity,state or quality of being active
акти́вність,noun,activity,something done as an action or a movement
дія́льність,noun,activity,something done as an action or a movement
дія́льність,noun,activity,something done for pleasure or entertainment
акто́р,noun,actor,person who performs in a theatrical play or film — see also actress
акто́рка,noun,actor,person who performs in a theatrical play or film — see also actress
актри́са,noun,actor,person who performs in a theatrical play or film — see also actress
лицеді́й,noun,actor,person who performs in a theatrical play or film — see also actress
лицеді́йка,noun,actor,person who performs in a theatrical play or film — see also actress
викона́вець,noun,actor,one who acts; a doer
викона́виця,noun,actor,one who acts; a doer
дія́ч,noun,actor,one who acts; a doer
дія́чка,noun,actor,one who acts; a doer
акто́рка,noun,actress,female actor — see also actor
актри́са,noun,actress,female actor — see also actor
лицеді́йка,noun,actress,female actor — see also actor
додава́ти,verb,add,to append (e.g. a statement); to say further information; to add on
дода́ти,verb,add,to append (e.g. a statement); to say further information; to add on
додава́ти,verb,add,to make an addition; to augment; to increase; to add on
дода́ти,verb,add,to make an addition; to augment; to increase; to add on
додава́ти,verb,add,"to perform the arithmetical operation of addition, to add up"
дода́ти,verb,add,"to perform the arithmetical operation of addition, to add up"
зве́рнення,noun,address,act of addressing oneself to a person or group
адре́са,noun,address,description of the location of a property; direction for correspondence
доро́слий,noun,adult,fully grown human
доро́сла,noun,adult,fully grown human
ра́да,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
пора́да,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
наляканий,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
ляка́тися,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
пополу́день,noun,afternoon,part of the day between noon and evening
пополу́дні,noun,afternoon,part of the day between noon and evening
зно́ву,adv,again,another time
знов,adv,again,another time
ще раз,adv,again,another time
вік,noun,age,amount of time since the birth of a being or the beginning of a thing
ста́рість,noun,age,state of being old; latter part of life
вік,noun,age,one of the stages of life
епо́ха,noun,age,particular period of time in history
е́ра,noun,age,particular period of time in history
час,noun,age,particular period of time in history
вік,noun,age,particular period of time in history
вік,noun,age,lifespan
пого́джуватися,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
пого́дитися,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
зго́джуватися,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
зго́дитися,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
пові́тря,noun,air,historical: one of the basic elements
пові́тря,noun,air,mixture of gases making up the atmosphere of the Earth
ефі́р,noun,air,television or radio: media broadcasts
ете́р,noun,air,television or radio: media broadcasts
аеропо́рт,noun,airport,place designated for airplanes
лето́вище,noun,airport,place designated for airplanes
так са́мо,adv,also,in addition; besides; as well; further; too
теж,adv,also,in addition; besides; as well; further; too
тако́ж,adv,also,in addition; besides; as well; further; too
за́вжди,adv,always,at all times
завжди́,adv,always,at all times
за́всіди,adv,always,at all times
за́вше,adv,always,at all times
повсякча́с,adv,always,at all times
завжди́,adv,always,"constantly during a certain period, or regularly at stated intervals"
за́вжди,adv,always,"constantly during a certain period, or regularly at stated intervals"
за́вше,adv,always,"constantly during a certain period, or regularly at stated intervals"
весь ча́с,adv,always,"constantly during a certain period, or regularly at stated intervals"
уве́сь час,adv,always,"constantly during a certain period, or regularly at stated intervals"
ди́вний,adj,amazing,causing wonder and amazement
чудо́вий,adj,amazing,causing wonder and amazement
дивови́жний,adj,amazing,causing wonder and amazement
серди́тий,adj,angry,displaying anger
злий,adj,angry,displaying anger
розгні́ваний,adj,angry,displaying anger
розсе́рджений,adj,angry,displaying anger
твари́на,noun,animal,organism
звір,noun,animal,organism
твари́на,noun,animal,organism other than human
звір,noun,animal,organism other than human
