word,part_of_speech,english_word,sense
thứ sáu,noun,Friday,day of the week
thứ hai,noun,Monday,day of the week
thứ Hai,noun,Monday,day of the week
thứ bảy,noun,Saturday,day of the week
Chủ nhật,noun,Sunday,day of the week
Chúa nhật,noun,Sunday,day of the week
thứ năm,noun,Thursday,day of the week
thứ ba,noun,Tuesday,day of the week
thứ tư,noun,Wednesday,day of the week
khoảng,adv,about,"nearly, approximately"
chừng,adv,about,"nearly, approximately"
cỡ,adv,about,"nearly, approximately"
độ,adv,about,"nearly, approximately"
hành động,noun,action,something done so as to accomplish a purpose
động tác,noun,action,way of motion or functioning
hoạt động,noun,activity,state or quality of being active
diễn viên,noun,actor,person who performs in a theatrical play or film — see also actress
nữ diễn viên,noun,actor,person who performs in a theatrical play or film — see also actress
nữ diễn viên,noun,actress,female actor — see also actor
nói,verb,add,to append (e.g. a statement); to say further information; to add on
thêm,verb,add,to append (e.g. a statement); to say further information; to add on
nói thêm,verb,add,to append (e.g. a statement); to say further information; to add on
thêm thắt,verb,add,to append (e.g. a statement); to say further information; to add on
thêm,verb,add,to make an addition; to augment; to increase; to add on
cộng,verb,add,"to perform the arithmetical operation of addition, to add up"
địa chỉ,noun,address,description of the location of a property; direction for correspondence
người lớn,noun,adult,fully grown human
lời khuyên,noun,advice,"opinion recommended or offered, as worthy to be followed; counsel"
đáng sợ,adj,afraid,impressed with fear or apprehension; in fear; apprehensive
buổi chiều,noun,afternoon,part of the day between noon and evening
chiều,noun,afternoon,part of the day between noon and evening
lại,adv,again,another time
tuổi,noun,age,amount of time since the birth of a being or the beginning of a thing
tuổi,noun,age,state of being old; latter part of life
tuổi,noun,age,one of the stages of life
thọ mệnh,noun,age,one of the stages of life
tuổi,noun,age,time of life at which some particular power or capacity is understood to become vested
độ tuổi,noun,age,time of life at which some particular power or capacity is understood to become vested
tuổi,noun,age,time of life at which one attains full personal rights and capacities
độ tuổi,noun,age,time of life at which one attains full personal rights and capacities
thời kì,noun,age,particular period of time in history
thời kỳ,noun,age,particular period of time in history
thời đại,noun,age,particular period of time in history
thời đại,noun,age,great period in the history of the Earth
thế hệ,noun,age,generation — see also generation
tuổi thọ,noun,age,lifespan
đồng ý,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
ăn khớp,verb,agree,"to resemble, coincide, correspond"
khí,noun,air,historical: one of the basic elements
không khí,noun,air,mixture of gases making up the atmosphere of the Earth
sân bay,noun,airport,place designated for airplanes
phi trường,noun,airport,place designated for airplanes
cảng hàng không,noun,airport,place designated for airplanes
phi cảng,noun,airport,place designated for airplanes
cũng,adv,also,in addition; besides; as well; further; too
luôn luôn,adv,always,at all times
luôn,adv,always,at all times
mãi mãi,adv,always,at all times
tuyệt vời,adj,amazing,causing wonder and amazement
giận,adj,angry,displaying anger
tức,adj,angry,displaying anger
thú vật,noun,animal,organism
động vật,noun,animal,organism
thú vật,noun,animal,organism other than human
động vật,noun,animal,organism other than human
trả lời,noun,answer,response
câu trả lời,noun,answer,response
đáp án,noun,answer,solution
tin trả lời,noun,answer,reply to email
trả lời,verb,answer,to make a reply or response to
đáp lời,verb,answer,to respond to a call
trả lời,verb,answer,to respond to a call
căn hộ,noun,apartment,domicile occupying part of a building
táo tây,noun,apple,fruit of Malus domestica
bôm,noun,apple,fruit of Malus domestica
táo,noun,apple,fruit of Malus domestica
bom,noun,apple,fruit of Malus domestica
miền,noun,area,particular geographic region
vùng,noun,area,particular geographic region
vũ khí,noun,arm,weapon
cánh tay,noun,arm,upper appendage from shoulder to wrist
tay,noun,arm,upper appendage from shoulder to wrist
đến,verb,arrive,to reach
đến,verb,arrive,to get to a certain place
nghệ thuật,noun,art,human effort
nghệ thuật,noun,art,skillful creative activity
bài viết,noun,article,"story, report, or opinion piece"
mạo từ,noun,article,part of speech that specifies a noun
điều,noun,article,section of a legal document
họa sĩ,noun,artist,person who creates art
hỏi,verb,ask,request an answer
cầu xin,verb,ask,make a request
cô,noun,aunt,a parent's sister or sister-in-law
dì,noun,aunt,a parent's sister or sister-in-law
dễ sợ,adj,awesome,causing awe or terror
đáng sợ,adj,awesome,causing awe or terror
đáng kinh sợ,adj,awesome,causing awe or terror
tuyệt vời,adj,awesome,"excellent, exciting"
tuyệt cú mèo,adj,awesome,"excellent, exciting"
bé,noun,baby,very young human being
em bé,noun,baby,very young human being
lùi lại,adv,back,to or in a previous condition or place
lại,adv,back,to or in a previous condition or place
lưng,noun,back,the rear of body
xấu,adj,bad,unfavorable; negative
dở,adj,bad,unfavorable; negative
bao,noun,bag,flexible container
túi,noun,bag,flexible container
vũ hội,noun,ball,formal dance
hội khiêu vũ,noun,ball,formal dance
hội nhảy,noun,ball,formal dance
hình cầu,noun,ball,solid or hollow sphere
bóng,noun,ball,"object, generally spherical, used for playing games"
banh,noun,ball,"object, generally spherical, used for playing games"
mặt cầu,noun,ball,mathematics: set of points in a metric space lying within a given distance of a given point
dái,noun,ball,testicle — see also testicle
trứng dái,noun,ball,testicle — see also testicle
(trái) chuối,noun,banana,fruit
(quả) chuối,noun,banana,fruit
(cây) chuối,noun,banana,plant
bờ,noun,bank,edge of river or lake
ngân hàng,noun,bank,institution
nhà băng,noun,bank,institution
quán rượu,noun,bar,business licensed to sell intoxicating beverages
ba,noun,bar,business licensed to sell intoxicating beverages
bóng chày,noun,baseball,ball game
bóng rổ,noun,basketball,the sport
bồn tắm,noun,bath,tub
phòng tắm,noun,bath,building or area where bathing occurs
buồng tắm,noun,bath,building or area where bathing occurs
tắm,noun,bath,act of bathing
tắm rửa,noun,bath,act of bathing
tắm gội,noun,bath,act of bathing
rửa ráy,noun,bath,act of bathing
buồng tắm,noun,bathroom,a room with a bathtub
phòng tắm,noun,bathroom,a room with a bathtub
bãi biển,noun,beach,sandy shore
đẹp,adj,beautiful,attractive
xinh đẹp,adj,beautiful,attractive
trở nên,verb,become,to begin to be
trở thành,verb,become,to begin to be
giường,noun,bed,piece of furniture
chỗ ngủ,noun,bed,prepared spot to spend the night in
lớp,noun,bed,flat surface or layer on which something else is to be placed
nền,noun,bed,flat surface or layer on which something else is to be placed
đáy,noun,bed,the bottom of a lake or other body of water
lòng,noun,bed,the bottom of a lake or other body of water
luống,noun,bed,garden plot
lớp,noun,bed,"deposit of ore, coal etc."
phòng ngủ,noun,bedroom,room in a house where a bed is kept for sleeping
buồng ngủ,noun,bedroom,room in a house where a bed is kept for sleeping
bia,noun,beer,alcoholic drink made of malt
rượu,noun,beer,drink made from roots
rượu bia,noun,beer,drink made from roots
li bia,noun,beer,glass of beer
cốc bia,noun,beer,glass of beer
loại bia,noun,beer,variety of these beverages
bắt đầu,verb,begin,"to start, to initiate (transitive)"
phần đầu,noun,beginning,act of doing that which begins anything
bắt đầu,noun,beginning,act of doing that which begins anything
đầu,noun,beginning,initial portion of some extended thing
tin,verb,believe,to accept that someone is telling the truth (object: person)
tin tưởng,verb,believe,to accept that someone is telling the truth (object: person)
tốt hơn,adj,better,comparative of the adjectives good or well
khá hơn,adj,better,comparative of the adjectives good or well
khoẻ hơn,adj,better,comparative of the adjectives good or well
xe đạp,noun,bicycle,vehicle
lớn,adj,big,of a great size — see also large
to,adj,big,of a great size — see also large
bự,adj,big,of a great size — see also large
xe đạp,noun,bike,bicycle
xe máy,noun,bike,motorcycle
xe gắn máy,noun,bike,motorcycle
dự luật,noun,bill,draft of a law
mỏ,noun,bill,bird's beak
chim,noun,bird,animal
sinh nhật,noun,birthday,anniversary
ngày sinh,noun,birthday,date of birth — see also date of birth
ngày sinh tháng đẻ,noun,birthday,date of birth — see also date of birth
ngày sanh,noun,birthday,date of birth — see also date of birth
đen,adj,black,absorbing all light
đen thui,adj,black,absorbing all light
tối,adj,black,without light
tối tăm,adj,black,without light
(da) đen,adj,black,"relating to people with dark skin — see also dark-skinned
 50px
 A user suggests that this Translingual entry be cleaned up, giving the reason: “e.g. Dutch: neger (nl) m, negerin (nl) f and German: Schwarzer (de) m, Schwarze (de) f aren't translations of the adjective, but of the noun for which see below.”
 Please see the discussion on Requests for cleanup(+) for more information and remove this template after the problem has been dealt with."
đen,noun,black,colour/color
