word,part_of_speech,english_word,sense
星期五,noun,Friday,day of the week
禮拜五 /礼拜五,noun,Friday,day of the week
周五,noun,Friday,day of the week
星期一,noun,Monday,day of the week
禮拜一 /礼拜一,noun,Monday,day of the week
周一,noun,Monday,day of the week
星期六,noun,Saturday,day of the week
禮拜六 /礼拜六,noun,Saturday,day of the week
週六 /周六,noun,Saturday,day of the week
星期日,noun,Sunday,day of the week
禮拜日 /礼拜日,noun,Sunday,day of the week
星期四,noun,Thursday,day of the week
禮拜四 /礼拜四,noun,Thursday,day of the week
周四,noun,Thursday,day of the week
星期二,noun,Tuesday,day of the week
禮拜二 /礼拜二,noun,Tuesday,day of the week
周二,noun,Tuesday,day of the week
星期三,noun,Wednesday,day of the week
禮拜三 /礼拜三,noun,Wednesday,day of the week
周三,noun,Wednesday,day of the week
演員 /演员,noun,actor,person who performs in a theatrical play or film — see also actress
加,verb,add,to append (e.g. a statement); to say further information; to add on
大人,noun,adult,fully grown human
下晝 /下昼,noun,afternoon,part of the day between noon and evening
同意,verb,agree,harmonize in opinion; be in unison or concord; be united; concur
空氣 /空气,noun,air,historical: one of the basic elements
機場 /机场,noun,airport,place designated for airplanes
飛機場 /飞机场,noun,airport,place designated for airplanes
航空站,noun,airport,place designated for airplanes
都,adv,also,in addition; besides; as well; further; too
亦,adv,also,in addition; besides; as well; further; too
也,adv,also,in addition; besides; as well; further; too
成日,adv,always,at all times
嬲,adj,angry,displaying anger
動物 /动物,noun,animal,organism
公寓,noun,apartment,domicile occupying part of a building
柏文,noun,apartment,domicile occupying part of a building
雅柏文,noun,apartment,domicile occupying part of a building
蘋果 /苹果,noun,apple,fruit of Malus domestica
手臂,noun,arm,upper appendage from shoulder to wrist
到,verb,arrive,to reach
藝術 /艺术,noun,art,human effort
文章,noun,article,"story, report, or opinion piece"
問 /问,verb,ask,request an answer
姑媽 /姑妈,noun,aunt,a parent's sister or sister-in-law
姑姐,noun,aunt,a parent's sister or sister-in-law
伯娘,noun,aunt,a parent's sister or sister-in-law
阿嬸 /阿婶,noun,aunt,a parent's sister or sister-in-law
姨媽 /姨妈,noun,aunt,a parent's sister or sister-in-law
阿姨,noun,aunt,a parent's sister or sister-in-law
舅母,noun,aunt,a parent's sister or sister-in-law
BB,noun,baby,very young human being
蘇蝦仔 /苏虾仔,noun,baby,very young human being
𤘅孲仔 /𤘅𰌦仔,noun,baby,very young human being
蝦仔 /虾仔,noun,baby,very young human being
BB仔,noun,baby,very young human being
壞 /坏,adj,bad,unfavorable; negative
袋,noun,bag,flexible container
包,noun,bag,flexible container
舞會 /舞会,noun,ball,formal dance
香蕉,noun,banana,fruit
蕉,noun,banana,fruit
銀行 /银行,noun,bank,institution
籃球 /篮球,noun,basketball,the sport
沙灘 /沙滩,noun,beach,sandy shore
灘 /滩,noun,beach,sandy shore
靚 /靓,adj,beautiful,attractive
好睇,adj,beautiful,attractive
漂亮,adj,beautiful,attractive
美麗 /美丽,adj,beautiful,attractive
床,noun,bed,piece of furniture
床鋪 /床铺,noun,bed,piece of furniture
臥榻 /卧榻,noun,bed,piece of furniture
臥室 /卧室,noun,bedroom,room in a house where a bed is kept for sleeping
啤酒,noun,beer,alcoholic drink made of malt
開始 /开始,verb,begin,"to start, to initiate (transitive)"
單車 /单车,noun,bicycle,vehicle
腳車 /脚车,noun,bicycle,vehicle
自行車 /自行车,noun,bicycle,vehicle
腳踏車 /脚踏车,noun,bicycle,vehicle
大,adj,big,of a great size — see also large
雀仔,noun,bird,animal
雀,noun,bird,animal
鳥 /鸟,noun,bird,animal
生日,noun,birthday,anniversary
生辰,noun,birthday,anniversary
牛一,noun,birthday,anniversary
黑色,noun,black,colour/color
網誌 /网志,noun,blog,a personal or corporate website
藍色 /蓝色,noun,blue,colour
船,noun,boat,water craft
身體 /身体,noun,body,physical structure of a human or animal
書 /书,noun,book,collection of sheets of paper bound together containing printed or written material
靴,noun,boot,heavy shoe that covers part of the leg
悶 /闷,adj,bored,suffering from boredom
樽,noun,bottle,container
瓶,noun,bottle,container
盒,noun,box,cuboid space; container
盒仔,noun,box,cuboid space; container
箱,noun,box,cuboid space; container
男仔,noun,boy,young male
男朋友,noun,boyfriend,male partner in a romantic relationship
條仔 /条仔,noun,boyfriend,male partner in a romantic relationship
麵包 /面包,noun,bread,baked dough made from cereals
包,noun,bread,baked dough made from cereals
早飯 /早饭,noun,breakfast,first meal of the day
早餐,noun,breakfast,first meal of the day
哥哥,noun,brother,male sibling
弟弟,noun,brother,male sibling
兄弟,noun,brother,male sibling
大佬,noun,brother,male sibling
細佬 /细佬,noun,brother,male sibling
阿哥,noun,brother,male sibling
啡色,noun,brown,colour
建設 /建设,verb,build,(transitive) to form by combining materials or parts
建造,verb,build,(transitive) to form by combining materials or parts
巴士,noun,bus,vehicle
公共汽車 /公共汽车,noun,bus,vehicle
公交車 /公交车,noun,bus,vehicle
忙,adj,busy,crowded with business or activities
唔得閒 /唔得闲,adj,busy,crowded with business or activities
牛油,noun,butter,soft foodstuff made from milk
買 /买,verb,buy,to obtain something with money
蛋糕,noun,cake,type of sweet dessert
相機 /相机,noun,camera,still camera
影相機 /影相机,noun,camera,still camera
識得 /识得,verb,can,to be able to; to know how to
車 /车,noun,car,"automobile, a vehicle steered by a driver"
汽車 /汽车,noun,car,"automobile, a vehicle steered by a driver"
自動車 /自动车,noun,car,"automobile, a vehicle steered by a driver"
紅蘿蔔 /红萝卜,noun,carrot,Daucus carota ssp. sativus
胡蘿蔔 /胡萝卜,noun,carrot,Daucus carota ssp. sativus
貓 /猫,noun,cat,domestic species
仙,noun,cent,subunit of currency in US and elsewhere
分,noun,cent,subunit of currency in US and elsewhere
厘,noun,cent,subunit of currency in US and elsewhere
凳 /櫈,noun,chair,furniture
椅子,noun,chair,furniture
平,adj,cheap,low and/or reduced in price
check (cek¹),verb,check,"to inspect, examine"
芝士,noun,cheese,dairy product
雞 /鷄 /鸡,noun,chicken,bird
仔女,noun,child,son or daughter; someone's child
細路 /细路,noun,child,son or daughter; someone's child
細蚊仔 /细蚊仔,noun,child,son or daughter; someone's child
細路哥 /细路哥,noun,child,son or daughter; someone's child
細路仔 /细路仔,noun,child,son or daughter; someone's child
朱古力,noun,chocolate,food made from ground roasted cocoa beans
巧克力,noun,chocolate,food made from ground roasted cocoa beans
揀 /拣,verb,choose,to pick
選擇 /选择,verb,choose,to pick
城市,noun,city,large settlement
教室,noun,classroom,room in a school
課堂 /课堂,noun,classroom,room in a school
課室 /课室,noun,classroom,room in a school
鐘 /钟,noun,clock,instrument to measure or keep track of time
時鐘 /时钟,noun,clock,instrument to measure or keep track of time
鐘錶 /钟表,noun,clock,instrument to measure or keep track of time
閂 /闩,verb,close,obstruct (an opening)
衣服,noun,clothes,apparel
服裝 /服装,noun,clothes,apparel
衣著,noun,clothes,apparel
衣着,noun,clothes,apparel
衫褲 /衫裤,noun,clothes,apparel
衫,noun,clothes,apparel
俱樂部 /俱乐部,noun,club,association of members
褸 /褛,noun,coat,outer garment covering the upper torso and arms
咖啡,noun,coffee,beverage
色,noun,color,spectral composition of visible light
顏色 /颜色,noun,color,spectral composition of visible light
嚟,verb,come,to move nearer
公司,noun,company,"in legal context, a corporation"
企業 /企业,noun,company,"in legal context, a corporation"
電腦 /电脑,noun,computer,programmable electronic device
會話 /会话,noun,conversation,expression and exchange of individual ideas through talking with other people
談話 /谈话,noun,conversation,expression and exchange of individual ideas through talking with other people
對話 /对话,noun,conversation,expression and exchange of individual ideas through talking with other people
涼 /凉,adj,cool,having a slightly low temperature
母牛,noun,cow,female domesticated ox or other bovine
牛乸,noun,cow,female domesticated ox or other bovine
忌廉,noun,cream,oily part of milk
文化,noun,culture,"arts, customs and habits"
杯,noun,cup,drinking vessel
切,verb,cut,to perform an incision
阿爸,noun,dad,informal: a father
爸爸,noun,dad,informal: a father
爹哋,noun,dad,informal: a father
跳舞,verb,dance,move rhythmically to music
危險 /危险,adj,dangerous,full of danger
黑,adj,dark,having an absolute or relative lack of light
