word,part_of_speech,english_word,sense
回答,verb,answer,to make a reply or response to
答應 /答应,verb,answer,to make a reply or response to
答覆,verb,answer,to make a reply or response to
гуәзы,noun,apple,fruit of Malus domestica
蘋果 /苹果,noun,apple,fruit of Malus domestica
瓜果,noun,apple,fruit of Malus domestica
林檎,noun,apple,fruit of Malus domestica
蘋果 /苹果,noun,apple,fruit of Malus domestica
武器,noun,arm,weapon
йишу,noun,art,human effort
藝術 /艺术,noun,art,human effort
藝術 /艺术,noun,art,human effort
問 /问,verb,ask,request an answer
詢問 /询问,verb,ask,request an answer
вава,noun,baby,very young human being
ва,noun,baby,very young human being
щёхэр,noun,baby,very young human being
嬰仔 /婴仔,noun,baby,very young human being
嬰兒 /婴儿,noun,baby,very young human being
娃娃,noun,baby,very young human being
小娃娃,noun,baby,very young human being
宝宝,noun,baby,very young human being
嬰幼兒 /婴幼儿,noun,baby,very young human being
嬰孩 /婴孩,noun,baby,very young human being
嬰 /婴,noun,baby,very young human being
向後 /向后,adv,back,to or in a previous condition or place
後 /后,adv,back,to or in a previous condition or place
壞 /坏,adj,bad,unfavorable; negative
不好,adj,bad,unfavorable; negative
бозы,noun,bag,flexible container
袋仔,noun,bag,flexible container
橐仔,noun,bag,flexible container
包,noun,bag,flexible container
袋,noun,bag,flexible container
舞會 /舞会,noun,ball,formal dance
球,noun,ball,solid or hollow sphere
щёнҗё,noun,banana,fruit
баҗё,noun,banana,fruit
弓蕉 /芎蕉,noun,banana,fruit
金蕉,noun,banana,fruit
香蕉,noun,banana,fruit
岸,noun,bank,edge of river or lake
йинхон,noun,bank,institution
銀行 /银行,noun,bank,institution
銀行 /银行,noun,bank,institution
ячуон,noun,bed,piece of furniture
床,noun,bed,piece of furniture
眠床,noun,bed,piece of furniture
床鋪 /床铺,noun,bed,piece of furniture
床,noun,bed,piece of furniture
床鋪 /床铺,noun,bed,piece of furniture
睡鋪 /睡铺,noun,bed,piece of furniture
臥榻 /卧榻,noun,bed,piece of furniture
пиҗю,noun,beer,alcoholic drink made of malt
пиво,noun,beer,alcoholic drink made of malt
麥仔酒 /麦仔酒,noun,beer,alcoholic drink made of malt
米仔酒,noun,beer,alcoholic drink made of malt
啤酒,noun,beer,alcoholic drink made of malt
bì-lù,noun,beer,alcoholic drink made of malt
