word,pos
about,adv
above,adv
action,noun
activity,noun
actor,noun
actress,noun
add,verb
address,noun
adult,noun
advice,noun
afraid,adj
afternoon,noun
again,adv
age,noun
agree,verb
air,noun
airport,noun
also,adv
always,adv
amazing,adj
angry,adj
animal,noun
answer,noun
answer,verb
apartment,noun
apple,noun
April,noun
area,noun
arm,noun
around,adv
arrive,verb
art,noun
article,noun
artist,noun
ask,verb
August,noun
aunt,noun
away,adv
awesome,adj
baby,noun
back,noun
back,adv
bad,adj
bag,noun
ball,noun
banana,noun
bank,noun
bar,noun
baseball,noun
basketball,noun
bath,noun
bathroom,noun
beach,noun
beautiful,adj
become,verb
bed,noun
bedroom,noun
beer,noun
begin,verb
beginning,noun
behind,adv
believe,verb
below,adv
best,adj
better,adj
bicycle,noun
big,adj
bike,noun
bill,noun
bird,noun
birthday,noun
black,adj
black,noun
blog,noun
blond,adj
blue,adj
blue,noun
boat,noun
body,noun
book,noun
boot,noun
bored,adj
boring,adj
born,verb
bottle,noun
box,noun
boy,noun
boyfriend,noun
bread,noun
break,verb
break,noun
breakfast,noun
bring,verb
brother,noun
brown,adj
brown,noun
build,verb
building,noun
bus,noun
business,noun
busy,adj
butter,noun
buy,verb
cafe,noun
cake,noun
call,verb
call,noun
camera,noun
can,verb
cannot,verb
capital,noun
capital,adj
car,noun
card,noun
career,noun
carrot,noun
carry,verb
cat,noun
CD,noun
cent,noun
center,noun
chair,noun
change,verb
change,noun
chart,noun
cheap,adj
check,verb
cheese,noun
chicken,noun
child,noun
chocolate,noun
choose,verb
city,noun
class,noun
classroom,noun
clean,adj
clean,verb
climb,verb
clock,noun
close,verb
clothes,noun
club,noun
coat,noun
coffee,noun
cold,adj
cold,noun
college,noun
color,noun
come,verb
common,adj
company,noun
compare,verb
complete,adj
complete,verb
computer,noun
concert,noun
conversation,noun
cook,verb
cooking,noun
cool,adj
correct,adj
correct,verb
cost,noun
cost,verb
could,verb
country,noun
course,noun
cousin,noun
cow,noun
cream,noun
create,verb
culture,noun
cup,noun
customer,noun
cut,verb
dad,noun
dance,noun
dance,verb
dancer,noun
dancing,noun
dangerous,adj
dark,adj
date,noun
daughter,noun
day,noun
dear,adj
December,noun
decide,verb
delicious,adj
describe,verb
description,noun
design,noun
design,verb
desk,noun
detail,noun
dialogue,noun
dictionary,noun
die,verb
diet,noun
difference,noun
different,adj
difficult,adj
